mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/TextCapabilityTests.java,io.spring.initializr.metadata.TextCapabilityTests,mergeValue,()V,void mergeValue(),org.junit.jupiter.api.Test,8,8,12,AbstractAssert isEqualTo(Object expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|ObjectAssert assertThat(Object assertion)|ServiceCapabilityType getType()|String getContent()|String getId()|void merge(ServiceCapability<T> other)|void setContent(String content),9,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/TextCapabilityTests.java,io.spring.initializr.metadata.TextCapabilityTests,mergeTitle,()V,void mergeTitle(),org.junit.jupiter.api.Test,6,6,13,AbstractAssert isEqualTo(Object expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|ObjectAssert assertThat(Object assertion)|ServiceCapabilityType getType()|String getDescription()|String getId()|String getTitle()|void merge(ServiceCapability<T> other),9,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/TextCapabilityTests.java,io.spring.initializr.metadata.TextCapabilityTests,mergeDescription,()V,void mergeDescription(),org.junit.jupiter.api.Test,6,6,13,AbstractAssert isEqualTo(Object expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|ObjectAssert assertThat(Object assertion)|ServiceCapabilityType getType()|String getDescription()|String getId()|String getTitle()|void merge(ServiceCapability<T> other),9,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/InitializrConfigurationTests.java,io.spring.initializr.metadata.InitializrConfigurationTests,generateApplicationNameSimple,()V,void generateApplicationNameSimple(),org.junit.jupiter.api.Test,1,1,3,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String generateApplicationName(String name),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/InitializrConfigurationTests.java,io.spring.initializr.metadata.InitializrConfigurationTests,generateApplicationNameSimpleApplication,()V,void generateApplicationNameSimpleApplication(),org.junit.jupiter.api.Test,1,1,3,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String generateApplicationName(String name),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/InitializrConfigurationTests.java,io.spring.initializr.metadata.InitializrConfigurationTests,generateApplicationNameSimpleCamelCase,()V,void generateApplicationNameSimpleCamelCase(),org.junit.jupiter.api.Test,1,1,3,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String generateApplicationName(String name),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/InitializrConfigurationTests.java,io.spring.initializr.metadata.InitializrConfigurationTests,generateApplicationNameSimpleUnderscore,()V,void generateApplicationNameSimpleUnderscore(),org.junit.jupiter.api.Test,1,1,3,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String generateApplicationName(String name),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/InitializrConfigurationTests.java,io.spring.initializr.metadata.InitializrConfigurationTests,generateApplicationNameSimpleColon,()V,void generateApplicationNameSimpleColon(),org.junit.jupiter.api.Test,1,1,3,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String generateApplicationName(String name),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/InitializrConfigurationTests.java,io.spring.initializr.metadata.InitializrConfigurationTests,generateApplicationNameSimpleSpace,()V,void generateApplicationNameSimpleSpace(),org.junit.jupiter.api.Test,1,1,3,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String generateApplicationName(String name),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-metadata,/initializr-metadata/src/test/java/io/spring/initializr/metadata/InitializrConfigurationTests.java,io.spring.initializr.metadata.InitializrConfigurationTests,generateApplicationNameSimpleDash,()V,void generateApplicationNameSimpleDash(),org.junit.jupiter.api.Test,1,1,3,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String generateApplicationName(String name),3,,0,,0,0,0,0,0,,0,0,,0,,0
