mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigRegistersTemplateRenderer,()V,void autoConfigRegistersTemplateRenderer(),org.junit.jupiter.api.Test,1,1,3,AbstractApplicationContextRunner run(ContextConsumer consumer)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigWhenTemplateRendererBeanPresentDoesNotRegisterTemplateRenderer,()V,void autoConfigWhenTemplateRendererBeanPresentDoesNotRegisterTemplateRenderer(),org.junit.jupiter.api.Test,1,3,6,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|ApplicationContextAssert hasBean(String name)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),5,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigRegistersInitializrMetadataUpdateStrategy,()V,void autoConfigRegistersInitializrMetadataUpdateStrategy(),org.junit.jupiter.api.Test,1,1,3,AbstractApplicationContextRunner run(ContextConsumer consumer)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigWhenInitializrMetadataUpdateStrategyPresentDoesNotRegisterInitializrMetadataUpdateStrategy,()V,void autoConfigWhenInitializrMetadataUpdateStrategyPresentDoesNotRegisterInitializrMetadataUpdateStrategy(),org.junit.jupiter.api.Test,1,3,6,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|ApplicationContextAssert hasBean(String name)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),5,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigRegistersInitializrMetadataProvider,()V,void autoConfigRegistersInitializrMetadataProvider(),org.junit.jupiter.api.Test,1,1,3,AbstractApplicationContextRunner run(ContextConsumer consumer)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigWhenInitializrMetadataProviderBeanPresentDoesNotRegisterInitializrMetadataProvider,()V,void autoConfigWhenInitializrMetadataProviderBeanPresentDoesNotRegisterInitializrMetadataProvider(),org.junit.jupiter.api.Test,1,3,6,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|ApplicationContextAssert hasBean(String name)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),5,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigRegistersDependencyMetadataProvider,()V,void autoConfigRegistersDependencyMetadataProvider(),org.junit.jupiter.api.Test,1,1,3,AbstractApplicationContextRunner run(ContextConsumer consumer)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),3,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,autoConfigWhenDependencyMetadataProviderBeanPresentDoesNotRegisterDependencyMetadataProvider,()V,void autoConfigWhenDependencyMetadataProviderBeanPresentDoesNotRegisterDependencyMetadataProvider(),org.junit.jupiter.api.Test,1,3,6,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|ApplicationContextAssert hasBean(String name)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),5,,0,,0,0,0,0,0,,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,customRestTemplateBuilderIsUsed,()V,void customRestTemplateBuilderIsUsed(),org.junit.jupiter.api.Test,1,4,9,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|AbstractAssert isSameAs(Object expected)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component)|Object getBean(Class arg0)|Object getPropertyValue(String propertyName)|ObjectAssert assertThat(Object assertion)|ResponseErrorHandler getErrorHandler(),9,,0,,0,2,2,0,0,org.springframework.beans.BeansException,0,0,,0,,0
initializr,initializr-web,/initializr-web/src/test/java/io/spring/initializr/web/autoconfigure/InitializrAutoConfigurationTests.java,io.spring.initializr.web.autoconfigure.InitializrAutoConfigurationTests,webConfiguration,()V,void webConfiguration(),org.junit.jupiter.api.Test,2,7,12,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withConfiguration(Configurations configurations)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component),4,,0,,0,0,0,0,0,,0,0,,0,,0
