mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testPutAfterUnknownFieldName,()V,void testPutAfterUnknownFieldName(),org.junit.Test,2,2,4,IonNull newNull()|IonStruct struct(String text)|_Private_IonSystem system()|void put(String fieldName; IonValue child),4,,0,,0,1,1,0,0,com.amazon.ion.ContainedValueException,0,2,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testFactoryNullStruct,()V,void testFactoryNullStruct(),org.junit.Test,5,5,8,IonContainer getContainer()|IonStruct newNullStruct()|String getFieldName()|_Private_IonSystem system()|void assertNull(Object object)|void checkNullStruct(IonStruct value)|void modifyStruct(IonStruct value),7,void checkNullStruct(IonStruct value)|void modifyStruct(IonStruct value),2,,0,0,0,0,0,,2,44,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testTextNullStruct,()V,void testTextNullStruct(),org.junit.Test,4,4,5,IonType getType()|IonValue oneValue(String text)|void assertSame(Object expected; Object actual)|void checkNullStruct(IonStruct value)|void modifyStruct(IonStruct value),5,void checkNullStruct(IonStruct value)|void modifyStruct(IonStruct value),2,,0,0,0,0,0,,1,45,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testTextAnnotatedNullStruct,()V,void testTextAnnotatedNullStruct(),org.junit.Test,4,4,5,IonType getType()|IonValue oneValue(String text)|void assertSame(Object expected; Object actual)|void checkNullStruct(IonStruct value; String annotationText)|void modifyStruct(IonStruct value),5,void checkNullStruct(IonStruct value; String annotationText)|void modifyStruct(IonStruct value),2,,0,0,0,0,0,,1,45,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testMakeNullStruct,()V,void testMakeNullStruct(),org.junit.Test,5,5,7,IonType getType()|IonValue oneValue(String text)|boolean isNullValue()|void assertFalse(boolean condition)|void assertSame(Object expected; Object actual)|void checkNullStruct(IonStruct value)|void makeNull(),7,void checkNullStruct(IonStruct value),1,,0,0,0,0,0,,2,14,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testClearNonMaterializedStruct,()V,void testClearNonMaterializedStruct(),org.junit.Test,2,2,2,IonValue oneValue(String text)|void testClearContainer(IonContainer container),2,,0,,0,0,0,0,0,,0,6,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testEmptyStruct,()V,void testEmptyStruct(),org.junit.Test,9,9,18,IonType getType()|IonValue get(String fieldName)|IonValue oneValue(String text)|Iterator<IonValue> iterator()|String toString()|String[] getTypeAnnotations()|boolean hasNext()|boolean isEmpty()|boolean isNullValue()|int size()|void assertArrayEquals(Object[] expecteds; Object[] actuals)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void assertNull(Object object)|void assertSame(Object expected; Object actual)|void assertTrue(boolean condition),17,,0,,0,1,1,0,0,com.amazon.ion.NullValueException,8,10,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testStructs,()V,void testStructs(),org.junit.Test,7,7,12,IonValue get(String fieldName)|IonValue oneValue(String text)|String getFieldName()|String stringValue()|String toString()|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNull(Object object),9,,0,,0,0,0,0,0,,5,7,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testModsCausingHeaderOverlap,()V,void testModsCausingHeaderOverlap(),org.junit.Test,12,12,12,IonDatagram reload(IonDatagram dg)|IonDatagram values(String text)|IonValue get(String fieldName)|IonValue get(int index)|void addTypeAnnotation(String annotation)|void checkString(String text; IonValue value),6,,0,,0,1,1,0,0,java.lang.Exception,0,7,,0,,0
ion-java,ion-java,/ion-java/test/com/amazon/ion/StructTest.java,com.amazon.ion.StructTest,testContainsKey,()V,void testContainsKey(),org.junit.Test,8,8,10,IonStruct struct(String text)|boolean containsKey(Object fieldName)|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void testBadContainsKey(IonStruct value),5,void testBadContainsKey(IonStruct value),1,,0,0,0,0,0,,2,14,,0,,0
