mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/configurator/ConfiguratorTest.java,net.sf.javaanpr.configurator.ConfiguratorTest,testSetAndGetStringProperty,()V,void testSetAndGetStringProperty(),org.junit.Test,3,3,3,String getStrProperty(String name)|void assertEquals(Object expected; Object actual)|void setStrProperty(String name; String value),3,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/configurator/ConfiguratorTest.java,net.sf.javaanpr.configurator.ConfiguratorTest,testGetPathProperty,()V,void testGetPathProperty(),org.junit.Test,4,4,4,String getPathProperty(String name)|String replace(char oldChar; char newChar)|void assertEquals(Object expected; Object actual)|void setStrProperty(String name; String value),4,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/configurator/ConfiguratorTest.java,net.sf.javaanpr.configurator.ConfiguratorTest,testSetAndGetIntPropertyWithValidInt,()V,void testSetAndGetIntPropertyWithValidInt(),org.junit.Test,3,3,3,int getIntProperty(String name)|void assertEquals(long expected; long actual)|void setIntProperty(String name; int value),3,,0,,0,1,1,0,0,java.lang.NumberFormatException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/configurator/ConfiguratorTest.java,net.sf.javaanpr.configurator.ConfiguratorTest,testSetAndGetIntPropertyWithInvalidInt,()V,void testSetAndGetIntPropertyWithInvalidInt(),org.junit.Test,2,2,2,int getIntProperty(String name)|void setStrProperty(String name; String value),2,,0,,0,1,1,0,0,java.lang.NumberFormatException,0,0,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/configurator/ConfiguratorTest.java,net.sf.javaanpr.configurator.ConfiguratorTest,testSetAndGetDoublePropertyWithValidDouble,()V,void testSetAndGetDoublePropertyWithValidDouble(),org.junit.Test,3,3,3,double getDoubleProperty(String name)|void assertEquals(double expected; double actual; double delta)|void setDoubleProperty(String name; double value),3,,0,,0,1,1,0,0,java.lang.NumberFormatException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/configurator/ConfiguratorTest.java,net.sf.javaanpr.configurator.ConfiguratorTest,testSetAndGetDoublePropertyWithInvalidDouble,()V,void testSetAndGetDoublePropertyWithInvalidDouble(),org.junit.Test,2,2,2,double getDoubleProperty(String name)|void setStrProperty(String name; String value),2,,0,,0,1,1,0,0,java.lang.NumberFormatException,0,0,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/configurator/ConfiguratorTest.java,net.sf.javaanpr.configurator.ConfiguratorTest,testSetAndGetColourPropertyWithValidColour,()V,void testSetAndGetColourPropertyWithValidColour(),org.junit.Test,2,2,3,Color getColorProperty(String name)|void assertEquals(Object expected; Object actual)|void setColorProperty(String name; Color value),3,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testInsertImage_Valid,()V,void testInsertImage_Valid(),org.junit.Test,7,9,3,BufferedImage renderGraph()|void fail()|void insertImage(BufferedImage image; String cls; int w; int h),3,,0,,0,1,2,0,2,java.io.IOException|java.lang.IllegalArgumentException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testInsertImage_BadInput,()V,void testInsertImage_BadInput(),org.junit.Test,1,9,4,BufferedImage renderGraph()|String getMessage()|void assertEquals(Object expected; Object actual)|void insertImage(BufferedImage image; String cls; int w; int h),4,,0,,0,1,2,0,2,java.io.IOException|java.lang.IllegalArgumentException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testInsertText_NullInput,()V,void testInsertText_NullInput(),org.junit.Test,1,4,2,void fail()|void insertText(String text),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testInsertText_EmptyInput,()V,void testInsertText_EmptyInput(),org.junit.Test,1,4,2,void fail()|void insertText(String text),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testSaveStreamToFile_InvalidInput,()V,void testSaveStreamToFile_InvalidInput(),org.junit.Test,1,6,3,String getMessage()|void assertEquals(Object expected; Object actual)|void saveStreamToFile(InputStream inStream; File out),3,,0,,0,1,1,0,1,java.io.IOException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testSaveStreamToFile_InvalidOutput,()V,void testSaveStreamToFile_InvalidOutput(),org.junit.Test,1,5,3,String getMessage()|void assertEquals(Object expected; Object actual)|void saveStreamToFile(InputStream inStream; File out),3,,0,,0,1,1,0,1,java.io.IOException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testSaveStreamToFile_Valid,()V,void testSaveStreamToFile_Valid(),org.junit.Test,6,6,5,String toString()|StringBuilder readFile(String filename)|boolean contains(CharSequence s)|void assertEquals(Object expected; Object actual)|void saveStreamToFile(InputStream inStream; File out),5,,0,,0,2,2,0,0,java.io.IOException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testSaveImage_Valid,()V,void testSaveImage_Valid(),org.junit.Test,1,6,4,BufferedImage renderGraph()|String getMessage()|void fail(String message)|void saveImage(BufferedImage bi; String filename),4,,0,,0,1,2,0,2,java.io.IOException|java.lang.IllegalArgumentException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/ReportGeneratorTest.java,net.sf.javaanpr.gui.ReportGeneratorTest,testSaveImage_InvalidInput,()V,void testSaveImage_InvalidInput(),org.junit.Test,1,6,4,BufferedImage renderGraph()|String getMessage()|void assertEquals(Object expected; Object actual)|void saveImage(BufferedImage bi; String filename),4,,0,,0,1,2,0,2,java.io.IOException|java.lang.IllegalArgumentException,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/tools/ImageFileFilterTest.java,net.sf.javaanpr.gui.tools.ImageFileFilterTest,testAcceptsJpgFileName,()V,void testAcceptsJpgFileName(),org.junit.Test,1,1,2,boolean accept(String name)|void assertTrue(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/tools/ImageFileFilterTest.java,net.sf.javaanpr.gui.tools.ImageFileFilterTest,testAcceptsBmpFileName,()V,void testAcceptsBmpFileName(),org.junit.Test,1,1,2,boolean accept(String name)|void assertTrue(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/tools/ImageFileFilterTest.java,net.sf.javaanpr.gui.tools.ImageFileFilterTest,testAcceptsGifFileName,()V,void testAcceptsGifFileName(),org.junit.Test,1,1,2,boolean accept(String name)|void assertTrue(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/tools/ImageFileFilterTest.java,net.sf.javaanpr.gui.tools.ImageFileFilterTest,testAcceptsPngFileName,()V,void testAcceptsPngFileName(),org.junit.Test,1,1,2,boolean accept(String name)|void assertTrue(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/tools/ImageFileFilterTest.java,net.sf.javaanpr.gui.tools.ImageFileFilterTest,testDoesNotAcceptFileNameWithoutExtension,()V,void testDoesNotAcceptFileNameWithoutExtension(),org.junit.Test,1,1,2,boolean accept(String name)|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/tools/ImageFileFilterTest.java,net.sf.javaanpr.gui.tools.ImageFileFilterTest,testDoesNotAcceptFileNameWithIncorrectExtension,()V,void testDoesNotAcceptFileNameWithIncorrectExtension(),org.junit.Test,1,1,2,boolean accept(String name)|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/gui/tools/ImageFileFilterTest.java,net.sf.javaanpr.gui.tools.ImageFileFilterTest,testAcceptsDirectory,()V,void testAcceptsDirectory(),org.junit.Test,3,3,6,Object mock(Class classToMock)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|boolean accept(File file)|boolean isDirectory()|void assertTrue(boolean condition),6,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/imageanalysis/PhotoTest.java,net.sf.javaanpr.imageanalysis.PhotoTest,cloneTest,()V,void cloneTest(),org.junit.Test,11,11,14,BufferedImage getImage()|Configurator getConfigurator()|InputStream getResourceAsStream(String filename)|Photo clone()|int hashCode()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object)|void close(),9,,0,,0,1,1,0,0,java.io.IOException,5,5,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/imageanalysis/PeakComparatorTest.java,net.sf.javaanpr.imageanalysis.PeakComparatorTest,testCompareEqualPeaksReturnsZero,()V,void testCompareEqualPeaksReturnsZero(),org.junit.Test,3,3,8,OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|int compare(Peak peak1; Peak peak2)|int getCenter()|void assertEquals(long expected; long actual),5,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/imageanalysis/PeakComparatorTest.java,net.sf.javaanpr.imageanalysis.PeakComparatorTest,testCompareFirstPeakSmallerReturnsResultGreaterThanZero,()V,void testCompareFirstPeakSmallerReturnsResultGreaterThanZero(),org.junit.Test,4,4,10,OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|int compare(Peak peak1; Peak peak2)|int getCenter()|void assertTrue(String message; boolean condition),5,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/imageanalysis/PeakComparatorTest.java,net.sf.javaanpr.imageanalysis.PeakComparatorTest,testCompareFirstPeakLargerReturnsResultLessThanZero,()V,void testCompareFirstPeakLargerReturnsResultLessThanZero(),org.junit.Test,4,4,10,OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|int compare(Peak peak1; Peak peak2)|int getCenter()|void assertTrue(String message; boolean condition),5,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/intelligence/SyntaxAnalysisModeTest.java,net.sf.javaanpr.intelligence.SyntaxAnalysisModeTest,testGetSyntaxAnalysisModeFromIntReturnsDoNotParseWhenIntIsZero,()V,void testGetSyntaxAnalysisModeFromIntReturnsDoNotParseWhenIntIsZero(),org.junit.Test,1,1,2,SyntaxAnalysisMode getSyntaxAnalysisModeFromInt(int syntaxAnalysisModeInt)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/intelligence/SyntaxAnalysisModeTest.java,net.sf.javaanpr.intelligence.SyntaxAnalysisModeTest,testGetSyntaxAnalysisModeFromIntReturnsOnlyEqualLengthWhenIntIsOne,()V,void testGetSyntaxAnalysisModeFromIntReturnsOnlyEqualLengthWhenIntIsOne(),org.junit.Test,1,1,2,SyntaxAnalysisMode getSyntaxAnalysisModeFromInt(int syntaxAnalysisModeInt)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/intelligence/SyntaxAnalysisModeTest.java,net.sf.javaanpr.intelligence.SyntaxAnalysisModeTest,testGetSyntaxAnalysisModeFromIntReturnsEqualOrShorterLengthWhenIntIsTwo,()V,void testGetSyntaxAnalysisModeFromIntReturnsEqualOrShorterLengthWhenIntIsTwo(),org.junit.Test,1,1,2,SyntaxAnalysisMode getSyntaxAnalysisModeFromInt(int syntaxAnalysisModeInt)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/intelligence/SyntaxAnalysisModeTest.java,net.sf.javaanpr.intelligence.SyntaxAnalysisModeTest,testGetSyntaxAnalysisModeThrowsIllegalArgumentExceptionWhenGivenIntNotEqualToOneTwoOrThree,()V,void testGetSyntaxAnalysisModeThrowsIllegalArgumentExceptionWhenGivenIntNotEqualToOneTwoOrThree(),org.junit.Test,1,1,1,SyntaxAnalysisMode getSyntaxAnalysisModeFromInt(int syntaxAnalysisModeInt),1,,0,,0,0,0,0,0,,0,0,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/intelligence/RecognizedPlateTest.java,net.sf.javaanpr.intelligence.RecognizedPlateTest,testCanAddAndGetChars,()V,void testCanAddAndGetChars(),org.junit.Test,5,5,17,RecognizedChar getChar(int i)|RecognizedPattern getPattern(int i)|RecognizedPlate getRecognizedPlateWithThreeRecognizedChars()|char getChar()|void assertEquals(long expected; long actual),5,RecognizedPlate getRecognizedPlateWithThreeRecognizedChars(),1,,0,0,0,0,0,,4,4,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/intelligence/RecognizedPlateTest.java,net.sf.javaanpr.intelligence.RecognizedPlateTest,testCanAddAndGetAllChars,()V,void testCanAddAndGetAllChars(),org.junit.Test,6,6,18,List<RecognizedChar> getChars()|Object get(int index)|RecognizedPattern getPattern(int i)|RecognizedPlate getRecognizedPlateWithThreeRecognizedChars()|char getChar()|void assertEquals(long expected; long actual),6,RecognizedPlate getRecognizedPlateWithThreeRecognizedChars(),1,,0,0,0,0,0,,4,4,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/intelligence/RecognizedPlateTest.java,net.sf.javaanpr.intelligence.RecognizedPlateTest,testCanGetStringFromChars,()V,void testCanGetStringFromChars(),org.junit.Test,2,2,3,RecognizedPlate getRecognizedPlateWithThreeRecognizedChars()|String getString()|void assertEquals(Object expected; Object actual),3,RecognizedPlate getRecognizedPlateWithThreeRecognizedChars(),1,,0,0,0,0,0,,1,1,,0,,0
javaanpr,javaanpr,/javaanpr/src/test/java/net/sf/javaanpr/recognizer/PatternComparatorTest.java,net.sf.javaanpr.recognizer.PatternComparatorTest,testCompareAscendingPatternsEqualReturnsZero,()V,void testCompareAscendingPatternsEqualReturnsZero(),org.junit.Test,3,3,2,int compare(RecognizedPattern recognizedPattern1; RecognizedPattern recognizedPattern2)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
