mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonSerializerTest.java,com.github.javaparser.serialization.JavaParserJsonSerializerTest,test,()V,void test(),org.junit.jupiter.api.Test,3,3,3,CompilationUnit parse(String code)|String serialize(Node node; boolean prettyPrint)|void assertEquals(Object expected; Object actual),3,String serialize(Node node; boolean prettyPrint),1,,0,0,0,0,0,,1,1,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,simpleTest,()V,void simpleTest(),org.junit.jupiter.api.Test,5,5,9,CompilationUnit parse(String code)|JsonReader createReader(Reader reader)|Node deserializeObject(JsonReader reader)|String serialize(Node node; boolean prettyPrint)|String toString()|int hashCode()|void assertEquals(int expected; int actual)|void assertEqualsNoEol(String expected; String actual),8,void assertEqualsNoEol(String expected; String actual),1,,0,0,0,0,0,,1,2,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testRawType,()V,void testRawType(),org.junit.jupiter.api.Test,5,5,9,JsonReader createReader(Reader reader)|Node deserializeObject(JsonReader reader)|String serialize(Node node; boolean prettyPrint)|String toString()|Type parseType(String type)|int hashCode()|void assertEquals(int expected; int actual)|void assertEqualsNoEol(String expected; String actual),8,void assertEqualsNoEol(String expected; String actual),1,,0,0,0,0,0,,1,2,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testDiamondType,()V,void testDiamondType(),org.junit.jupiter.api.Test,5,5,9,JsonReader createReader(Reader reader)|Node deserializeObject(JsonReader reader)|String serialize(Node node; boolean prettyPrint)|String toString()|Type parseType(String type)|int hashCode()|void assertEquals(int expected; int actual)|void assertEqualsNoEol(String expected; String actual),8,void assertEqualsNoEol(String expected; String actual),1,,0,0,0,0,0,,1,2,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testGenerics,()V,void testGenerics(),org.junit.jupiter.api.Test,5,5,9,JsonReader createReader(Reader reader)|Node deserializeObject(JsonReader reader)|String serialize(Node node; boolean prettyPrint)|String toString()|Type parseType(String type)|int hashCode()|void assertEquals(int expected; int actual)|void assertEqualsNoEol(String expected; String actual),8,void assertEqualsNoEol(String expected; String actual),1,,0,0,0,0,0,,1,2,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testOperator,()V,void testOperator(),org.junit.jupiter.api.Test,5,5,9,JsonReader createReader(Reader reader)|Node deserializeObject(JsonReader reader)|String serialize(Node node; boolean prettyPrint)|String toString()|T parseExpression(String expression)|int hashCode()|void assertEquals(int expected; int actual)|void assertEqualsNoEol(String expected; String actual),8,void assertEqualsNoEol(String expected; String actual),1,,0,0,0,0,0,,1,2,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testPrimitiveType,()V,void testPrimitiveType(),org.junit.jupiter.api.Test,5,5,9,JsonReader createReader(Reader reader)|Node deserializeObject(JsonReader reader)|String serialize(Node node; boolean prettyPrint)|String toString()|Type parseType(String type)|int hashCode()|void assertEquals(int expected; int actual)|void assertEqualsNoEol(String expected; String actual),8,void assertEqualsNoEol(String expected; String actual),1,,0,0,0,0,0,,1,2,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testComment,()V,void testComment(),org.junit.jupiter.api.Test,12,12,30,Class getClass()|CompilationUnit parse(String code)|JsonReader createReader(Reader reader)|List<MethodDeclaration> getMethods()|Node deserializeObject(JsonReader reader)|Object get()|Object get(int index)|Optional<ClassOrInterfaceDeclaration> getClassByName(String className)|Optional<Comment> getComment()|String getContent()|String getName()|String serialize(Node node; boolean prettyPrint)|boolean isPresent()|void assertEquals(Object expected; Object actual)|void assertTrue(boolean condition),15,,0,,0,0,0,0,0,,6,6,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testJavaDocComment,()V,void testJavaDocComment(),org.junit.jupiter.api.Test,13,13,27,CompilationUnit parse(String code)|JavadocDescription getContent()|JsonReader createReader(Reader reader)|List<JavadocBlockTag> getBlockTags()|List<MethodDeclaration> getMethods()|Node deserializeObject(JsonReader reader)|Object get()|Object get(int index)|Optional<ClassOrInterfaceDeclaration> getClassByName(String className)|Optional<Javadoc> getJavadoc()|String getTagName()|String serialize(Node node; boolean prettyPrint)|String toText()|boolean isPresent()|void assertEquals(Object expected; Object actual)|void assertTrue(boolean condition),16,,0,,0,0,0,0,0,,5,5,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testNonMetaProperties,()V,void testNonMetaProperties(),org.junit.jupiter.api.Test,12,12,23,CompilationUnit parse(String code)|JavaToken getBegin()|JavaToken getEnd()|JsonReader createReader(Reader reader)|Node deserializeObject(JsonReader reader)|Object get()|Optional<Range> getRange()|Optional<TokenRange> getTokenRange()|String getText()|String serialize(Node node; boolean prettyPrint)|boolean isPresent()|void assertEquals(Object expected; Object actual)|void assertEquals(int expected; int actual)|void assertTrue(boolean condition),14,,0,,0,0,0,0,0,,7,7,,0,,0
javaparser,javaparser-core-serialization,/javaparser-core-serialization/src/test/java/com/github/javaparser/serialization/JavaParserJsonDeserializerTest.java,com.github.javaparser.serialization.JavaParserJsonDeserializerTest,testAttachingSymbolResolver,()V,void testAttachingSymbolResolver(),org.junit.jupiter.api.Test,7,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
