mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-core,/jbehave-core/src/main/java/org/jbehave/core/junit/JUnitStories.java,org.jbehave.core.junit.JUnitStories,run,()V,void run(),java.lang.Override|org.junit.Test,2,5,5,Embedder configuredEmbedder()|List<String> storyPaths()|void generateCrossReference()|void generateSurefireReport()|void runStoriesAsPaths(List<String> storyPaths),5,List<String> storyPaths(),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/main/java/org/jbehave/core/junit/JUnitStory.java,org.jbehave.core.junit.JUnitStory,run,()V,void run(),java.lang.Override|org.junit.Test,4,7,9,Class getClass()|Configuration configuration()|Embedder configuredEmbedder()|List asList(Object[] a)|StoryPathResolver storyPathResolver()|String resolve(Class<? extends Embeddable> embeddableClass)|void generateCrossReference()|void generateSurefireReport()|void runStoriesAsPaths(List<String> storyPaths),9,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/main/java/org/jbehave/core/junit/JUnitStoryMaps.java,org.jbehave.core.junit.JUnitStoryMaps,run,()V,void run(),java.lang.Override|org.junit.Test,1,1,3,Embedder configuredEmbedder()|List<String> storyPaths()|void mapStoriesAsPaths(List<String> storyPaths),3,List<String> storyPaths(),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/test/java/org/jbehave/core/ConfigurableEmbedderBehaviour.java,org.jbehave.core.ConfigurableEmbedderBehaviour,shouldRunASingleStory,()V,void shouldRunASingleStory(),org.junit.Test,15,15,24,Configuration configuration()|List asList(Object[] a)|Object eq(Object value)|Object mock(Class classToMock)|Object verify(Object mock)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|StoryPathResolver storyPathResolver()|String resolve(Class<? extends Embeddable> embeddableClass)|void run()|void runStoriesAsPaths(List<String> storyPaths)|void useCandidateSteps(List<CandidateSteps> candidateSteps)|void useConfiguration(Configuration configuration)|void useEmbedder(Embedder embedder),14,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/test/java/org/jbehave/core/ConfigurableEmbedderBehaviour.java,org.jbehave.core.ConfigurableEmbedderBehaviour,shouldRunMultipleStories,()V,void shouldRunMultipleStories(),org.junit.Test,7,7,8,List asList(Object[] a)|Object mock(Class classToMock)|Object verify(Object mock)|void run()|void runStoriesAsPaths(List<String> storyPaths)|void useEmbedder(Embedder embedder),6,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/test/java/org/jbehave/core/ConfigurableEmbedderBehaviour.java,org.jbehave.core.ConfigurableEmbedderBehaviour,shouldAllowOverrideOfDefaultConfiguration,()V,void shouldAllowOverrideOfDefaultConfiguration(),org.junit.Test,18,18,34,Configuration configuration()|List asList(Object[] a)|Matcher is(Matcher matcher)|Matcher not(Matcher matcher)|Matcher sameInstance(Object target)|Object eq(Object value)|Object mock(Class classToMock)|Object verify(Object mock)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|StoryPathResolver storyPathResolver()|String resolve(Class<? extends Embeddable> embeddableClass)|void assertThat(Object actual; Matcher matcher)|void run()|void runStoriesAsPaths(List<String> storyPaths)|void useCandidateSteps(List<CandidateSteps> candidateSteps)|void useConfiguration(Configuration configuration)|void useEmbedder(Embedder embedder),18,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/test/java/org/jbehave/core/ConfigurableEmbedderBehaviour.java,org.jbehave.core.ConfigurableEmbedderBehaviour,shouldAllowAdditionOfSteps,()V,void shouldAllowAdditionOfSteps(),org.junit.Test,13,13,18,Configuration configuration()|List asList(Object[] a)|Object mock(Class classToMock)|Object verify(Object mock)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|StoryPathResolver storyPathResolver()|String resolve(Class<? extends Embeddable> embeddableClass)|void run()|void runStoriesAsPaths(List<String> storyPaths)|void useEmbedder(Embedder embedder),11,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/test/java/org/jbehave/core/InjectableEmbedderBehaviour.java,org.jbehave.core.InjectableEmbedderBehaviour,shouldRunStoriesAsPathsUsingInjected,()V,void shouldRunStoriesAsPathsUsingInjected(),org.junit.Test,5,5,6,List asList(Object[] a)|Object mock(Class classToMock)|Object verify(Object mock)|void run()|void runStoriesAsPaths(List<String> storyPaths)|void useEmbedder(Embedder embedder),6,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/test/java/org/jbehave/core/configuration/PropertyBasedConfigurationBehaviour.java,org.jbehave.core.configuration.PropertyBasedConfigurationBehaviour,shouldUsePassingPendingStepStrategyByDefault,()V,void shouldUsePassingPendingStepStrategyByDefault(),org.junit.Test,2,2,4,Matcher instanceOf(Class type)|PendingStepStrategy pendingStepStrategy()|String clearProperty(String key)|void assertThat(Object actual; Matcher matcher),4,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-core,/jbehave-core/src/test/java/org/jbehave/core/configuration/PropertyBasedConfigurationBehaviour.java,org.jbehave.core.configuration.PropertyBasedConfigurationBehaviour,shouldUseFailingPendingStepStrategyWhenConfiguredToDoSo,()V,void shouldUseFailingPendingStepStrategyWhenConfiguredToDoSo(),org.junit.Test,2,2,4,Matcher instanceOf(Class type)|PendingStepStrategy pendingStepStrategy()|String setProperty(String key; String value)|void assertThat(Object actual; Matcher matcher),4,,0,,0,0,0,0,0,,0,0,,0,,0
