mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildConfigurationFromAnnotations,()V,void shouldBuildConfigurationFromAnnotations(),org.junit.Test,18,18,56,Configuration buildConfiguration()|FailureStrategy failureStrategy()|File outputDirectory()|Keywords keywords()|List<org.jbehave.core.reporters.Format> formats()|Locale getLocale()|Matcher equalTo(Object operand)|Matcher hasItems(Object[] items)|Matcher instanceOf(Class type)|Matcher is(Object value)|ParameterConverters parameterConverters()|Properties viewResources()|StepPatternParser stepPatternParser()|StoryControls storyControls()|StoryLoader storyLoader()|StoryReporterBuilder storyReporterBuilder()|String getName()|String getPrefix()|String getProperty(String key)|boolean dryRun()|boolean reportFailureTrace()|boolean skipScenariosAfterFailure()|void assertThat(Object actual; Matcher matcher)|void assertThatCustomObjectIsConverted(ParameterConverters parameterConverters)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat),25,void assertThatCustomObjectIsConverted(ParameterConverters parameterConverters)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat),2,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildConfigurationFromAnnotationsUsingConfigureAndGuiceConverters,()V,void shouldBuildConfigurationFromAnnotationsUsingConfigureAndGuiceConverters(),org.junit.Test,5,5,7,Configuration buildConfiguration()|ParameterConverters parameterConverters()|void assertThatCustomObjectIsConverted(ParameterConverters parameterConverters)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat)|void assertThatExamplesTableIsConverted(ParameterConverters parameterConverters),5,void assertThatCustomObjectIsConverted(ParameterConverters parameterConverters)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat)|void assertThatExamplesTableIsConverted(ParameterConverters parameterConverters),3,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildConfigurationFromAnnotationsUsingInjectorWithoutParent,()V,void shouldBuildConfigurationFromAnnotationsUsingInjectorWithoutParent(),org.junit.Test,5,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,Configuration buildConfiguration()|void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),2,void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),1,,0,2,2,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingGuice,()V,void shouldBuildCandidateStepsFromAnnotationsUsingGuice(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndGuice,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndGuice(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndInheritingGuiceFromParent,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndInheritingGuiceFromParent(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndGuiceAndConverters,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndGuiceAndConverters(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,List<CandidateSteps> buildCandidateSteps()|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),2,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-guice,/jbehave-guice/src/test/java/org/jbehave/core/configuration/guice/GuiceAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.guice.GuiceAnnotationBuilderBehaviour,shouldNotBuildContainerIfModuleNotInstantiable,()V,void shouldNotBuildContainerIfModuleNotInstantiable(),org.junit.Test,4,4,7,List<CandidateSteps> buildCandidateSteps()|Object isA(Class clazz)|Object mock(Class classToMock)|Object verify(Object mock)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses)|void elementCreationFailed(Class<?> elementClass; Exception cause),6,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
