mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldCreateNewEmbedderWithDefaultControls,()V,void shouldCreateNewEmbedderWithDefaultControls(),org.junit.Test,12,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldCreateNewEmbedderWithGivenControls,()V,void shouldCreateNewEmbedderWithGivenControls(),org.junit.Test,18,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldCreateNewEmbedderWithExecutors,()V,void shouldCreateNewEmbedderWithExecutors(),org.junit.Test,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldCreateNewEmbedderWithMetaFilters,()V,void shouldCreateNewEmbedderWithMetaFilters(),org.junit.Test,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldCreateNewEmbedderIgnoringNullMetaFilters,()V,void shouldCreateNewEmbedderIgnoringNullMetaFilters(),org.junit.Test,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldCreateNewEmbedderWithMavenMonitor,()V,void shouldCreateNewEmbedderWithMavenMonitor(),org.junit.Test,50,2,1,Object mock(Class classToMock),1,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldCreateNewEmbedderWithSystemProperties,()V,void shouldCreateNewEmbedderWithSystemProperties(),org.junit.Test,7,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldAllowTestScopedSearchDirectory,()V,void shouldAllowTestScopedSearchDirectory(),org.junit.Test,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldAllowTestScopedClasspathElements,()V,void shouldAllowTestScopedClasspathElements(),org.junit.Test,5,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldAllowSpecificationOfEmbedderClass,()V,void shouldAllowSpecificationOfEmbedderClass(),org.junit.Test,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldAllowSpecificationOfInjectableEmbedderClass,()V,void shouldAllowSpecificationOfInjectableEmbedderClass(),org.junit.Test,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldAllowSpecificationOfStoryFinderClass,()V,void shouldAllowSpecificationOfStoryFinderClass(),org.junit.Test,4,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldMapStoriesAsEmbeddables,()V,void shouldMapStoriesAsEmbeddables(),org.junit.Test,11,2,2,Class getClass()|ClassLoader getClassLoader(),2,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-maven-plugin,/jbehave-maven-plugin/src/test/java/org/jbehave/mojo/EmbedderMojoBehaviour.java,org.jbehave.mojo.EmbedderMojoBehaviour,shouldReportFailuresInMappingStoriesAsEmbeddables,()V,void shouldReportFailuresInMappingStoriesAsEmbeddables(),org.junit.Test,11,2,2,Class getClass()|ClassLoader getClassLoader(),2,,0,,0,0,0,0,0,,0,0,,0,,0
