mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildConfigurationFromAnnotationsUsingConfigureAndGuiceConverters,()V,void shouldBuildConfigurationFromAnnotationsUsingConfigureAndGuiceConverters(),org.junit.Test,5,5,7,Configuration buildConfiguration()|ParameterConverters parameterConverters()|void assertThatCustomObjectIsConverted(ParameterConverters parameterConverters)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat)|void assertThatExamplesTableIsConverted(ParameterConverters parameterConverters),5,void assertThatCustomObjectIsConverted(ParameterConverters parameterConverters)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat)|void assertThatExamplesTableIsConverted(ParameterConverters parameterConverters),3,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,Configuration buildConfiguration()|void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),2,void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),1,,0,2,2,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingNeedle,()V,void shouldBuildCandidateStepsFromAnnotationsUsingNeedle(),org.junit.Test,3,3,5,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|Matcher is(Object value)|boolean isEmpty()|void assertThat(Object actual; Matcher matcher),5,,0,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndNeedle,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndNeedle(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndGuiceAndConverters,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndGuiceAndConverters(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,List<CandidateSteps> buildCandidateSteps()|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),2,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildStepsList,()V,void shouldBuildStepsList(),org.junit.Test,3,3,2,List<CandidateSteps> buildCandidateSteps()|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),2,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldCreateOnlyOneContainerForMultipleBuildInvocations,()V,void shouldCreateOnlyOneContainerForMultipleBuildInvocations(),org.junit.Test,4,4,5,Configuration buildConfiguration()|Matcher is(Object value)|Set<InjectionProvider<?>> getProvider()|boolean isEmpty()|void assertThat(Object actual; Matcher matcher),5,,0,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldSupplyInjectors,()V,void shouldSupplyInjectors(),org.junit.Test,6,6,11,List<CandidateSteps> buildCandidateSteps()|Matcher is(Matcher matcher)|Matcher is(Object value)|Matcher notNullValue()|Object get(int index)|Object getValue()|Object instance()|ValueGetter getGetter()|void assertThat(Object actual; Matcher matcher)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),10,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/junit/needle/NeedleAnnotatedEmbedderRunnerBehaviour.java,org.jbehave.core.junit.needle.NeedleAnnotatedEmbedderRunnerBehaviour,shouldCreateWithGuiceAnnotatedBuilder,()V,void shouldCreateWithGuiceAnnotatedBuilder(),org.junit.Test,2,2,3,AnnotationBuilder annotationBuilder()|Matcher instanceOf(Class type)|void assertThat(Object actual; Matcher matcher),3,,0,,0,0,0,0,0,,0,0,,0,,0
