mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldBuildConfigurationFromAnnotations,()V,void shouldBuildConfigurationFromAnnotations(),org.junit.Test,17,17,54,Configuration buildConfiguration()|FailureStrategy failureStrategy()|File outputDirectory()|Keywords keywords()|List<org.jbehave.core.reporters.Format> formats()|Locale getLocale()|Matcher equalTo(Object operand)|Matcher hasItems(Object[] items)|Matcher instanceOf(Class type)|Matcher is(Object value)|ParameterConverters parameterConverters()|Properties viewResources()|StepPatternParser stepPatternParser()|StoryControls storyControls()|StoryLoader storyLoader()|StoryReporterBuilder storyReporterBuilder()|String getName()|String getPrefix()|String getProperty(String key)|boolean dryRun()|boolean reportFailureTrace()|boolean skipScenariosAfterFailure()|void assertThat(Object actual; Matcher matcher)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat),24,void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,Configuration buildConfiguration()|void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),2,void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),1,,0,2,2,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingPico,()V,void shouldBuildCandidateStepsFromAnnotationsUsingPico(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndPico,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndPico(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndInheritingPicoFromParent,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndInheritingPicoFromParent(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,List<CandidateSteps> buildCandidateSteps()|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),2,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldNotBuildContainerIfModuleNotInstantiable,()V,void shouldNotBuildContainerIfModuleNotInstantiable(),org.junit.Test,4,4,7,List<CandidateSteps> buildCandidateSteps()|Object isA(Class clazz)|Object mock(Class classToMock)|Object verify(Object mock)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses)|void elementCreationFailed(Class<?> elementClass; Exception cause),6,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/configuration/pico/PicoAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.pico.PicoAnnotationBuilderBehaviour,shouldCreateOnlyOneContainerForMultipleBuildInvocations,()V,void shouldCreateOnlyOneContainerForMultipleBuildInvocations(),org.junit.Test,5,5,6,Configuration buildConfiguration()|Matcher sameInstance(Object target)|PicoContainer picoContainer()|void assertThat(Object actual; Matcher matcher),4,,0,,0,2,2,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/junit/pico/PicoAnnotatedEmbedderRunnerBehaviour.java,org.jbehave.core.junit.pico.PicoAnnotatedEmbedderRunnerBehaviour,shouldCreateWithPicoAnnotatedBuilder,()V,void shouldCreateWithPicoAnnotatedBuilder(),org.junit.Test,2,2,3,AnnotationBuilder annotationBuilder()|Matcher instanceOf(Class type)|void assertThat(Object actual; Matcher matcher),3,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-pico,/jbehave-pico/src/test/java/org/jbehave/core/junit/pico/PicoAnnotatedEmbedderRunnerBehaviour.java,org.jbehave.core.junit.pico.PicoAnnotatedEmbedderRunnerBehaviour$RunningWithAnnotatedEmbedderRunner,run,()V,void run(),java.lang.Override|org.junit.Test,1,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
