mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/LoadFromRESTBehaviour.java,org.jbehave.core.io.rest.LoadFromRESTBehaviour,canLoadFromREST,()V,void canLoadFromREST(),org.junit.Test,8,8,10,Matcher containsString(String substring)|Object mock(Class classToMock)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String get(String uri)|String loadResourceAsText(String resourcePath)|Type getType()|void assertThat(Object actual; Matcher matcher),8,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/IndexWithBreadcrumbsBehaviour.java,org.jbehave.core.io.rest.IndexWithBreadcrumbsBehaviour,canIndexFromPaths,()V,void canIndexFromPaths(),org.junit.Test,24,24,58,List<String> getBreadcrumbs()|Map<String;Resource> indexResources(String rootURI; String rootPath; String syntax; String includes)|Matcher equalTo(Object operand)|Object get(Object key)|String getContent()|String getParentName()|String getSyntax()|String getURI()|String join(Iterable iterable; String separator)|boolean containsKey(Object key)|void assertThat(Object actual; Matcher matcher),11,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/IndexWithBreadcrumbsBehaviour.java,org.jbehave.core.io.rest.IndexWithBreadcrumbsBehaviour,canIndexFromPathsWithDefaultSyntax,()V,void canIndexFromPathsWithDefaultSyntax(),org.junit.Test,7,7,8,Map<String;Resource> indexResources(String rootURI; String rootPath; String syntax; String includes)|Matcher equalTo(Object operand)|Object get(Object key)|boolean containsKey(Object key)|boolean hasSyntax()|void assertThat(Object actual; Matcher matcher),6,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/confluence/IndexFromConfluenceBehaviour.java,org.jbehave.core.io.rest.confluence.IndexFromConfluenceBehaviour,shouldIndexFromConfluence,()V,void shouldIndexFromConfluence(),org.junit.Test,3,3,4,Map<String;Resource> indexResources(String rootURI)|Matcher equalTo(Object operand)|int size()|void assertThat(Object actual; Matcher matcher),4,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/confluence/LoadFromConfluenceBehaviour.java,org.jbehave.core.io.rest.confluence.LoadFromConfluenceBehaviour,shouldLoadFromConfluence,()V,void shouldLoadFromConfluence(),org.junit.Test,4,4,6,List asList(Object[] a)|Matcher startsWith(String prefix)|Matcher stringContainsInOrder(Iterable substrings)|String loadResourceAsText(String resourcePath)|void assertThat(Object actual; Matcher matcher),5,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/filesystem/ExportFromFilesystemBehaviour.java,org.jbehave.core.io.rest.filesystem.ExportFromFilesystemBehaviour,canExportFromFilesystem,()V,void canExportFromFilesystem(),org.junit.Test,23,23,14,Map<String;Resource> indexResources(String rootURI; String rootPath; String syntax; String includes)|Object mock(Class classToMock)|Object put(Object key; Object value)|Object verify(Object mock)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|void exportResources(String rootURI)|void uploadResource(Resource resource)|void write(String text; File file),9,void write(String text; File file),1,,0,2,2,0,0,java.io.IOException,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/filesystem/ImportToFilesystemBehaviour.java,org.jbehave.core.io.rest.filesystem.ImportToFilesystemBehaviour,canImportToFilesystem,()V,void canImportToFilesystem(),org.junit.Test,21,21,30,Map<String;Resource> indexResources(String rootURI)|Matcher equalTo(Object operand)|Object get(Object key)|Object mock(Class classToMock)|Object put(Object key; Object value)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String getURI()|String loadResourceAsText(String resourcePath)|String readFileToString(File file; Charset encoding)|boolean exists()|void assertThat(Object actual; Matcher matcher)|void importResources(String rootURI),13,,0,,0,2,2,0,0,java.io.IOException,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/mojo/ImportToFilesystemMojoBehaviour.java,org.jbehave.core.io.rest.mojo.ImportToFilesystemMojoBehaviour,canImportToFilesystem,()V,void canImportToFilesystem(),org.junit.Test,25,14,17,Map<String;Resource> indexResources(String rootURI)|Object get(Object key)|Object mock(Class classToMock)|Object put(Object key; Object value)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String getURI()|String loadResourceAsText(String resourcePath),8,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/redmine/UploadToRedmineBehaviour.java,org.jbehave.core.io.rest.redmine.UploadToRedmineBehaviour,canFormatURIForJSON,()V,void canFormatURIForJSON(),org.junit.Test,4,4,3,Matcher equalTo(Object operand)|String uri(String resourcePath; Type type)|void assertThat(Object actual; Matcher matcher),3,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-rest,/jbehave-rest/src/test/java/org/jbehave/core/io/rest/redmine/UploadToRedmineBehaviour.java,org.jbehave.core.io.rest.redmine.UploadToRedmineBehaviour,canFormatAsJSON,()V,void canFormatAsJSON(),org.junit.Test,7,7,5,Matcher startsWith(String prefix)|String entity(Resource resource; Type type)|String read(String path)|void assertThat(Object actual; Matcher matcher)|void setContent(String content),5,String read(String path),1,,0,0,0,0,0,,0,0,,0,,0
