mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringStoryReporterBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringStoryReporterBuilderBehaviour,shouldAllowUseOfGettersAndSetters,()V,void shouldAllowUseOfGettersAndSetters(),org.junit.Test,23,23,35,Class getClass()|FilePathResolver getPathResolver()|Keywords getKeywords()|List asList(Object[] a)|List<org.jbehave.core.reporters.Format> getFormats()|Matcher endsWith(String suffix)|Matcher equalTo(Object operand)|Properties getViewResources()|String getOutputDirectory()|String getRelativeDirectory()|URL codeLocationFromClass(Class<?> codeLocationClass)|URL getCodeLocation()|boolean isReportFailureTrace()|void assertThat(Object actual; Matcher matcher)|void setCodeLocation(URL codeLocation)|void setFormats(List<org.jbehave.core.reporters.Format> formats)|void setKeywords(Keywords keywords)|void setPathResolver(FilePathResolver pathResolver)|void setRelativeDirectory(String relativeDirectory)|void setReportFailureTrace(boolean reportFailureTrace)|void setViewResources(Properties viewResources),21,,0,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldBuildConfigurationFromAnnotations,()V,void shouldBuildConfigurationFromAnnotations(),org.junit.Test,20,20,66,Configuration buildConfiguration()|FailureStrategy failureStrategy()|File outputDirectory()|Keywords keywords()|List<org.jbehave.core.reporters.Format> formats()|Locale getLocale()|Matcher equalTo(Object operand)|Matcher hasItems(Object[] items)|Matcher instanceOf(Class type)|Matcher is(Object value)|ParameterControls parameterControls()|ParameterConverters parameterConverters()|Properties viewResources()|StepPatternParser stepPatternParser()|StoryControls storyControls()|StoryLoader storyLoader()|StoryReporterBuilder storyReporterBuilder()|String getName()|String getPrefix()|String getProperty(String key)|String nameDelimiterLeft()|String nameDelimiterRight()|boolean dryRun()|boolean reportFailureTrace()|boolean skipScenariosAfterFailure()|boolean skipStoryIfGivenStoryFailed()|void assertThat(Object actual; Matcher matcher)|void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat),28,void assertThatDateIsConvertedWithFormat(ParameterConverters parameterConverters; DateFormat dateFormat),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,Configuration buildConfiguration()|void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),2,void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),1,,0,2,2,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingSpring,()V,void shouldBuildCandidateStepsFromAnnotationsUsingSpring(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAreFound(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAreFound(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndSpring,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndSpring(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldBuildCandidateStepsFromAnnotationsUsingStepsAndInheritingPicoFromParent,()V,void shouldBuildCandidateStepsFromAnnotationsUsingStepsAndInheritingPicoFromParent(),org.junit.Test,3,3,3,Configuration buildConfiguration()|List<CandidateSteps> buildCandidateSteps(Configuration configuration)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),3,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,1,1,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,List<CandidateSteps> buildCandidateSteps()|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),2,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldNotBuildContainerIfResourceNotLoadable,()V,void shouldNotBuildContainerIfResourceNotLoadable(),org.junit.Test,4,6,7,List<CandidateSteps> buildCandidateSteps()|Object isA(Class clazz)|Object mock(Class classToMock)|Object verify(Object mock)|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses)|void elementCreationFailed(Class<?> elementClass; Exception cause),6,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/configuration/spring/SpringAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.spring.SpringAnnotationBuilderBehaviour,shouldCreateOnlyOneContainerForMultipleBuildInvocations,()V,void shouldCreateOnlyOneContainerForMultipleBuildInvocations(),org.junit.Test,5,5,6,ApplicationContext applicationContext()|Configuration buildConfiguration()|Matcher sameInstance(Object target)|void assertThat(Object actual; Matcher matcher),4,,0,,0,2,2,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0
jbehave-core,jbehave-spring,/jbehave-spring/src/test/java/org/jbehave/core/junit/spring/SpringAnnotatedEmbedderRunnerBehaviour.java,org.jbehave.core.junit.spring.SpringAnnotatedEmbedderRunnerBehaviour,shouldCreateWithSpringAnnotatedBuilder,()V,void shouldCreateWithSpringAnnotatedBuilder(),org.junit.Test,2,2,3,AnnotationBuilder annotationBuilder()|Matcher instanceOf(Class type)|void assertThat(Object actual; Matcher matcher),3,,0,,0,0,0,0,0,,0,0,,0,,0
