mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/facebook/FbBotTest.java,example.jbot.facebook.FbBotTest,When_PostbackInCallback_Then_InvokeOnReceivePostback,()V,void When_PostbackInCallback_Then_InvokeOnReceivePostback(),org.junit.Test,3,3,5,Matcher containsString(String substring)|Object readValue(String content; Class valueType)|ResponseEntity setupWebhookEndpoint(Callback callback)|String toString()|void assertThat(Object actual; Matcher matcher),5,,0,,0,1,3,0,0,com.fasterxml.jackson.core.JsonParseException|com.fasterxml.jackson.databind.JsonMappingException|java.io.IOException,1,1,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/facebook/FbBotTest.java,example.jbot.facebook.FbBotTest,When_QuickReplyInCallback_Then_InvokeOnReceiveQuickReply,()V,void When_QuickReplyInCallback_Then_InvokeOnReceiveQuickReply(),org.junit.Test,3,3,5,Matcher containsString(String substring)|Object readValue(String content; Class valueType)|ResponseEntity setupWebhookEndpoint(Callback callback)|String toString()|void assertThat(Object actual; Matcher matcher),5,,0,,0,1,3,0,0,com.fasterxml.jackson.core.JsonParseException|com.fasterxml.jackson.databind.JsonMappingException|java.io.IOException,1,1,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/facebook/FbBotTest.java,example.jbot.facebook.FbBotTest,When_ConversationPatternInCallback_Then_StartConversation,()V,void When_ConversationPatternInCallback_Then_StartConversation(),org.junit.Test,12,12,20,Matcher containsString(String substring)|Object readValue(String content; Class valueType)|ResponseEntity setupWebhookEndpoint(Callback callback)|String toString()|void assertThat(Object actual; Matcher matcher),5,,0,,0,4,12,0,0,com.fasterxml.jackson.core.JsonParseException|com.fasterxml.jackson.databind.JsonMappingException|java.io.IOException,4,4,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/facebook/FbBotTest.java,example.jbot.facebook.FbBotTest,Given_InConversation_When_AnswerNoInCallback_Then_StopConversation,()V,void Given_InConversation_When_AnswerNoInCallback_Then_StopConversation(),org.junit.Test,9,9,15,Matcher containsString(String substring)|Object readValue(String content; Class valueType)|ResponseEntity setupWebhookEndpoint(Callback callback)|String toString()|void assertThat(Object actual; Matcher matcher),5,,0,,0,3,9,0,0,com.fasterxml.jackson.core.JsonParseException|com.fasterxml.jackson.databind.JsonMappingException|java.io.IOException,3,3,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/slack/SlackBotTest.java,example.jbot.slack.SlackBotTest,When_DirectMention_Then_InvokeOnDirectMention,()V,void When_DirectMention_Then_InvokeOnDirectMention(),org.junit.Test,3,3,4,Matcher containsString(String substring)|String toString()|void assertThat(Object actual; Matcher matcher)|void handleTextMessage(WebSocketSession session; TextMessage textMessage),4,,0,,0,0,0,0,0,,1,1,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/slack/SlackBotTest.java,example.jbot.slack.SlackBotTest,When_DirectMessage_Then_InvokeOnDirectMessage,()V,void When_DirectMessage_Then_InvokeOnDirectMessage(),org.junit.Test,3,3,4,Matcher containsString(String substring)|String toString()|void assertThat(Object actual; Matcher matcher)|void handleTextMessage(WebSocketSession session; TextMessage textMessage),4,,0,,0,0,0,0,0,,1,1,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/slack/SlackBotTest.java,example.jbot.slack.SlackBotTest,When_MessageWithPattern_Then_InvokeOnReceiveMessageWithPattern,()V,void When_MessageWithPattern_Then_InvokeOnReceiveMessageWithPattern(),org.junit.Test,6,6,13,Matcher containsString(String substring)|String toString()|void assertThat(Object actual; Matcher matcher)|void handleTextMessage(WebSocketSession session; TextMessage textMessage),4,,0,,0,0,0,0,0,,4,4,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/slack/SlackBotTest.java,example.jbot.slack.SlackBotTest,When_DirectMessageWithPattern_Then_InvokeOnDirectMessage,()V,void When_DirectMessageWithPattern_Then_InvokeOnDirectMessage(),org.junit.Test,3,3,4,Matcher containsString(String substring)|String toString()|void assertThat(Object actual; Matcher matcher)|void handleTextMessage(WebSocketSession session; TextMessage textMessage),4,,0,,0,0,0,0,0,,1,1,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/slack/SlackBotTest.java,example.jbot.slack.SlackBotTest,When_MessageWithPatternAndPatternFlags_Then_InvokeOnReceiveMessageWithPatternAndPatternFlags,()V,void When_MessageWithPatternAndPatternFlags_Then_InvokeOnReceiveMessageWithPatternAndPatternFlags(),org.junit.Test,3,3,4,Matcher containsString(String substring)|String toString()|void assertThat(Object actual; Matcher matcher)|void handleTextMessage(WebSocketSession session; TextMessage textMessage),4,,0,,0,0,0,0,0,,1,1,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/slack/SlackBotTest.java,example.jbot.slack.SlackBotTest,When_DirectMessage_Then_InvokeOnPinAdded,()V,void When_DirectMessage_Then_InvokeOnPinAdded(),org.junit.Test,3,3,4,Matcher containsString(String substring)|String toString()|void assertThat(Object actual; Matcher matcher)|void handleTextMessage(WebSocketSession session; TextMessage textMessage),4,,0,,0,0,0,0,0,,1,1,,0,,0
jbot,jbot-example,/jbot-example/src/test/java/example/jbot/slack/SlackBotTest.java,example.jbot.slack.SlackBotTest,When_DirectMessage_Then_InvokeOnFileShared,()V,void When_DirectMessage_Then_InvokeOnFileShared(),org.junit.Test,3,3,4,Matcher containsString(String substring)|String toString()|void assertThat(Object actual; Matcher matcher)|void handleTextMessage(WebSocketSession session; TextMessage textMessage),4,,0,,0,0,0,0,0,,1,1,,0,,0
