mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testPosition,()V,void testPosition(),org.junit.Test,4,4,8,FileChannel channel(RegularFile file; OpenOption[] options)|FileChannel position(long newPosition)|RegularFile regularFile(int size)|long position()|void assertEquals(long expected; long actual)|void assertSame(Object expected; Object actual),6,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,4,4,0,0,java.io.IOException,3,3,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testSize,()V,void testSize(),org.junit.Test,5,5,7,FileChannel channel(RegularFile file; OpenOption[] options)|RegularFile regularFile(int size)|int write(long pos; byte[] b; int off; int len)|long size()|void assertEquals(long expected; long actual),5,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,4,4,0,0,java.io.IOException,2,2,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testRead,()V,void testRead(),org.junit.Test,21,21,32,ByteBuffer buffer(String bytes)|ByteBuffer flip()|FileChannel channel(RegularFile file; OpenOption[] options)|RegularFile regularFile(int size)|int read(ByteBuffer dst)|int read(ByteBuffer dst; long position)|int write(long pos; byte[] b; int off; int len)|long position()|long read(ByteBuffer[] dsts)|long read(ByteBuffer[] dsts; int offset; int length)|void assertEquals(long expected; long actual),11,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,13,13,0,0,java.io.IOException,11,11,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testWrite,()V,void testWrite(),org.junit.Test,17,17,26,ByteBuffer buffer(String bytes)|ByteBuffer flip()|FileChannel channel(RegularFile file; OpenOption[] options)|RegularFile regularFile(int size)|int write(ByteBuffer src)|int write(ByteBuffer src; long position)|long position()|long write(ByteBuffer[] srcs)|long write(ByteBuffer[] srcs; int offset; int length)|void assertEquals(long expected; long actual),10,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,10,10,0,0,java.io.IOException,9,9,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testAppend,()V,void testAppend(),org.junit.Test,24,24,35,ByteBuffer buffer(String bytes)|ByteBuffer flip()|FileChannel channel(RegularFile file; OpenOption[] options)|FileChannel position(long newPosition)|RegularFile regularFile(int size)|int write(ByteBuffer src)|int write(ByteBuffer src; long position)|long position()|long transferFrom(ReadableByteChannel src; long position; long count)|long write(ByteBuffer[] srcs)|long write(ByteBuffer[] srcs; int offset; int length)|void assertEquals(long expected; long actual),12,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,16,16,0,0,java.io.IOException,11,11,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testTransferTo,()V,void testTransferTo(),org.junit.Test,5,5,7,ByteBuffer buffer(String bytes)|FileChannel channel(RegularFile file; OpenOption[] options)|RegularFile regularFile(int size)|long position()|long transferTo(long position; long count; WritableByteChannel target)|void assertEquals(long expected; long actual),6,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,3,3,0,0,java.io.IOException,2,2,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testTransferFrom,()V,void testTransferFrom(),org.junit.Test,5,5,7,ByteBuffer buffer(String bytes)|FileChannel channel(RegularFile file; OpenOption[] options)|RegularFile regularFile(int size)|long position()|long transferFrom(ReadableByteChannel src; long position; long count)|void assertEquals(long expected; long actual),6,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,3,3,0,0,java.io.IOException,2,2,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testTruncate,()V,void testTruncate(),org.junit.Test,13,13,18,FileChannel channel(RegularFile file; OpenOption[] options)|FileChannel position(long newPosition)|FileChannel truncate(long size)|RegularFile regularFile(int size)|long position()|long size()|void assertEquals(long expected; long actual),7,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,9,9,0,0,java.io.IOException,5,5,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testFileTimeUpdates,()V,void testFileTimeUpdates(),org.junit.Test,46,46,66,ByteBuffer allocate(int capacity)|FileChannel truncate(long size)|ImmutableSet of(Object e1; Object e2)|RegularFile regularFile(int size)|Runnable doNothing()|int read(ByteBuffer dst)|int read(ByteBuffer dst; long position)|int write(ByteBuffer src)|int write(ByteBuffer src; long position)|long getLastAccessTime()|long getLastModifiedTime()|long read(ByteBuffer[] dsts)|long read(ByteBuffer[] dsts; int offset; int length)|long transferFrom(ReadableByteChannel src; long position; long count)|long transferTo(long position; long count; WritableByteChannel target)|long write(ByteBuffer[] srcs)|long write(ByteBuffer[] srcs; int offset; int length)|void assertNotEquals(Object unexpected; Object actual)|void sleepUninterruptibly(long sleepFor; TimeUnit unit),19,,0,,0,11,11,0,0,java.io.IOException,0,11,,0,,0
jimfs,jimfs,/jimfs/src/test/java/com/google/common/jimfs/JimfsFileChannelTest.java,com.google.common.jimfs.JimfsFileChannelTest,testClose,()V,void testClose(),org.junit.Test,24,60,59,ByteBuffer buffer(String bytes)|ExecutorService newSingleThreadExecutor()|FileChannel channel(RegularFile file; OpenOption[] options)|FileChannel position(long newPosition)|FileChannel truncate(long size)|FileLock lock()|FileLock lock(long position; long size; boolean shared)|FileLock tryLock()|FileLock tryLock(long position; long size; boolean shared)|RegularFile regularFile(int size)|boolean isOpen()|byte[] bytes(String bytes)|int read(ByteBuffer dst)|int read(ByteBuffer dst; long position)|int write(ByteBuffer src)|int write(ByteBuffer src; long position)|long position()|long read(ByteBuffer[] dsts)|long read(ByteBuffer[] dsts; int offset; int length)|long transferFrom(ReadableByteChannel src; long position; long count)|long transferTo(long position; long count; WritableByteChannel target)|long write(ByteBuffer[] srcs)|long write(ByteBuffer[] srcs; int offset; int length)|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void close()|void fail()|void force(boolean metaData)|void shutdown(),29,FileChannel channel(RegularFile file; OpenOption[] options),1,,0,20,20,0,0,java.io.IOException,20,20,,0,,0
