mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/model/CardLabelTest.java,io.lavagna.model.CardLabelTest,set,()V,void set(),org.junit.Test,8,8,11,CardLabel color(int arg0)|CardLabel name(String arg0)|CardLabel set(String arg0; CardLabel.LabelType arg1; int arg2)|String getName()|int getColor()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),7,,0,,0,0,0,0,0,,4,4,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/model/CardLabelTest.java,io.lavagna.model.CardLabelTest,equality,()V,void equality(),org.junit.Test,12,12,15,boolean equals(Object arg0)|int hashCode()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void assertNotEquals(Object unexpected; Object actual)|void assertNotEquals(long unexpected; long actual),7,,0,,0,0,0,0,0,,9,9,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/model/CardLabelValueTest.java,io.lavagna.model.CardLabelValueTest,testValues,()V,void testValues(),org.junit.Test,23,23,20,CardLabelValue newNullValue()|CardLabelValue newValue(CardLabel.LabelType arg0; CardLabelValue.LabelValue arg1)|CardLabelValue newValue(Date arg0)|CardLabelValue newValue(Integer arg0)|CardLabelValue newValue(String arg0)|void checkCardValue(CardLabelValue i; Integer j)|void checkIntValue(CardLabelValue i; Integer j)|void checkNullValue(CardLabelValue n)|void checkStringValue(CardLabelValue s; String string)|void checkTimestampValue(CardLabelValue d; Date dNow)|void checkUserValue(CardLabelValue i; Integer j),11,void checkCardValue(CardLabelValue i; Integer j)|void checkIntValue(CardLabelValue i; Integer j)|void checkNullValue(CardLabelValue n)|void checkStringValue(CardLabelValue s; String string)|void checkTimestampValue(CardLabelValue d; Date dNow)|void checkUserValue(CardLabelValue i; Integer j),6,,0,0,0,0,0,,0,58,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/model/RoleTest.java,io.lavagna.model.RoleTest,testEquality,()V,void testEquality(),org.junit.Test,9,9,12,boolean equals(Object arg0)|int hashCode()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void assertNotEquals(Object unexpected; Object actual)|void assertNotEquals(long unexpected; long actual),7,,0,,0,0,0,0,0,,6,6,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/model/util/ShortNameGeneratorTest.java,io.lavagna.model.util.ShortNameGeneratorTest,testShortNameGenerator,()V,void testShortNameGenerator(),org.junit.Test,11,11,22,String generateShortNameFrom(String name)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,11,11,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/service/LdapTest.java,io.lavagna.service.LdapTest,failOnFirstOpen,()V,void failOnFirstOpen(),org.junit.Test,4,4,7,InitialDirContextCloseable context(String providerUrl; String principal; String password)|Object verify(Object mock)|OngoingStubbing thenThrow(Throwable[] arg0)|OngoingStubbing when(Object methodCall)|boolean authenticate(String username; String password)|void assertFalse(boolean condition),6,,0,,0,2,2,0,0,javax.naming.NamingException,1,1,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/service/LdapTest.java,io.lavagna.service.LdapTest,nothingFound,()V,void nothingFound(),java.lang.SuppressWarnings|org.junit.Test,7,7,18,InitialDirContextCloseable context(String providerUrl; String principal; String password)|NamingEnumeration search(String name; String filter; SearchControls cons)|Object any(Class type)|Object eq(Object value)|Object mock(Class classToMock)|Object verify(Object mock)|OngoingStubbing thenReturn(Object arg0)|OngoingStubbing when(Object methodCall)|boolean authenticate(String username; String password)|boolean hasMore()|void assertFalse(boolean condition),11,,0,,0,4,4,0,0,javax.naming.NamingException,1,1,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/service/LdapTest.java,io.lavagna.service.LdapTest,wrongPassword,()V,void wrongPassword(),java.lang.SuppressWarnings|org.junit.Test,15,15,37,InitialDirContextCloseable context(String providerUrl; String principal; String password)|NamingEnumeration search(String name; String filter; SearchControls cons)|Object any(Class type)|Object eq(Object value)|Object mock(Class classToMock)|Object next()|Object verify(Object mock)|OngoingStubbing thenReturn(Object arg0)|OngoingStubbing thenReturn(Object arg0; Object[] arg1)|OngoingStubbing thenThrow(Throwable[] arg0)|OngoingStubbing when(Object methodCall)|String getNameInNamespace()|boolean authenticate(String username; String password)|boolean hasMore()|void assertFalse(boolean condition),15,,0,,0,8,8,0,0,javax.naming.NamingException,1,1,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/service/LdapTest.java,io.lavagna.service.LdapTest,authenticate,()V,void authenticate(),java.lang.SuppressWarnings|org.junit.Test,12,12,29,InitialDirContextCloseable context(String providerUrl; String principal; String password)|NamingEnumeration search(String name; String filter; SearchControls cons)|Object any(Class type)|Object eq(Object value)|Object mock(Class classToMock)|Object next()|Object verify(Object mock)|OngoingStubbing thenReturn(Object arg0)|OngoingStubbing thenReturn(Object arg0; Object[] arg1)|OngoingStubbing when(Object methodCall)|String getNameInNamespace()|boolean authenticate(String username; String password)|boolean hasMore()|void assertTrue(boolean condition),14,,0,,0,6,6,0,0,javax.naming.NamingException,1,1,,0,,0
lavagna,lavagna,/lavagna/src/test/java/io/lavagna/service/LabelServiceTest.java,io.lavagna.service.LabelServiceTest,testAddLabel,()V,void testAddLabel(),org.junit.Test,9,9,23,CardLabel addLabel(int projectId; boolean unique; LabelType labelType; LabelDomain labelDomain; String name; int color)|CardLabel findLabelById(int labelId)|CardLabel.LabelDomain getDomain()|CardLabel.LabelType getType()|List<CardLabel> findLabelsByProject(int projectId)|String getName()|int getColor()|int getId()|int getProjectId()|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),12,,0,,0,0,0,0,0,,7,7,,0,,0
