mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testGenerate3Pairs,()V,void testGenerate3Pairs(),org.junit.Test,6,6,9,List<Label> generatePairs(String tagQuery)|boolean contains(Object o)|int size()|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,4,4,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testGenerate1Pair,()V,void testGenerate1Pair(),org.junit.Test,4,4,5,List<Label> generatePairs(String tagQuery)|boolean contains(Object o)|int size()|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,2,2,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testGeneratePairNull,()V,void testGeneratePairNull(),org.junit.Test,3,3,3,List<Label> generatePairs(String tagQuery)|int size()|void assertEquals(long expected; long actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testGeneratePairMalformed,()V,void testGeneratePairMalformed(),org.junit.Test,3,3,3,List<Label> generatePairs(String tagQuery)|int size()|void assertEquals(long expected; long actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testGeneratePairPartialMalformed,()V,void testGeneratePairPartialMalformed(),org.junit.Test,4,4,5,List<Label> generatePairs(String tagQuery)|Object get(int index)|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),5,,0,,0,0,0,0,0,,2,2,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testAllPairsPresent,()V,void testAllPairsPresent(),org.junit.Test,7,7,6,List<Label> generatePairs(String tagQuery)|boolean add(Object e)|boolean allPairsPresent(List<Label> expectedTags; List<Label> actualTags)|void assertTrue(boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testAllPairsPresent2,()V,void testAllPairsPresent2(),org.junit.Test,6,6,5,List<Label> generatePairs(String tagQuery)|boolean add(Object e)|boolean allPairsPresent(List<Label> expectedTags; List<Label> actualTags)|void assertFalse(boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testSomePairsPresent,()V,void testSomePairsPresent(),org.junit.Test,6,6,5,List<Label> generatePairs(String tagQuery)|boolean add(Object e)|boolean somePairsPresent(List<Label> expectedTags; List<Label> actualTags)|void assertTrue(boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testSomePairsPresent2,()V,void testSomePairsPresent2(),org.junit.Test,6,6,5,List<Label> generatePairs(String tagQuery)|boolean add(Object e)|boolean somePairsPresent(List<Label> expectedTags; List<Label> actualTags)|void assertFalse(boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
mantis,mantis-common,/mantis-common/src/test/java/com/mantisrx/common/utils/LabelUtilsTest.java,com.mantisrx.common.utils.LabelUtilsTest,testSomePairsPresent3,()V,void testSomePairsPresent3(),org.junit.Test,6,6,5,List<Label> generatePairs(String tagQuery)|boolean add(Object e)|boolean somePairsPresent(List<Label> expectedTags; List<Label> actualTags)|void assertFalse(boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
