mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/DynamicConnectionSetTest.java,io.reactivex.mantis.remote.observable.DynamicConnectionSetTest,testMergeInConnections,()V,void testMergeInConnections(),org.junit.Test,12,8,10,Codec<Integer> integer()|Observable range(int start; int count)|RemoteRxServer serve(int port; Observable<T> observable; Encoder<T> encoder)|int acquirePort()|void start(),5,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/DynamicConnectionSetTest.java,io.reactivex.mantis.remote.observable.DynamicConnectionSetTest,testMergeInWithDeltaEndpointService,()V,void testMergeInWithDeltaEndpointService(),org.junit.Test,17,17,25,BlockingObservable toBlocking()|Builder<T> decoder(Decoder<T> decoder)|Codec<Integer> integer()|DynamicConnectionSet<GroupedObservable<K;V>> create(ConnectToGroupedObservable.Builder<K;V> config)|Object last()|Observable merge(Observable source)|Observable range(int start; int count)|Observable sumInteger(Observable source)|Observable<Observable<T>> observables()|RemoteRxServer serve(int port; Observable<T> observable; Encoder<T> encoder)|ReplaySubject create()|boolean add(Object e)|int acquirePort()|void assertEquals(int expected; int actual)|void onCompleted()|void onNext(Object t)|void setEndpointInjector(EndpointInjector endpointInjector)|void start(),18,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/DynamicConnectionSetTest.java,io.reactivex.mantis.remote.observable.DynamicConnectionSetTest,testMergeInBadObservable,()V,void testMergeInBadObservable(),org.junit.Test,13,4,3,Observable create(Observable.OnSubscribe f)|int acquirePort(),2,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/MergedObservableTest.java,io.reactivex.mantis.remote.observable.MergedObservableTest,testMergeCount,()V,void testMergeCount(),org.junit.Test,4,4,6,boolean incrementTerminalCountAndCheck()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,3,3,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/MergedObservableTest.java,io.reactivex.mantis.remote.observable.MergedObservableTest,testFixedMerge,()V,void testFixedMerge(),org.junit.Test,4,4,10,BlockingObservable toBlocking()|MergedObservable<T> createWithReplay(int expectedTerminalCount)|Observable merge(Observable source)|Observable range(int start; int count)|Observable sumInteger(Observable source)|Observable<Observable<T>> get()|void forEach(Action1 onNext)|void mergeIn(String key; Observable<T> o),8,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/MergedObservableTest.java,io.reactivex.mantis.remote.observable.MergedObservableTest,testMergeInBadObservable,()V,void testMergeInBadObservable(),org.junit.Test,5,3,4,MergedObservable<T> createWithReplay(int expectedTerminalCount)|Observable create(Observable.OnSubscribe f)|Observable range(int start; int count)|void mergeIn(String key; Observable<T> o),4,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/MergedObservableTest.java,io.reactivex.mantis.remote.observable.MergedObservableTest,testSingleRemoteObservableMerge,()V,void testSingleRemoteObservableMerge(),org.junit.Test,9,9,14,BlockingObservable toBlocking()|Codec<Integer> integer()|MergedObservable<T> createWithReplay(int expectedTerminalCount)|Observable merge(Observable source)|Observable range(int start; int count)|Observable sumInteger(Observable source)|Observable<Observable<T>> get()|Observable<T> connect(String host; int port; Decoder<T> decoder)|RemoteRxServer serve(int port; Observable<T> observable; Encoder<T> encoder)|int acquirePort()|void forEach(Action1 onNext)|void mergeIn(String key; Observable<T> o)|void start(),13,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/MergedObservableTest.java,io.reactivex.mantis.remote.observable.MergedObservableTest,testThreeRemoteObservablesMerge,()V,void testThreeRemoteObservablesMerge(),org.junit.Test,13,13,20,BlockingObservable toBlocking()|Codec<Integer> integer()|MergedObservable<T> createWithReplay(int expectedTerminalCount)|Observable merge(Observable source)|Observable range(int start; int count)|Observable sumInteger(Observable source)|Observable<Observable<T>> get()|Observable<T> connect(String host; int port; Decoder<T> decoder)|RemoteRxServer serve(int port; Observable<T> observable; Encoder<T> encoder)|int acquirePort()|void forEach(Action1 onNext)|void mergeIn(String key; Observable<T> o)|void start(),13,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/RemoteGroupedObservableTest.java,io.reactivex.mantis.remote.observable.RemoteGroupedObservableTest,testConsistentSlottingServer,()V,void testConsistentSlottingServer(),org.junit.Test,10,1,5,Observable groupBy(Func1 keySelector)|Observable just(Object value)|Observable range(int start; int count)|Observable subscribeOn(Scheduler scheduler)|Scheduler io(),5,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-remote-observable,/mantis-remote-observable/src/test/java/io/reactivex/mantis/remote/observable/RemoteObservableTest.java,io.reactivex.mantis.remote.observable.RemoteObservableTest,testServeObservable,()V,void testServeObservable(),org.junit.Test,7,7,12,BlockingObservable toBlocking()|Codec<Integer> integer()|Observable range(int start; int count)|Observable subscribeOn(Scheduler scheduler)|Observable sumInteger(Observable source)|Observable<T> connect(String host; int port; Decoder<T> decoder)|RemoteRxServer serve(int port; Observable<T> observable; Encoder<T> encoder)|Scheduler io()|int acquirePort()|void forEach(Action1 onNext)|void start(),11,,0,,0,0,0,0,0,,0,0,,0,,0
