mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/ParameterDefinitionTest.java,io.mantisrx.runtime.executor.ParameterDefinitionTest,emptyCheck,()V,void emptyCheck(),org.junit.Test,3,3,1,Map<String;Object> checkThenCreateState(Map<String;ParameterDefinition<?>> parameterDefinitions; Map<String;Parameter> parameters),1,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,0,0,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/ParameterDefinitionTest.java,io.mantisrx.runtime.executor.ParameterDefinitionTest,missingRequiredParameter,()V,void missingRequiredParameter(),org.junit.Test,4,4,7,Builder<T> name(String name)|Builder<T> required()|Builder<T> validator(Validator<? super T> validator)|Map<String;Object> checkThenCreateState(Map<String;ParameterDefinition<?>> parameterDefinitions; Map<String;Parameter> parameters)|Object put(Object key; Object value)|ParameterDefinition<T> build()|Validator<T> alwaysPass(),7,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,0,0,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/ParameterDefinitionTest.java,io.mantisrx.runtime.executor.ParameterDefinitionTest,singleRequiredParameterCheck,()V,void singleRequiredParameterCheck(),org.junit.Test,9,9,14,Builder<T> name(String name)|Builder<T> required()|Builder<T> validator(Validator<? super T> validator)|Map<String;Object> checkThenCreateState(Map<String;ParameterDefinition<?>> parameterDefinitions; Map<String;Parameter> parameters)|Object get(Object key)|Object put(Object key; Object value)|ParameterDefinition<T> build()|Validator<T> alwaysPass()|boolean containsKey(Object key)|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),12,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,3,3,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/ParameterDefinitionTest.java,io.mantisrx.runtime.executor.ParameterDefinitionTest,singleRequiredSingleNonRequiredParameterCheck,()V,void singleRequiredSingleNonRequiredParameterCheck(),org.junit.Test,10,10,19,Builder<T> name(String name)|Builder<T> required()|Builder<T> validator(Validator<? super T> validator)|Map<String;Object> checkThenCreateState(Map<String;ParameterDefinition<?>> parameterDefinitions; Map<String;Parameter> parameters)|Object get(Object key)|Object put(Object key; Object value)|ParameterDefinition<T> build()|Validator<T> alwaysPass()|boolean containsKey(Object key)|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),12,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,3,3,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/ParameterDefinitionTest.java,io.mantisrx.runtime.executor.ParameterDefinitionTest,testEnumParameter,()V,void testEnumParameter(),org.junit.Test,6,6,10,Builder<T> name(String name)|Builder<T> required()|Builder<T> validator(Validator<? super T> validator)|Map<String;Object> checkThenCreateState(Map<String;ParameterDefinition<?>> parameterDefinitions; Map<String;Parameter> parameters)|Object get(Object key)|Object put(Object key; Object value)|ParameterDefinition<T> build()|Validator<T> alwaysPass()|void assertEquals(Object expected; Object actual),9,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,1,1,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/ParameterDefinitionTest.java,io.mantisrx.runtime.executor.ParameterDefinitionTest,testEnumCSVParameter,()V,void testEnumCSVParameter(),org.junit.Test,9,9,15,Builder<T> name(String name)|Builder<T> required()|Builder<T> validator(Validator<? super T> validator)|Map<String;Object> checkThenCreateState(Map<String;ParameterDefinition<?>> parameterDefinitions; Map<String;Parameter> parameters)|Object get(Object key)|Object put(Object key; Object value)|ParameterDefinition<T> build()|Validator<T> alwaysPass()|boolean contains(Object o)|void assertFalse(boolean condition)|void assertTrue(boolean condition),11,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,3,3,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/ParameterDefinitionTest.java,io.mantisrx.runtime.executor.ParameterDefinitionTest,emptyEnumCSVListValidation,()V,void emptyEnumCSVListValidation(),org.junit.Test,5,5,8,Builder<T> name(String name)|Builder<T> required()|Builder<T> validator(Validator<? super T> validator)|Map<String;Object> checkThenCreateState(Map<String;ParameterDefinition<?>> parameterDefinitions; Map<String;Parameter> parameters)|Object put(Object key; Object value)|ParameterDefinition<T> build()|Validator<EnumSet<T>> notNullOrEmptyEnumCSV(),7,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,0,0,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/StageExecutorsGroupByTest.java,io.mantisrx.runtime.executor.StageExecutorsGroupByTest,testExecuteSource,()V,void testExecuteSource(),java.lang.SuppressWarnings|org.junit.Test,26,26,58,BehaviorSubject create(Object defaultValue)|BlockingObservable toBlocking()|Builder<K;V> host(String host)|Builder<K;V> keyDecoder(Decoder<K> keyDecoder)|Builder<K;V> port(int port)|Builder<K;V> slotId(String slotId)|Builder<K;V> valueDecoder(Decoder<V> valueDecoder)|Codec<Integer> integer()|Codec<String> string()|ConnectToGroupedObservable<K;V> build()|Iterator getIterator()|Job<Pair> getJobInstance()|List<StageConfig<?;?>> getStages()|Object get(int index)|Object getKey()|Object next()|Observable just(Object value)|Observable<T> getObservable()|RemoteRxConnection<GroupedObservable<K;V>> connect(ConnectToGroupedObservable<K;V> config)|SourceHolder<?> getSource()|boolean hasNext()|int acquirePort()|int intValue()|void assertEquals(String expected; String actual)|void assertEquals(boolean expected; boolean actual)|void assertEquals(int expected; int actual)|void assertTrue(boolean condition)|void executeSource(int workerIndex; SourceHolder source; StageConfig stage; WorkerPublisher publisher; Context context; Observable<Integer> totalWorkerAtStageObservable),28,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/StageExecutorsGroupByTest.java,io.mantisrx.runtime.executor.StageExecutorsGroupByTest,testExecuteIntermediatStage,()V,void testExecuteIntermediatStage(),java.lang.SuppressWarnings|org.junit.Test,31,7,7,Job<Pair> getJobInstance()|List<StageConfig<?;?>> getStages()|Observable groupBy(Func1 keySelector)|Observable just(Object value)|Observable range(int start; int count)|int acquirePort(),6,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-runtime,/mantis-runtime/src/test/java/io/mantisrx/runtime/executor/StageExecutorsSingleStageTest.java,io.mantisrx.runtime.executor.StageExecutorsSingleStageTest,testSingleStageJob,()V,void testSingleStageJob(),java.lang.SuppressWarnings|org.junit.Test,13,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
