mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/HeartbeatTest.java,io.mantisrx.server.worker.HeartbeatTest,testSingleUsePayloads,()V,void testSingleUsePayloads(),org.junit.Test,14,16,16,List getPayloads()|Status getCurrentHeartbeatStatus()|StatusPayloads.Type valueOf(String name)|String getData()|String getType()|int parseInt(String s)|int size()|void addSingleUsePayload(String name; String value)|void assertEquals(int expected; int actual)|void setPayload(String name; String value),10,,0,,0,1,1,0,0,java.lang.NumberFormatException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/WorkerExecutionOperationsNetworkStageTest.java,io.mantisrx.server.worker.WorkerExecutionOperationsNetworkStageTest,convertJobSchedulingInfoToWorkerMapTest,()V,void convertJobSchedulingInfoToWorkerMapTest(),org.junit.Test,18,30,41,List<WorkerInfo> getWorkersForStage(int stageNum)|MantisJobDurationType getDurationType()|Object get(int index)|Object put(Object key; Object value)|WorkerAssignments createWorkerAssignments(int stageNo; int noWorkers)|WorkerMap convertJobSchedulingInfoToWorkerMap(String jobName; String jobId; MantisJobDurationType durationType; JobSchedulingInfo js)|WorkerPorts getWorkerPorts()|int getCustomPort()|int getMetricsPort()|int getWorkerIndex()|int getWorkerNumber()|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(int expected; int actual)|void assertTrue(boolean condition),15,WorkerAssignments createWorkerAssignments(int stageNo; int noWorkers),1,,0,0,0,0,0,,2,2,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/WorkerExecutionOperationsNetworkStageTest.java,io.mantisrx.server.worker.WorkerExecutionOperationsNetworkStageTest,convertJobSchedulingInfoToWorkerMapInvalidInputTest,()V,void convertJobSchedulingInfoToWorkerMapInvalidInputTest(),org.junit.Test,24,24,21,Object put(Object key; Object value)|WorkerAssignments createWorkerAssignments(int stageNo; int noWorkers)|WorkerMap convertJobSchedulingInfoToWorkerMap(String jobName; String jobId; MantisJobDurationType durationType; JobSchedulingInfo js)|boolean isEmpty()|void assertTrue(boolean condition),5,WorkerAssignments createWorkerAssignments(int stageNo; int noWorkers),1,,0,0,0,0,0,,5,5,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/WorkerExecutionOperationsNetworkStageTest.java,io.mantisrx.server.worker.WorkerExecutionOperationsNetworkStageTest,deferTest,()V,void deferTest(),org.junit.Test,12,15,24,Observable subscribeOn(Scheduler scheduler)|Observable<Long> getObs4()|Scheduler io()|Subscription subscribe(Action1 onNext)|void println(String x)|void sleep(long millis)|void unsubscribe(),7,Observable<Long> getObs4(),1,,0,6,6,0,0,java.lang.InterruptedException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/WorkerMetricHandlerTest.java,io.mantisrx.server.worker.jobmaster.WorkerMetricHandlerTest,testDropDataMetricTriggersAutoScale,()V,void testDropDataMetricTriggersAutoScale(),org.junit.Test,18,15,9,List asList(Object[] a)|Map singletonMap(Object key; Object value)|Object mock(Class classToMock)|Object put(Object key; Object value)|Observable just(Object value)|Observable schedulingChanges(String jobId)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall),8,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/WorkerMetricHandlerTest.java,io.mantisrx.server.worker.jobmaster.WorkerMetricHandlerTest,testKafkaLagAndUserDefinedTriggersAutoScale,()V,void testKafkaLagAndUserDefinedTriggersAutoScale(),org.junit.Test,29,23,16,List asList(Object[] a)|Map singletonMap(Object key; Object value)|Object mock(Class classToMock)|Object put(Object key; Object value)|Observable just(Object value)|Observable schedulingChanges(String jobId)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall),8,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/WorkerMetricHandlerTest.java,io.mantisrx.server.worker.jobmaster.WorkerMetricHandlerTest,testOutlierResubmitWorks,()V,void testOutlierResubmitWorks(),org.junit.Test,28,21,21,List asList(Object[] a)|Object mock(Class classToMock)|Object put(Object key; Object value)|Observable just(Object value)|Observable resubmitJobWorker(String jobId; String user; int workerNum; String reason)|Observable schedulingChanges(String jobId)|OngoingStubbing thenAnswer(Answer answer)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|int anyInt(),11,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/JobAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.JobAutoScalerTest,testScaleUp,()V,void testScaleUp(),org.junit.Test,28,26,29,Map singletonMap(Object key; Object value)|Object eq(Object value)|Object mock(Class classToMock)|Object put(Object key; Object value)|Object verify(Object mock; VerificationMode mode)|Observable just(Object value)|Observable scaleJobStage(String jobId; int stageNum; int numWorkers; String reason)|Observer<Event> getObserver()|OngoingStubbing thenAnswer(Answer answer)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|String format(String format; Object[] args)|VerificationMode times(int wantedNumberOfInvocations)|VerificationWithTimeout timeout(int millis)|int eq(int value)|void onNext(Object t)|void sleep(long millis)|void start(),19,,0,,0,1,1,0,0,java.lang.InterruptedException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/JobAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.JobAutoScalerTest,testScalingResiliency,()V,void testScalingResiliency(),org.junit.Test,25,18,5,Map singletonMap(Object key; Object value)|Object mock(Class classToMock)|Object put(Object key; Object value)|Observable just(Object value)|Observable map(Func1 func),5,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/JobAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.JobAutoScalerTest,testScaleDown,()V,void testScaleDown(),org.junit.Test,25,27,24,Map singletonMap(Object key; Object value)|Object eq(Object value)|Object mock(Class classToMock)|Object put(Object key; Object value)|Object verify(Object mock; VerificationMode mode)|Observable just(Object value)|Observable scaleJobStage(String jobId; int stageNum; int numWorkers; String reason)|Observer<Event> getObserver()|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|String format(String format; Object[] args)|VerificationMode times(int wantedNumberOfInvocations)|VerificationWithTimeout timeout(int millis)|int eq(int value)|void onNext(Object t)|void sleep(long millis)|void start()|void verifyNoMoreInteractions(Object[] mocks),19,,0,,0,1,1,0,0,java.lang.InterruptedException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/JobAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.JobAutoScalerTest,testScaleUpOnDifferentScalingReasons,()V,void testScaleUpOnDifferentScalingReasons(),org.junit.Test,2,29,33,List asList(Object[] a)|Map singletonMap(Object key; Object value)|Object eq(Object value)|Object mock(Class classToMock)|Object put(Object key; Object value)|Object verify(Object mock; VerificationMode mode)|Observable just(Object value)|Observable scaleJobStage(String jobId; int stageNum; int numWorkers; String reason)|Observer<Event> getObserver()|OngoingStubbing thenAnswer(Answer answer)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|String format(String format; Object[] args)|String name()|VerificationMode times(int wantedNumberOfInvocations)|VerificationWithTimeout timeout(int millis)|int eq(int value)|void info(String format; Object arg)|void onNext(Object t)|void sleep(long millis)|void start(),22,,0,,0,1,1,0,0,java.lang.InterruptedException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/AdaptiveAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.control.AdaptiveAutoScalerTest,shouldScaleUpUnderIncreasingLoadAndRespectMaximum,()V,void shouldScaleUpUnderIncreasingLoadAndRespectMaximum(),org.junit.Test,10,10,14,Object mock(Class classToMock)|Object readValue(String content; TypeReference valueTypeRef)|Observable compose(Observable.Transformer transformer)|Observable doOnNext(Action1 onNext)|Observable just(Object t1; Object t2; Object t3; Object t4; Object t5; Object t6)|Observable map(Func1 func)|Subscription subscribe(Subscriber subscriber)|int intValue()|long get()|void assertCompleted()|void assertNoErrors()|void assertValues(Object[] values),12,,0,,0,1,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|com.fasterxml.jackson.databind.JsonMappingException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/AdaptiveAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.control.AdaptiveAutoScalerTest,shouldScaleDownUnderDecreasingLoadAndRespectMinimum,()V,void shouldScaleDownUnderDecreasingLoadAndRespectMinimum(),org.junit.Test,10,10,14,Object mock(Class classToMock)|Object readValue(String content; TypeReference valueTypeRef)|Observable compose(Observable.Transformer transformer)|Observable doOnNext(Action1 onNext)|Observable just(Object t1; Object t2; Object t3; Object t4; Object t5; Object t6; Object t7)|Observable map(Func1 func)|Subscription subscribe(Subscriber subscriber)|int intValue()|long get()|void assertCompleted()|void assertNoErrors()|void assertValues(Object[] values),12,,0,,0,1,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|com.fasterxml.jackson.databind.JsonMappingException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/AdaptiveAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.control.AdaptiveAutoScalerTest,shouldPauseScalingWhenWaitingOnWorkersAndResumeAfter,()V,void shouldPauseScalingWhenWaitingOnWorkersAndResumeAfter(),org.junit.Test,11,15,19,Object mock(Class classToMock)|Object readValue(String content; TypeReference valueTypeRef)|Observable compose(Observable.Transformer transformer)|Observable doOnNext(Action1 onNext)|Observable just(Object t1; Object t2; Object t3; Object t4; Object t5; Object t6)|Observable map(Func1 func)|Subscription subscribe(Subscriber subscriber)|int intValue()|long get()|long incrementAndGet()|void assertCompleted()|void assertNoErrors()|void assertValues(Object[] values)|void set(long newValue),14,,0,,0,1,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|com.fasterxml.jackson.databind.JsonMappingException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/AdaptiveAutoScalerTest.java,io.mantisrx.server.worker.jobmaster.control.AdaptiveAutoScalerTest,shouldRemainConstantWhenValuesAreWithinRope,()V,void shouldRemainConstantWhenValuesAreWithinRope(),org.junit.Test,11,11,14,Object mock(Class classToMock)|Object readValue(String content; TypeReference valueTypeRef)|Observable compose(Observable.Transformer transformer)|Observable doOnNext(Action1 onNext)|Observable just(Object t1; Object t2; Object t3; Object t4; Object t5; Object t6; Object t7)|Observable map(Func1 func)|Subscription subscribe(Subscriber subscriber)|int intValue()|long get()|void assertCompleted()|void assertNoErrors()|void assertValues(Object[] values),12,,0,,0,1,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|com.fasterxml.jackson.databind.JsonMappingException,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/actuators/MantisStageActuatorTest.java,io.mantisrx.server.worker.jobmaster.control.actuators.MantisStageActuatorTest,shouldEchoCeilingOfInput,()V,void shouldEchoCeilingOfInput(),org.junit.Test,6,6,5,Object mock(Class classToMock)|Observable lift(Observable.Operator operator)|Subscription subscribe(Subscriber subscriber)|void assertCompleted()|void assertValues(Object[] values),5,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/actuators/MantisStageActuatorTest.java,io.mantisrx.server.worker.jobmaster.control.actuators.MantisStageActuatorTest,shouldCallScalerWhenInputChanged,()V,void shouldCallScalerWhenInputChanged(),org.junit.Test,9,9,20,Object any()|Object mock(Class classToMock)|Object verify(Object mock)|Observable lift(Observable.Operator operator)|Subscription subscribe(Subscriber subscriber)|int eq(int value)|void assertCompleted()|void assertValues(Object[] values)|void scaleDownStage(int numCurrentWorkers; int desiredWorkers; String reason)|void scaleUpStage(int numCurrentWorkers; int desiredWorkers; String reason),10,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/controllers/PIDControllerTest.java,io.mantisrx.server.worker.jobmaster.control.controllers.PIDControllerTest,shouldControlCacheSizeToMaintainDesiredHitRate,()V,void shouldControlCacheSizeToMaintainDesiredHitRate(),org.junit.Test,7,11,9,BlockingObservable toBlocking()|Object first()|Observable just(Object value)|Observable lift(Observable.Operator operator)|PIDController of(Double kp; Double ki; Double kd)|double process(double size)|void assertEquals(double expected; double actual; double delta),7,,0,,0,0,0,0,0,,2,2,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/utils/ErrorComputerTest.java,io.mantisrx.server.worker.jobmaster.control.utils.ErrorComputerTest,shouldComputeError,()V,void shouldComputeError(),org.junit.Test,5,5,4,Observable lift(Observable.Operator operator)|Subscription subscribe(Subscriber subscriber)|void assertCompleted()|void assertValues(Object[] values),4,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/utils/ErrorComputerTest.java,io.mantisrx.server.worker.jobmaster.control.utils.ErrorComputerTest,shouldComputeInvertedError,()V,void shouldComputeInvertedError(),org.junit.Test,5,5,4,Observable lift(Observable.Operator operator)|Subscription subscribe(Subscriber subscriber)|void assertCompleted()|void assertValues(Object[] values),4,,0,,0,0,0,0,0,,0,0,,0,,0
mantis,mantis-server-worker,/mantis-server-worker/src/test/java/io/mantisrx/server/worker/jobmaster/control/utils/ErrorComputerTest.java,io.mantisrx.server.worker.jobmaster.control.utils.ErrorComputerTest,shouldTreatValuesWithinRopeAsZero,()V,void shouldTreatValuesWithinRopeAsZero(),org.junit.Test,5,5,4,Observable lift(Observable.Operator operator)|Subscription subscribe(Subscriber subscriber)|void assertCompleted()|void assertValues(Object[] values),4,,0,,0,0,0,0,0,,0,0,,0,,0
