mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,doSomeBasicMethodTest,()V,void doSomeBasicMethodTest(),org.junit.Test,25,25,21,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void close(),6,byte[] readContents(HttpEntity entity),1,,0,12,16,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,4,4,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,doEncodedRequest,()V,void doEncodedRequest(),org.junit.Test,4,4,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|StatusLine getStatusLine()|int getRequestStatus()|int getStatusCode()|void assertEquals(long expected; long actual),6,,0,,0,1,2,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,doNonRouterRequest,()V,void doNonRouterRequest(),org.junit.Test,7,7,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void close(),6,byte[] readContents(HttpEntity entity),1,,0,3,4,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,doExceptionRequest,()V,void doExceptionRequest(),org.junit.Test,7,7,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void close(),6,byte[] readContents(HttpEntity entity),1,,0,3,4,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,doDeletedRoute,()V,void doDeletedRoute(),org.junit.Test,7,7,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void close(),6,byte[] readContents(HttpEntity entity),1,,0,3,4,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,doUriSelection1,()V,void doUriSelection1(),org.junit.Test,7,7,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void close(),6,byte[] readContents(HttpEntity entity),1,,0,3,4,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,doStreamOfData,()V,void doStreamOfData(),org.junit.Test,7,7,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void close(),6,byte[] readContents(HttpEntity entity),1,,0,3,4,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,illegalMethod1,()V,void illegalMethod1(),org.junit.Test,1,1,1,InputStream getData(),1,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,illegalMethod2,()V,void illegalMethod2(),org.junit.Test,1,1,1,String getText(),1,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-nanolets,/nanohttpd-nanolets/src/test/java/org/nanohttpd/junit/router/TestNanolets.java,org.nanohttpd.junit.router.TestNanolets,illegalMethod3,()V,void illegalMethod3(),org.junit.Test,1,1,1,String getText(),1,,0,,0,0,0,0,0,,0,0,,0,,0
