mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestCorsHttpServerWithSingleOrigin.java,org.nanohttpd.junit.webserver.TestCorsHttpServerWithSingleOrigin,doTestOption,()V,void doTestOption(),org.junit.Test,7,7,11,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|Header getLastHeader(String arg0)|StatusLine getStatusLine()|String getValue()|int getStatusCode()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(String message; Object object)|void close(),10,,0,,0,2,3,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,3,3,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestCorsHttpServerWithSingleOrigin.java,org.nanohttpd.junit.webserver.TestCorsHttpServerWithSingleOrigin,doSomeBasicTest,()V,void doSomeBasicTest(),org.junit.Test,9,9,11,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|Header getLastHeader(String arg0)|HttpEntity getEntity()|String getValue()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void assertEquals(String message; Object expected; Object actual)|void assertNotNull(String message; Object object)|void close(),10,,0,,0,3,4,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,3,3,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestCorsHttpServer.java,org.nanohttpd.junit.webserver.TestCorsHttpServer,doTestOption,()V,void doTestOption(),org.junit.Test,7,7,11,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|Header getLastHeader(String arg0)|StatusLine getStatusLine()|String getValue()|int getStatusCode()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(String message; Object object)|void close(),10,,0,,0,2,3,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,3,3,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestCorsHttpServer.java,org.nanohttpd.junit.webserver.TestCorsHttpServer,doSomeBasicTest,()V,void doSomeBasicTest(),org.junit.Test,9,9,11,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|Header getLastHeader(String arg0)|HttpEntity getEntity()|String getValue()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void assertEquals(String message; Object expected; Object actual)|void assertNotNull(String message; Object object)|void close(),10,,0,,0,3,4,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,3,3,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestCorsHttpServer.java,org.nanohttpd.junit.webserver.TestCorsHttpServer,testAccessControlAllowHeaderUsesDefaultsWithoutSystemProperty,()V,void testAccessControlAllowHeaderUsesDefaultsWithoutSystemProperty(),org.junit.Test,7,7,11,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|Header getLastHeader(String arg0)|StatusLine getStatusLine()|String getProperty(String key)|String getValue()|int getStatusCode()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNull(String message; Object object)|void close(),11,,0,,0,2,3,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,3,3,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestCorsHttpServer.java,org.nanohttpd.junit.webserver.TestCorsHttpServer,testAccessControlAllowHeaderUsesSystemPropertyWhenSet,()V,void testAccessControlAllowHeaderUsesSystemPropertyWhenSet(),org.junit.Test,4,11,13,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|Header getLastHeader(String arg0)|StatusLine getStatusLine()|String clearProperty(String key)|String getProperty(String key)|String getValue()|String setProperty(String key; String value)|int getStatusCode()|void assertEquals(String message; Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNull(String message; Object object)|void close(),13,,0,,0,2,3,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,3,3,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestHttpServer.java,org.nanohttpd.junit.webserver.TestHttpServer,doTest404,()V,void doTest404(),org.junit.Test,5,5,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|StatusLine getStatusLine()|int getStatusCode()|void assertEquals(long expected; long actual)|void close(),6,,0,,0,2,3,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestHttpServer.java,org.nanohttpd.junit.webserver.TestHttpServer,doPlugin,()V,void doPlugin(),org.junit.Test,11,11,11,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|void assertEquals(Object expected; Object actual)|void close(),6,,0,,0,6,8,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,2,2,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestHttpServer.java,org.nanohttpd.junit.webserver.TestHttpServer,doSomeBasicTest,()V,void doSomeBasicTest(),org.junit.Test,26,26,24,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|HttpEntity getEntity()|byte[] readContents(HttpEntity entity)|byte[] readContents(InputStream instream)|int indexOf(String str)|void assertArrayEquals(byte[] expecteds; byte[] actuals)|void assertEquals(Object expected; Object actual)|void assertTrue(boolean condition)|void close(),10,,0,,0,13,17,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,4,4,,0,,0
nanohttpd,nanohttpd-webserver,/nanohttpd-webserver/src/test/java/org/nanohttpd/junit/webserver/TestHttpServer.java,org.nanohttpd.junit.webserver.TestHttpServer,doArgumentTest,()V,void doArgumentTest(),org.junit.Test,8,2,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
