mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testConnectionHeaderHandlesKeepAlive_FixingFirefoxConnectIssue,()V,void testConnectionHeaderHandlesKeepAlive_FixingFirefoxConnectIssue(),org.junit.Test,3,3,3,Object put(Object key; Object value)|Response handle(IHTTPSession session)|void assertNotNull(Object object),3,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testHandshakeReturnsResponseWithExpectedHeaders,()V,void testHandshakeReturnsResponseWithExpectedHeaders(),org.junit.Test,4,4,6,Response handle(IHTTPSession session)|String getHeader(String name)|void assertEquals(String expected; String actual)|void assertNotNull(Object object),4,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testMissingKeyReturnsErrorResponse,()V,void testMissingKeyReturnsErrorResponse(),org.junit.Test,4,4,5,IStatus getStatus()|Object remove(Object key)|Response handle(IHTTPSession session)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object),5,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testWrongConnectionHeaderReturnsNullResponse,()V,void testWrongConnectionHeaderReturnsNullResponse(),org.junit.Test,3,3,4,Object put(Object key; Object value)|Response handle(IHTTPSession session)|String getHeader(String name)|void assertNull(Object object),4,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testWrongUpgradeHeaderReturnsNullResponse,()V,void testWrongUpgradeHeaderReturnsNullResponse(),org.junit.Test,3,3,4,Object put(Object key; Object value)|Response handle(IHTTPSession session)|String getHeader(String name)|void assertNull(Object object),4,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testWrongWebsocketVersionReturnsErrorResponse,()V,void testWrongWebsocketVersionReturnsErrorResponse(),org.junit.Test,4,4,5,IStatus getStatus()|Object put(Object key; Object value)|Response handle(IHTTPSession session)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object),5,,0,,0,0,0,0,0,,0,0,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testSetMaskingKeyThrowsExceptionMaskingKeyLengthIsNotFour,()V,void testSetMaskingKeyThrowsExceptionMaskingKeyLengthIsNotFour(),org.junit.Test,2,7,2,void fail(String message)|void setMaskingKey(byte[] maskingKey),2,,0,,0,0,0,0,0,,1,1,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testIsMasked,()V,void testIsMasked(),org.junit.Test,4,4,5,boolean isMasked()|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition)|void setMaskingKey(byte[] maskingKey),4,,0,,0,0,0,0,0,,2,2,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testWriteWhenNotMasked,()V,void testWriteWhenNotMasked(),org.junit.Test,8,8,7,byte[] getBytes()|byte[] toByteArray()|void assertArrayEquals(byte[] expecteds; byte[] actuals)|void assertEquals(String message; long expected; long actual)|void assertEquals(long expected; long actual)|void write(OutputStream out),6,,0,,0,1,1,0,0,java.io.IOException,4,4,,0,,0
nanohttpd,nanohttpd-websocket,/nanohttpd-websocket/src/test/java/org/nanohttpd/junit/protocols/websockets/WebSocketResponseHandlerTest.java,org.nanohttpd.junit.protocols.websockets.WebSocketResponseHandlerTest,testWriteWhenMasked,()V,void testWriteWhenMasked(),org.junit.Test,9,9,8,byte[] getBytes()|byte[] toByteArray()|void assertArrayEquals(byte[] expecteds; byte[] actuals)|void assertEquals(String message; long expected; long actual)|void assertEquals(long expected; long actual)|void setMaskingKey(byte[] maskingKey)|void write(OutputStream out),7,,0,,0,1,1,0,0,java.io.IOException,4,4,,0,,0
