mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/BadRequestTest.java,org.nanohttpd.junit.protocols.http.BadRequestTest,testEmptyRequest,()V,void testEmptyRequest(),org.junit.Test,3,3,2,ByteArrayOutputStream invokeServer(String request)|void assertResponse(ByteArrayOutputStream outputStream; String[] expected),2,,0,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/BadRequestTest.java,org.nanohttpd.junit.protocols.http.BadRequestTest,testInvalidMethod,()V,void testInvalidMethod(),org.junit.Test,3,3,2,ByteArrayOutputStream invokeServer(String request)|void assertResponse(ByteArrayOutputStream outputStream; String[] expected),2,,0,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/BadRequestTest.java,org.nanohttpd.junit.protocols.http.BadRequestTest,testMissingURI,()V,void testMissingURI(),org.junit.Test,3,3,2,ByteArrayOutputStream invokeServer(String request)|void assertResponse(ByteArrayOutputStream outputStream; String[] expected),2,,0,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/CookieHandlerTest.java,org.nanohttpd.junit.protocols.http.CookieHandlerTest,testCookieHeaderCorrectlyParsed,()V,void testCookieHeaderCorrectlyParsed(),org.junit.Test,13,14,18,CookieHandler getCookies()|HTTPSession createSession(ITempFileManager tempFileManager; InputStream inputStream; OutputStream outputStream)|String getProperty(String key)|String read(String name)|String toString()|StringBuilder append(String str)|boolean add(Object e)|boolean contains(Object o)|byte[] getBytes()|void assertEquals(String message; Object expected; Object actual)|void assertTrue(String message; boolean condition)|void execute(),12,,0,,0,1,1,0,0,java.io.IOException,4,4,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/CookieHandlerTest.java,org.nanohttpd.junit.protocols.http.CookieHandlerTest,testCookieHeaderWithSpecialCharactersCorrectlyParsed,()V,void testCookieHeaderWithSpecialCharactersCorrectlyParsed(),org.junit.Test,13,14,18,CookieHandler getCookies()|HTTPSession createSession(ITempFileManager tempFileManager; InputStream inputStream; OutputStream outputStream)|String getProperty(String key)|String read(String name)|String toString()|StringBuilder append(String str)|boolean add(Object e)|boolean contains(Object o)|byte[] getBytes()|void assertEquals(String message; Object expected; Object actual)|void assertTrue(String message; boolean condition)|void execute(),12,,0,,0,1,1,0,0,java.io.IOException,4,4,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/CookieHandlerTest.java,org.nanohttpd.junit.protocols.http.CookieHandlerTest,testUnloadQueue,()V,void testUnloadQueue(),org.junit.Test,12,12,16,CookieHandler getCookies()|HTTPSession createSession(ITempFileManager tempFileManager; InputStream inputStream; OutputStream outputStream)|List<String> getCookieHeaders()|Object get(int index)|Response newFixedLengthResponse(String msg)|String getProperty(String key)|String toString()|StringBuilder append(String str)|boolean startsWith(String prefix)|byte[] getBytes()|void assertTrue(String message; boolean condition)|void execute()|void set(String name; String value; int expires)|void unloadQueue(Response response),14,,0,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/CookieHandlerTest.java,org.nanohttpd.junit.protocols.http.CookieHandlerTest,testDelete,()V,void testDelete(),org.junit.Test,16,16,22,CookieHandler getCookies()|Date parse(String source)|HTTPSession createSession(ITempFileManager tempFileManager; InputStream inputStream; OutputStream outputStream)|List<String> getCookieHeaders()|Object get(int index)|Response newFixedLengthResponse(String msg)|String getProperty(String key)|String toString()|String trim()|StringBuilder append(String str)|String[] split(String regex)|TimeZone getTimeZone(String ID)|byte[] getBytes()|int compareTo(Date anotherDate)|void assertTrue(String message; boolean condition)|void delete(String name)|void execute()|void setTimeZone(TimeZone zone)|void unloadQueue(Response response),19,,0,,0,2,2,0,0,java.io.IOException|java.text.ParseException,1,1,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/HttpSessionTest.java,org.nanohttpd.junit.protocols.http.HttpSessionTest,testSessionRemoteIPAddress,()V,void testSessionRemoteIPAddress(),org.junit.Test,5,5,5,HTTPSession createSession(ITempFileManager tempFileManager; InputStream inputStream; OutputStream outputStream; InetAddress inetAddress)|InetAddress getByName(String host)|String getRemoteIpAddress()|byte[] getBytes()|void assertEquals(Object expected; Object actual),5,,0,,0,1,1,0,0,java.net.UnknownHostException,1,1,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/MimeTest.java,org.nanohttpd.junit.protocols.http.MimeTest,testExistingMimeType,()V,void testExistingMimeType(),org.junit.Test,1,1,2,String getMimeTypeForFile(String uri)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
nanohttpd,nanohttpd,/nanohttpd/src/test/java/org/nanohttpd/junit/protocols/http/MimeTest.java,org.nanohttpd.junit.protocols.http.MimeTest,testNotExistingMimeType,()V,void testNotExistingMimeType(),org.junit.Test,2,2,5,Map<String;String> mimeTypes()|Object get(Object key)|String getMimeTypeForFile(String uri)|void assertEquals(Object expected; Object actual)|void assertNull(Object object),5,,0,,0,0,0,0,0,,2,2,,0,,0
