mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/OsgiTest.java,org.objenesis.tck.OsgiTest,testCanInstantiate,()V,void testCanInstantiate(),org.junit.Test,1,1,4,Class getClass()|T newInstance(Class<T> clazz)|void assertSame(Object expected; Object actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/OsgiTest.java,org.objenesis.tck.OsgiTest,testCanInstantiateSerialize,()V,void testCanInstantiateSerialize(),org.junit.Test,1,1,4,Class getClass()|T newSerializableInstance(Class<T> clazz)|void assertSame(Object expected; Object actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,isSerializable,()V,void isSerializable(),org.junit.Test,2,2,2,void assertNotCalled(String s)|void writeRead(Object s),2,void assertNotCalled(String s)|void writeRead(Object s),2,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,0,1,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,extendsSerializable,()V,void extendsSerializable(),org.junit.Test,3,3,3,void assertNotCalled(String s)|void writeRead(Object s),2,void assertNotCalled(String s)|void writeRead(Object s),2,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,0,2,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,notSerializable,()V,void notSerializable(),org.junit.Test,2,4,3,void assertNotCalled(String s)|void fail(String message)|void writeRead(Object s),3,void assertNotCalled(String s)|void writeRead(Object s),2,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,1,2,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,extendsNotSerializable,()V,void extendsNotSerializable(),org.junit.Test,3,3,3,void assertCalled(String s)|void assertNotCalled(String s)|void writeRead(Object s),3,void assertCalled(String s)|void assertNotCalled(String s)|void writeRead(Object s),3,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,0,2,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,isExternalizable,()V,void isExternalizable(),org.junit.Test,6,6,6,void assertCalled(String s)|void writeRead(Object s),2,void assertCalled(String s)|void writeRead(Object s),2,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,0,5,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,isExternalizableAndSerializable,()V,void isExternalizableAndSerializable(),org.junit.Test,4,4,4,void assertCalled(String s)|void writeRead(Object s),2,void assertCalled(String s)|void writeRead(Object s),2,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,0,3,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,isExternalizableButExtends,()V,void isExternalizableButExtends(),org.junit.Test,6,6,6,void assertCalled(String s)|void writeRead(Object s),2,void assertCalled(String s)|void writeRead(Object s),2,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,0,5,,0,,0
objenesis,objenesis-tck,/objenesis-tck/src/test/java/org/objenesis/tck/SerializableTest.java,org.objenesis.tck.SerializableTest,readWriteObject,()V,void readWriteObject(),org.junit.Test,4,4,4,void assertCalled(String s)|void assertNotCalled(String s)|void writeRead(Object s),3,void assertCalled(String s)|void assertNotCalled(String s)|void writeRead(Object s),3,,0,1,2,0,0,java.io.IOException|java.lang.ClassNotFoundException,0,3,,0,,0
