mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/SerializingInstantiatorTest.java,org.objenesis.SerializingInstantiatorTest,testNotSerializable,()V,void testNotSerializable(),org.junit.Test,2,5,4,T newInstance(Class<T> clazz)|Throwable getCause()|void assertTrue(boolean condition)|void fail(String message),4,,0,,0,0,0,0,0,,2,2,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ExternalizableTest.java,org.objenesis.ExternalizableTest,test,()V,void test(),org.junit.Test,2,2,2,T newSerializableInstance(Class<T> clazz)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisTest.java,org.objenesis.ObjenesisTest,testObjenesis,()V,void testObjenesis(),org.junit.Test,2,2,2,String toString()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisTest.java,org.objenesis.ObjenesisTest,testObjenesis_WithoutCache,()V,void testObjenesis_WithoutCache(),org.junit.Test,3,3,8,Class getClass()|ObjectInstantiator<T> getInstantiatorOf(Class<T> clazz)|String toString()|T newInstance()|void assertEquals(Object expected; Object actual),5,,0,,0,0,0,0,0,,2,2,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisTest.java,org.objenesis.ObjenesisTest,testNewInstance,()V,void testNewInstance(),org.junit.Test,2,2,5,Class getClass()|T newInstance(Class<T> clazz)|void assertEquals(Object expected; Object actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisTest.java,org.objenesis.ObjenesisTest,testGetInstantiatorOf,()V,void testGetInstantiatorOf(),org.junit.Test,5,5,9,Class getClass()|ObjectInstantiator<T> getInstantiatorOf(Class<T> clazz)|T newInstance()|void assertEquals(Object expected; Object actual)|void assertSame(Object expected; Object actual),5,,0,,0,0,0,0,0,,2,2,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisTest.java,org.objenesis.ObjenesisTest,testGetInstantiatorOf_primitive,()V,void testGetInstantiatorOf_primitive(),org.junit.Test,2,2,2,ObjectInstantiator<T> getInstantiatorOf(Class<T> clazz)|Throwable assertThrows(Class expectedThrowable; ThrowingRunnable runnable),2,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisTest.java,org.objenesis.ObjenesisTest,testToString,()V,void testToString(),org.junit.Test,2,2,2,String toString()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisExceptionTest.java,org.objenesis.ObjenesisExceptionTest,testObjenesisExceptionString,()V,void testObjenesisExceptionString(),org.junit.Test,2,2,2,String getMessage()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
objenesis,objenesis,/objenesis/src/test/java/org/objenesis/ObjenesisExceptionTest.java,org.objenesis.ObjenesisExceptionTest,testObjenesisExceptionThrowable,()V,void testObjenesisExceptionThrowable(),org.junit.Test,7,7,9,String getMessage()|String toString()|Throwable getCause()|void assertEquals(Object expected; Object actual)|void assertNull(Object object)|void assertSame(Object expected; Object actual),6,,0,,0,0,0,0,0,,4,4,,0,,0
