mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/EncodingTest.java,com.google.openlocationcode.EncodingTest,testEncodeFromLatLong,()V,void testEncodeFromLatLong(),org.junit.Test,1,2,3,String encode(double latitude; double longitude; int codeLength)|String format(String format; Object[] args)|void assertEquals(String message; Object expected; Object actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/RecoverTest.java,com.google.openlocationcode.RecoverTest,testRecoveryNearSouthPole,()V,void testRecoveryNearSouthPole(),org.junit.Test,2,2,3,OpenLocationCode recover(double referenceLatitude; double referenceLongitude)|String getCode()|void assertEquals(String expected; String actual),3,,0,,0,0,0,0,0,,0,0,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/RecoverTest.java,com.google.openlocationcode.RecoverTest,testRecoveryNearNorthPole,()V,void testRecoveryNearNorthPole(),org.junit.Test,2,2,3,OpenLocationCode recover(double referenceLatitude; double referenceLongitude)|String getCode()|void assertEquals(String expected; String actual),3,,0,,0,0,0,0,0,,0,0,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/ShorteningTest.java,com.google.openlocationcode.ShorteningTest,testShortening,()V,void testShortening(),org.junit.Test,1,6,5,OpenLocationCode shorten(double referenceLatitude; double referenceLongitude)|String getCode()|boolean equals(Object anObject)|void assertEquals(String message; Object expected; Object actual),4,,0,,0,0,0,0,0,,1,1,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/ShorteningTest.java,com.google.openlocationcode.ShorteningTest,testRecovering,()V,void testRecovering(),org.junit.Test,1,6,5,OpenLocationCode recover(double referenceLatitude; double referenceLongitude)|String getCode()|boolean equals(Object anObject)|void assertEquals(Object expected; Object actual),4,,0,,0,0,0,0,0,,1,1,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/DecodingTest.java,com.google.openlocationcode.DecodingTest,testDecode,()V,void testDecode(),org.junit.Test,1,7,11,CodeArea decode()|double getEastLongitude()|double getNorthLatitude()|double getSouthLatitude()|double getWestLongitude()|int getLength()|void assertEquals(String message; double expected; double actual; double delta)|void assertEquals(String message; long expected; long actual),8,,0,,0,0,0,0,0,,5,5,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/DecodingTest.java,com.google.openlocationcode.DecodingTest,testContains,()V,void testContains(),org.junit.Test,1,8,21,CodeArea decode()|boolean contains(double latitude; double longitude)|double getCenterLatitude()|double getCenterLongitude()|double getEastLongitude()|double getNorthLatitude()|double getSouthLatitude()|double getWestLongitude()|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition),10,,0,,0,0,0,0,0,,5,5,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/ValidityTest.java,com.google.openlocationcode.ValidityTest,testIsValid,()V,void testIsValid(),org.junit.Test,1,2,2,boolean isValidCode(String code)|void assertEquals(String message; Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/ValidityTest.java,com.google.openlocationcode.ValidityTest,testIsShort,()V,void testIsShort(),org.junit.Test,1,2,2,boolean isShortCode(String code)|void assertEquals(String message; Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/ValidityTest.java,com.google.openlocationcode.ValidityTest,testIsFull,()V,void testIsFull(),org.junit.Test,1,2,2,boolean isFullCode(String code)|void assertEquals(String message; Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/UtilsTest.java,com.google.openlocationcode.UtilsTest,testClipping,()V,void testClipping(),org.junit.Test,5,5,15,String encode(double latitude; double longitude)|void assertEquals(String message; Object expected; Object actual),2,,0,,0,0,0,0,0,,5,5,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/UtilsTest.java,com.google.openlocationcode.UtilsTest,testMaxCodeLength,()V,void testMaxCodeLength(),org.junit.Test,7,7,9,String encode(double latitude; double longitude; int codeLength)|boolean isValidCode(String code)|int length()|void assertEquals(String message; long expected; long actual)|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition),6,,0,,0,0,0,0,0,,4,4,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/BenchmarkTest.java,com.google.openlocationcode.BenchmarkTest,benchmarkEncode,()V,void benchmarkEncode(),org.junit.Test,4,5,4,PrintStream printf(String format; Object[] args)|String encode(double latitude; double longitude; int codeLength)|long nanoTime(),3,,0,,0,0,0,0,0,,0,0,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/BenchmarkTest.java,com.google.openlocationcode.BenchmarkTest,benchmarkDecode,()V,void benchmarkDecode(),org.junit.Test,4,5,4,CodeArea decode(String code)|PrintStream printf(String format; Object[] args)|long nanoTime(),3,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,0,0,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/PrecisionTest.java,com.google.openlocationcode.PrecisionTest,testWidthInDegrees,()V,void testWidthInDegrees(),org.junit.Test,6,6,18,CodeArea decode()|double getLongitudeWidth()|void assertEquals(double expected; double actual; double delta),3,,0,,0,0,0,0,0,,6,6,,0,,0
open-location-code,openlocationcode,/openlocationcode/src/test/java/com/google/openlocationcode/PrecisionTest.java,com.google.openlocationcode.PrecisionTest,testHeightInDegrees,()V,void testHeightInDegrees(),org.junit.Test,6,6,18,CodeArea decode()|double getLatitudeHeight()|void assertEquals(double expected; double actual; double delta),3,,0,,0,0,0,0,0,,6,6,,0,,0
