mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/domain/solution/cloner/CustomSolutionClonerTest.java,org.optaplanner.core.api.domain.solution.cloner.CustomSolutionClonerTest,clonedUsingCustomCloner,()V,void clonedUsingCustomCloner(),org.junit.Test,5,5,5,Solution_ solve(SolverConfig solverConfig; Solution_ problem)|SolverConfig buildSolverConfig(Class<Solution_> solutionClass; Class<?>[] entityClasses)|boolean isClonedByCustomCloner()|void assertTrue(String message; boolean condition)|void setEnvironmentMode(EnvironmentMode environmentMode),5,,0,,0,0,0,0,0,,1,1,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/domain/solution/cloner/CustomSolutionClonerTest.java,org.optaplanner.core.api.domain.solution.cloner.CustomSolutionClonerTest,scoreNotCloned,()V,void scoreNotCloned(),org.junit.Test,6,6,5,Solution_ solve(SolverConfig solverConfig; Solution_ problem)|SolverConfig buildSolverConfig(Class<Solution_> solutionClass; Class<?>[] entityClasses)|void expect(Class type)|void expectMessage(String substring)|void setEnvironmentMode(EnvironmentMode environmentMode),5,,0,,0,0,0,0,0,,0,0,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/domain/solution/cloner/CustomSolutionClonerTest.java,org.optaplanner.core.api.domain.solution.cloner.CustomSolutionClonerTest,scoreNotEqual,()V,void scoreNotEqual(),org.junit.Test,6,6,5,Solution_ solve(SolverConfig solverConfig; Solution_ problem)|SolverConfig buildSolverConfig(Class<Solution_> solutionClass; Class<?>[] entityClasses)|void expect(Class type)|void expectMessage(String substring)|void setEnvironmentMode(EnvironmentMode environmentMode),5,,0,,0,0,0,0,0,,0,0,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/domain/solution/cloner/CustomSolutionClonerTest.java,org.optaplanner.core.api.domain.solution.cloner.CustomSolutionClonerTest,entitiesNotCloned,()V,void entitiesNotCloned(),org.junit.Test,6,6,5,Solution_ solve(SolverConfig solverConfig; Solution_ problem)|SolverConfig buildSolverConfig(Class<Solution_> solutionClass; Class<?>[] entityClasses)|void expect(Class type)|void expectMessage(String substring)|void setEnvironmentMode(EnvironmentMode environmentMode),5,,0,,0,0,0,0,0,,0,0,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/domain/valuerange/ValueRangeFactoryTest.java,org.optaplanner.core.api.domain.valuerange.ValueRangeFactoryTest,solve,()V,void solve(),org.junit.Test,6,6,5,List asList(Object[] a)|Solution_ solve(SolverConfig solverConfig; Solution_ problem)|SolverConfig buildSolverConfig(Class<Solution_> solutionClass; Class<?>[] entityClasses)|void assertNotNull(Object object)|void setEntityList(List<TestdataValueRangeEntity> entityList),5,,0,,0,0,0,0,0,,1,1,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/score/buildin/bendable/BendableScoreHolderTest.java,org.optaplanner.core.api.score.buildin.bendable.BendableScoreHolderTest,addConstraintMatchWithConstraintMatch,()V,void addConstraintMatchWithConstraintMatch(),org.junit.Test,1,1,1,void addConstraintMatch(boolean constraintMatchEnabled),1,void addConstraintMatch(boolean constraintMatchEnabled),1,,0,0,0,0,0,,0,8,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/score/buildin/bendable/BendableScoreHolderTest.java,org.optaplanner.core.api.score.buildin.bendable.BendableScoreHolderTest,addConstraintMatchWithoutConstraintMatch,()V,void addConstraintMatchWithoutConstraintMatch(),org.junit.Test,1,1,1,void addConstraintMatch(boolean constraintMatchEnabled),1,void addConstraintMatch(boolean constraintMatchEnabled),1,,0,0,0,0,0,,0,8,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/score/buildin/bendable/BendableScoreHolderTest.java,org.optaplanner.core.api.score.buildin.bendable.BendableScoreHolderTest,rewardPenalizeWithConstraintMatch,()V,void rewardPenalizeWithConstraintMatch(),org.junit.Test,1,1,1,void rewardPenalize(boolean constraintMatchEnabled),1,void rewardPenalize(boolean constraintMatchEnabled),1,,0,0,0,0,0,,0,5,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/score/buildin/bendable/BendableScoreHolderTest.java,org.optaplanner.core.api.score.buildin.bendable.BendableScoreHolderTest,rewardPenalizeWithoutConstraintMatch,()V,void rewardPenalizeWithoutConstraintMatch(),org.junit.Test,1,1,1,void rewardPenalize(boolean constraintMatchEnabled),1,void rewardPenalize(boolean constraintMatchEnabled),1,,0,0,0,0,0,,0,5,,0,,0
optaplanner-core,optaplanner-core,/optaplanner-core/src/test/java/org/optaplanner/core/api/score/buildin/bendable/BendableScoreHolderTest.java,org.optaplanner.core.api.score.buildin.bendable.BendableScoreHolderTest,failFastHardLevel,()V,void failFastHardLevel(),org.junit.Test,3,3,2,RuleContext mockRuleContext(String ruleName; Object[] justifications)|void addHardConstraintMatch(RuleContext kcontext; int hardLevel; int weight),2,,0,,0,0,0,0,0,,0,0,,0,,0
