mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cheaptime/app/CheapTimePerformanceTest.java,org.optaplanner.examples.cheaptime.app.CheapTimePerformanceTest,solveInstance00,()V,void solveInstance00(),org.junit.Test,2,2,1,void runSpeedTest(File unsolvedDataFile; String bestScoreLimitString),1,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cheaptime/app/CheapTimePerformanceTest.java,org.optaplanner.examples.cheaptime.app.CheapTimePerformanceTest,solveInstance00FastAssert,()V,void solveInstance00FastAssert(),org.junit.Test,2,2,1,void runSpeedTest(File unsolvedDataFile; String bestScoreLimitString; EnvironmentMode environmentMode),1,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cloudbalancing/app/CloudBalancingDaemonTest.java,org.optaplanner.examples.cloudbalancing.app.CloudBalancingDaemonTest,daemon,()V,void daemon(),org.junit.Test,16,23,27,CloudBalance buildProblem(int computerListSize; int processListSize)|List<CloudProcess> getProcessList()|Object poll()|Solution_ getBestSolution()|Solver<CloudBalance> buildSolver()|Thread currentThread()|boolean addProblemFactChange(ProblemFactChange<Solution_> problemFactChange)|boolean isEmpty()|boolean isEveryProblemFactChangeProcessed()|boolean terminateEarly()|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void interrupt()|void join()|void sleep(long millis)|void start()|void waitForNextStage(),18,CloudBalance buildProblem(int computerListSize; int processListSize)|Solver<CloudBalance> buildSolver()|void waitForNextStage(),3,,0,6,6,1,0,java.lang.InterruptedException,3,3,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cloudbalancing/app/CloudBalancingPerformanceTest.java,org.optaplanner.examples.cloudbalancing.app.CloudBalancingPerformanceTest,solveModel_200computers_600processes,()V,void solveModel_200computers_600processes(),org.junit.Test,2,2,1,void runSpeedTest(File unsolvedDataFile; String bestScoreLimitString),1,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cloudbalancing/app/CloudBalancingPerformanceTest.java,org.optaplanner.examples.cloudbalancing.app.CloudBalancingPerformanceTest,solveModel_200computers_600processesFastAssert,()V,void solveModel_200computers_600processesFastAssert(),org.junit.Test,2,2,1,void runSpeedTest(File unsolvedDataFile; String bestScoreLimitString; EnvironmentMode environmentMode),1,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cloudbalancing/solver/CloudBalancingScoreConstraintTest.java,org.optaplanner.examples.cloudbalancing.solver.CloudBalancingScoreConstraintTest,requiredCpuPowerTotal,()V,void requiredCpuPowerTotal(),org.junit.Test,18,18,13,List asList(Object[] a)|void assertHardWeight(String constraintName; int expectedWeight; Solution_ solution)|void setComputer(CloudComputer computer),3,,0,,0,0,0,0,0,,0,45,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cloudbalancing/solver/CloudBalancingScoreConstraintTest.java,org.optaplanner.examples.cloudbalancing.solver.CloudBalancingScoreConstraintTest,requiredMemoryTotal,()V,void requiredMemoryTotal(),org.junit.Test,18,18,13,List asList(Object[] a)|void assertHardWeight(String constraintName; int expectedWeight; Solution_ solution)|void setComputer(CloudComputer computer),3,,0,,0,0,0,0,0,,0,45,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cloudbalancing/solver/CloudBalancingScoreConstraintTest.java,org.optaplanner.examples.cloudbalancing.solver.CloudBalancingScoreConstraintTest,requiredNetworkBandwidthTotal,()V,void requiredNetworkBandwidthTotal(),org.junit.Test,18,18,13,List asList(Object[] a)|void assertHardWeight(String constraintName; int expectedWeight; Solution_ solution)|void setComputer(CloudComputer computer),3,,0,,0,0,0,0,0,,0,45,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/cloudbalancing/solver/CloudBalancingScoreConstraintTest.java,org.optaplanner.examples.cloudbalancing.solver.CloudBalancingScoreConstraintTest,computerCost,()V,void computerCost(),org.junit.Test,13,13,8,List asList(Object[] a)|void assertSoftWeight(String constraintName; int expectedWeight; Solution_ solution)|void setComputer(CloudComputer computer),3,,0,,0,0,0,0,0,,0,27,,0,,0
optaplanner-core,optaplanner-examples,/optaplanner-examples/src/test/java/org/optaplanner/examples/coachshuttlegathering/app/CoachShuttleGatheringPerformanceTest.java,org.optaplanner.examples.coachshuttlegathering.app.CoachShuttleGatheringPerformanceTest,solveDemo01,()V,void solveDemo01(),org.junit.Test,2,2,1,void runSpeedTest(File unsolvedDataFile; String bestScoreLimitString),1,,0,,0,0,0,0,0,,0,6,,0,,0
