mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/OptaPlannerJacksonModuleTest.java,org.optaplanner.persistence.jackson.api.OptaPlannerJacksonModuleTest,polymorphicScore,()V,void polymorphicScore(),org.junit.Test,13,13,23,BendableScore of(int[] hardScores; int[] softScores)|HardSoftScore getHardSoftScore()|HardSoftScore of(int hardScore; int softScore)|Module createModule()|ObjectMapper enable(MapperFeature[] f)|ObjectMapper registerModule(Module module)|Score getPolymorphicScore()|W serializeAndDeserialize(ObjectMapper objectMapper; W input)|void assertEquals(Object expected; Object actual)|void setHardSoftScore(HardSoftScore hardSoftScore)|void setPolymorphicScore(Score polymorphicScore),11,,0,,0,0,0,0,0,,4,4,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/bendable/BendableScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.bendable.BendableScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableScore of(int[] hardScores; int[] softScores)|BendableScore ofUninitialized(int initScore; int[] hardScores; int[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/bendablebigdecimal/BendableBigDecimalScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.bendablebigdecimal.BendableBigDecimalScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableBigDecimalScore of(BigDecimal[] hardScores; BigDecimal[] softScores)|BendableBigDecimalScore ofUninitialized(int initScore; BigDecimal[] hardScores; BigDecimal[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/bendablelong/BendableLongScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.bendablelong.BendableLongScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableLongScore of(long[] hardScores; long[] softScores)|BendableLongScore ofUninitialized(int initScore; long[] hardScores; long[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/hardmediumsoft/HardMediumSoftScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.hardmediumsoft.HardMediumSoftScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftScore of(int hardScore; int mediumScore; int softScore)|HardMediumSoftScore ofUninitialized(int initScore; int hardScore; int mediumScore; int softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/hardmediumsoftbigdecimal/HardMediumSoftBigDecimalScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.hardmediumsoftbigdecimal.HardMediumSoftBigDecimalScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|HardMediumSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/hardmediumsoftlong/HardMediumSoftLongScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.hardmediumsoftlong.HardMediumSoftLongScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftLongScore of(long hardScore; long mediumScore; long softScore)|HardMediumSoftLongScore ofUninitialized(int initScore; long hardScore; long mediumScore; long softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/hardsoft/HardSoftScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.hardsoft.HardSoftScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftScore of(int hardScore; int softScore)|HardSoftScore ofUninitialized(int initScore; int hardScore; int softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/hardsoftbigdecimal/HardSoftBigDecimalScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.hardsoftbigdecimal.HardSoftBigDecimalScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal softScore)|HardSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/hardsoftdouble/HardSoftDoubleScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.hardsoftdouble.HardSoftDoubleScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftDoubleScore of(double hardScore; double softScore)|HardSoftDoubleScore ofUninitialized(int initScore; double hardScore; double softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jackson,/optaplanner-persistence-jackson/src/test/java/org/optaplanner/persistence/jackson/api/score/buildin/hardsoftlong/HardSoftLongScoreJacksonJsonSerializerAndDeserializerTest.java,org.optaplanner.persistence.jackson.api.score.buildin.hardsoftlong.HardSoftLongScoreJacksonJsonSerializerAndDeserializerTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftLongScore of(long hardScore; long softScore)|HardSoftLongScore ofUninitialized(int initScore; long hardScore; long softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
