mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/bendable/BendableScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.bendable.BendableScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableScore of(int[] hardScores; int[] softScores)|BendableScore ofUninitialized(int initScore; int[] hardScores; int[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/bendablebigdecimal/BendableBigDecimalScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.bendablebigdecimal.BendableBigDecimalScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableBigDecimalScore of(BigDecimal[] hardScores; BigDecimal[] softScores)|BendableBigDecimalScore ofUninitialized(int initScore; BigDecimal[] hardScores; BigDecimal[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/bendablelong/BendableLongScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.bendablelong.BendableLongScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableLongScore of(long[] hardScores; long[] softScores)|BendableLongScore ofUninitialized(int initScore; long[] hardScores; long[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/hardmediumsoft/HardMediumSoftScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.hardmediumsoft.HardMediumSoftScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftScore of(int hardScore; int mediumScore; int softScore)|HardMediumSoftScore ofUninitialized(int initScore; int hardScore; int mediumScore; int softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/hardmediumsoftbigdecimal/HardMediumSoftBigDecimalScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.hardmediumsoftbigdecimal.HardMediumSoftBigDecimalScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|HardMediumSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/hardmediumsoftlong/HardMediumSoftLongScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.hardmediumsoftlong.HardMediumSoftLongScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftLongScore of(long hardScore; long mediumScore; long softScore)|HardMediumSoftLongScore ofUninitialized(int initScore; long hardScore; long mediumScore; long softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/hardsoft/HardSoftScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.hardsoft.HardSoftScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftScore of(int hardScore; int softScore)|HardSoftScore ofUninitialized(int initScore; int hardScore; int softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/hardsoftbigdecimal/HardSoftBigDecimalScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.hardsoftbigdecimal.HardSoftBigDecimalScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal softScore)|HardSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/hardsoftdouble/HardSoftDoubleScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.hardsoftdouble.HardSoftDoubleScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftDoubleScore of(double hardScore; double softScore)|HardSoftDoubleScore ofUninitialized(int initScore; double hardScore; double softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-jaxb,/optaplanner-persistence-jaxb/src/test/java/org/optaplanner/persistence/jaxb/api/score/buildin/hardsoftlong/HardSoftLongScoreJaxbXmlAdapterTest.java,org.optaplanner.persistence.jaxb.api.score.buildin.hardsoftlong.HardSoftLongScoreJaxbXmlAdapterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftLongScore of(long hardScore; long softScore)|HardSoftLongScore ofUninitialized(int initScore; long hardScore; long softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
