mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/bendable/BendableScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.bendable.BendableScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,4,BendableScore of(int[] hardScores; int[] softScores)|BendableScore ofUninitialized(int initScore; int[] hardScores; int[] softScores)|BendableScore zero(int hardLevelsSize; int softLevelsSize)|void persistAndMerge(E jpaEntity; S[] newScores),4,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/bendablebigdecimal/BendableBigDecimalScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.bendablebigdecimal.BendableBigDecimalScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,4,BendableBigDecimalScore of(BigDecimal[] hardScores; BigDecimal[] softScores)|BendableBigDecimalScore ofUninitialized(int initScore; BigDecimal[] hardScores; BigDecimal[] softScores)|BendableBigDecimalScore zero(int hardLevelsSize; int softLevelsSize)|void persistAndMerge(E jpaEntity; S[] newScores),4,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/bendablelong/BendableLongScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.bendablelong.BendableLongScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,4,BendableLongScore of(long[] hardScores; long[] softScores)|BendableLongScore ofUninitialized(int initScore; long[] hardScores; long[] softScores)|BendableLongScore zero(int hardLevelsSize; int softLevelsSize)|void persistAndMerge(E jpaEntity; S[] newScores),4,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/hardmediumsoft/HardMediumSoftScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.hardmediumsoft.HardMediumSoftScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,3,HardMediumSoftScore of(int hardScore; int mediumScore; int softScore)|HardMediumSoftScore ofUninitialized(int initScore; int hardScore; int mediumScore; int softScore)|void persistAndMerge(E jpaEntity; S[] newScores),3,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/hardmediumsoftbigdecimal/HardMediumSoftBigDecimalScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.hardmediumsoftbigdecimal.HardMediumSoftBigDecimalScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,3,HardMediumSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|HardMediumSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|void persistAndMerge(E jpaEntity; S[] newScores),3,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/hardmediumsoftlong/HardMediumSoftLongScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.hardmediumsoftlong.HardMediumSoftLongScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,3,HardMediumSoftLongScore of(long hardScore; long mediumScore; long softScore)|HardMediumSoftLongScore ofUninitialized(int initScore; long hardScore; long mediumScore; long softScore)|void persistAndMerge(E jpaEntity; S[] newScores),3,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/hardsoft/HardSoftScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.hardsoft.HardSoftScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,3,HardSoftScore of(int hardScore; int softScore)|HardSoftScore ofUninitialized(int initScore; int hardScore; int softScore)|void persistAndMerge(E jpaEntity; S[] newScores),3,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/hardsoftbigdecimal/HardSoftBigDecimalScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.hardsoftbigdecimal.HardSoftBigDecimalScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,3,HardSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal softScore)|HardSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal softScore)|void persistAndMerge(E jpaEntity; S[] newScores),3,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/hardsoftdouble/HardSoftDoubleScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.hardsoftdouble.HardSoftDoubleScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,3,HardSoftDoubleScore of(double hardScore; double softScore)|HardSoftDoubleScore ofUninitialized(int initScore; double hardScore; double softScore)|void persistAndMerge(E jpaEntity; S[] newScores),3,,0,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-persistence-jpa,/optaplanner-persistence-jpa/src/test/java/org/optaplanner/persistence/jpa/impl/score/buildin/hardsoftlong/HardSoftLongScoreHibernateTypeTest.java,org.optaplanner.persistence.jpa.impl.score.buildin.hardsoftlong.HardSoftLongScoreHibernateTypeTest,persistAndMerge,()V,void persistAndMerge(),org.junit.Test,1,1,3,HardSoftLongScore of(long hardScore; long softScore)|HardSoftLongScore ofUninitialized(int initScore; long hardScore; long softScore)|void persistAndMerge(E jpaEntity; S[] newScores),3,,0,,0,0,0,0,0,,0,3,,0,,0
