mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/bendable/BendableScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.bendable.BendableScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableScore of(int[] hardScores; int[] softScores)|BendableScore ofUninitialized(int initScore; int[] hardScores; int[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/bendablebigdecimal/BendableBigDecimalScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.bendablebigdecimal.BendableBigDecimalScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableBigDecimalScore of(BigDecimal[] hardScores; BigDecimal[] softScores)|BendableBigDecimalScore ofUninitialized(int initScore; BigDecimal[] hardScores; BigDecimal[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/bendablelong/BendableLongScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.bendablelong.BendableLongScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,BendableLongScore of(long[] hardScores; long[] softScores)|BendableLongScore ofUninitialized(int initScore; long[] hardScores; long[] softScores)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/hardmediumsoft/HardMediumSoftScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.hardmediumsoft.HardMediumSoftScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftScore of(int hardScore; int mediumScore; int softScore)|HardMediumSoftScore ofUninitialized(int initScore; int hardScore; int mediumScore; int softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/hardmediumsoftbigdecimal/HardMediumSoftBigDecimalScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.hardmediumsoftbigdecimal.HardMediumSoftBigDecimalScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|HardMediumSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal mediumScore; BigDecimal softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/hardmediumsoftlong/HardMediumSoftLongScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.hardmediumsoftlong.HardMediumSoftLongScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardMediumSoftLongScore of(long hardScore; long mediumScore; long softScore)|HardMediumSoftLongScore ofUninitialized(int initScore; long hardScore; long mediumScore; long softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/hardsoft/HardSoftScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.hardsoft.HardSoftScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftScore of(int hardScore; int softScore)|HardSoftScore ofUninitialized(int initScore; int hardScore; int softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/hardsoftbigdecimal/HardSoftBigDecimalScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.hardsoftbigdecimal.HardSoftBigDecimalScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftBigDecimalScore of(BigDecimal hardScore; BigDecimal softScore)|HardSoftBigDecimalScore ofUninitialized(int initScore; BigDecimal hardScore; BigDecimal softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/hardsoftdouble/HardSoftDoubleScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.hardsoftdouble.HardSoftDoubleScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftDoubleScore of(double hardScore; double softScore)|HardSoftDoubleScore ofUninitialized(int initScore; double hardScore; double softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
optaplanner-core,optaplanner-persistence-xstream,/optaplanner-persistence-xstream/src/test/java/org/optaplanner/persistence/xstream/api/score/buildin/hardsoftlong/HardSoftLongScoreXStreamConverterTest.java,org.optaplanner.persistence.xstream.api.score.buildin.hardsoftlong.HardSoftLongScoreXStreamConverterTest,serializeAndDeserialize,()V,void serializeAndDeserialize(),org.junit.Test,5,5,5,HardSoftLongScore of(long hardScore; long softScore)|HardSoftLongScore ofUninitialized(int initScore; long hardScore; long softScore)|void assertSerializeAndDeserialize(S expectedScore; W input),3,,0,,0,0,0,0,0,,0,6,,0,,0
