mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionHardConstraintMatch,()V,void extractInterpolationVariablesActionHardConstraintMatch(),org.junit.Test,2,2,1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,,0,0,0,0,0,,0,2,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionSoftConstraintMatch,()V,void extractInterpolationVariablesActionSoftConstraintMatch(),org.junit.Test,2,2,1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,,0,0,0,0,0,,0,2,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionMediumConstraintMatch,()V,void extractInterpolationVariablesActionMediumConstraintMatch(),org.junit.Test,2,2,1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,,0,0,0,0,0,,0,2,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionSimpleConstraintMatch,()V,void extractInterpolationVariablesActionSimpleConstraintMatch(),org.junit.Test,2,2,1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,,0,0,0,0,0,,0,2,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionBendableHardConstraintMatch,()V,void extractInterpolationVariablesActionBendableHardConstraintMatch(),org.junit.Test,2,2,1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,,0,0,0,0,0,,0,2,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionBendableSoftConstraintMatch,()V,void extractInterpolationVariablesActionBendableSoftConstraintMatch(),org.junit.Test,2,2,1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,void extractInterpolationVariablesAbstractActionConstraintMatch(AbstractActionConstraintMatch constraintMatch),1,,0,0,0,0,0,,0,2,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionMultiConstraintHardSoftMatch,()V,void extractInterpolationVariablesActionMultiConstraintHardSoftMatch(),org.junit.Test,7,7,7,Collection<InterpolationVariable> extractInterpolationVariables()|boolean contains(Object o)|int size()|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,3,3,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionMultiConstraintHardMediumSoftMatch,()V,void extractInterpolationVariablesActionMultiConstraintHardMediumSoftMatch(),org.junit.Test,9,9,9,Collection<InterpolationVariable> extractInterpolationVariables()|boolean contains(Object o)|int size()|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,4,4,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionMultiConstraintBendableMatch,()V,void extractInterpolationVariablesActionMultiConstraintBendableMatch(),org.junit.Test,4,4,3,List asList(Object[] a)|void extractInterpolationVariablesAbstractActionMultiConstraintBendableMatch(AbstractActionMultiConstraintBendableMatch constraintMatch),2,void extractInterpolationVariablesAbstractActionMultiConstraintBendableMatch(AbstractActionMultiConstraintBendableMatch constraintMatch),1,,0,0,0,0,0,,0,3,,0,,0
optaplanner-core,optaplanner-workbench-models-datamodel-api,/optaplanner-workbench-models-datamodel-api/src/test/java/org/optaplanner/workbench/models/datamodel/rule/ActionConstraintMatchTest.java,org.optaplanner.workbench.models.datamodel.rule.ActionConstraintMatchTest,extractInterpolationVariablesActionMultiConstraintBendableLongMatch,()V,void extractInterpolationVariablesActionMultiConstraintBendableLongMatch(),org.junit.Test,4,4,3,List asList(Object[] a)|void extractInterpolationVariablesAbstractActionMultiConstraintBendableMatch(AbstractActionMultiConstraintBendableMatch constraintMatch),2,void extractInterpolationVariablesAbstractActionMultiConstraintBendableMatch(AbstractActionMultiConstraintBendableMatch constraintMatch),1,,0,0,0,0,0,,0,3,,0,,0
