mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testCC,()V,void testCC(),org.junit.Test,4,4,3,void verify(Formatter f; String expect; String value),1,void verify(Formatter f; String expect; String value),1,,0,0,0,0,0,,0,3,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testCCU,()V,void testCCU(),org.junit.Test,4,4,3,void verify(Formatter f; String expect; String value),1,void verify(Formatter f; String expect; String value),1,,0,0,0,0,0,,0,3,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testUC,()V,void testUC(),org.junit.Test,4,4,3,void verify(Formatter f; String expect; String value),1,void verify(Formatter f; String expect; String value),1,,0,0,0,0,0,,0,3,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testUCU,()V,void testUCU(),org.junit.Test,4,4,3,void verify(Formatter f; String expect; String value),1,void verify(Formatter f; String expect; String value),1,,0,0,0,0,0,,0,3,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testUUC,()V,void testUUC(),org.junit.Test,5,5,4,void verify(Formatter f; String expect; String value),1,void verify(Formatter f; String expect; String value),1,,0,0,0,0,0,,0,4,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testPC,()V,void testPC(),org.junit.Test,4,4,3,void verify(Formatter f; String expect; String value),1,void verify(Formatter f; String expect; String value),1,,0,0,0,0,0,,0,3,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testPCS,()V,void testPCS(),org.junit.Test,5,5,4,void verify(Formatter f; String expect; String value),1,void verify(Formatter f; String expect; String value),1,,0,0,0,0,0,,0,4,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testPluralize,()V,void testPluralize(),org.junit.Test,9,9,18,String format(String str)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,9,9,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testSingularize,()V,void testSingularize(),org.junit.Test,48,48,96,String format(String str)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,48,48,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testTrim,()V,void testTrim(),org.junit.Test,2,2,2,String format(String str)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testCutL,()V,void testCutL(),org.junit.Test,3,3,4,String format(String str)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,2,2,,0,,0
protostuff-core,protostuff-compiler,/protostuff-compiler/src/test/java/io/protostuff/compiler/FomatterTest.java,io.protostuff.compiler.FomatterTest,testCutR,()V,void testCutR(),org.junit.Test,3,3,4,String format(String str)|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,2,2,,0,,0
