mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testEncodeZigZag32,()V,void testEncodeZigZag32(),org.junit.Test,4,4,8,int encodeZigZag32(int n)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,4,4,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testEncodeZigZag64,()V,void testEncodeZigZag64(),org.junit.Test,4,4,8,long encodeZigZag64(long n)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,4,4,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testComputeRawVarint64Size,()V,void testComputeRawVarint64Size(),org.junit.Test,10,10,20,int computeRawVarint64Size(long value)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,10,10,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testGetRawVarInt32Bytes,()V,void testGetRawVarInt32Bytes(),org.junit.Test,2,2,4,byte[] getRawVarInt32Bytes(int value)|void assertArrayEquals(byte[] expecteds; byte[] actuals),2,,0,,0,0,0,0,0,,2,2,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testComputeRawVarint32Size,()V,void testComputeRawVarint32Size(),org.junit.Test,5,5,10,int computeRawVarint32Size(int value)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,5,5,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testGetTagAndRawLittleEndian32Bytes,()V,void testGetTagAndRawLittleEndian32Bytes(),org.junit.Test,2,2,4,byte[] getTagAndRawLittleEndian32Bytes(int tag; int value)|void assertArrayEquals(byte[] expecteds; byte[] actuals),2,,0,,0,0,0,0,0,,2,2,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testGetTagAndRawLittleEndian64Bytes,()V,void testGetTagAndRawLittleEndian64Bytes(),org.junit.Test,2,2,4,byte[] getTagAndRawLittleEndian64Bytes(int tag; long value)|void assertArrayEquals(byte[] expecteds; byte[] actuals),2,,0,,0,0,0,0,0,,2,2,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testGetTagAndRawVarInt32Bytes,()V,void testGetTagAndRawVarInt32Bytes(),org.junit.Test,3,3,6,byte[] getTagAndRawVarInt32Bytes(int tag; int value)|void assertArrayEquals(byte[] expecteds; byte[] actuals),2,,0,,0,0,0,0,0,,3,3,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testGetTagAndRawVarInt64Bytes,()V,void testGetTagAndRawVarInt64Bytes(),org.junit.Test,3,3,6,byte[] getTagAndRawVarInt64Bytes(int tag; long value)|void assertArrayEquals(byte[] expecteds; byte[] actuals),2,,0,,0,0,0,0,0,,3,3,,0,,0
protostuff-core,protostuff-core,/protostuff-core/src/test/java/io/protostuff/ProtobufOutputTest.java,io.protostuff.ProtobufOutputTest,testWriteRawVarInt32,()V,void testWriteRawVarInt32(),org.junit.Test,3,3,2,void assertArrayEquals(byte[] expecteds; byte[] actuals)|void writeRawVarInt32(int value; byte[] buf; int offset),2,,0,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
