mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/core/ImportIT.java,io.protostuff.compiler.core.ImportIT,testImportedFieldIsAccessible,()V,void testImportedFieldIsAccessible(),org.junit.Test,2,2,1,void setB(B b),1,,0,,0,0,0,0,0,,0,0,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/custom/PluralToSingularIT.java,io.protostuff.compiler.custom.PluralToSingularIT,testGeneratedClass,()V,void testGeneratedClass(),org.junit.Test,4,4,6,List singletonList(Object o)|List<E> getErrorList()|int getErrorCount()|void addError(E errors)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),6,,0,,0,0,0,0,0,,2,2,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/custom/ProtoTypeIT.java,io.protostuff.compiler.custom.ProtoTypeIT,testProtoDescriptor,()V,void testProtoDescriptor(),org.junit.Test,1,1,2,String getProtoDefinition()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/java_bean/DefaultValueIT.java,io.protostuff.compiler.java_bean.DefaultValueIT,test_newInstance_withoutDefaultValues,()V,void test_newInstance_withoutDefaultValues(),org.junit.Test,4,4,8,Integer getA()|Object newMessage()|Schema<MessageWithoutDefaultValues> getSchema()|String getS()|TestEnum getE()|void assertNull(Object object),6,,0,,0,0,0,0,0,,3,3,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/java_bean/DefaultValueIT.java,io.protostuff.compiler.java_bean.DefaultValueIT,test_newInstance_withDefaultValues,()V,void test_newInstance_withDefaultValues(),org.junit.Test,4,4,9,Integer getA()|Integer valueOf(int i)|Object newMessage()|Schema<MessageWithDefaultValues> getSchema()|String getS()|TestEnum getE()|void assertEquals(Object expected; Object actual),7,,0,,0,0,0,0,0,,3,3,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/java_bean/NoPackageIT.java,io.protostuff.compiler.java_bean.NoPackageIT,testThatClassExists,()V,void testThatClassExists(),org.junit.Test,1,1,2,NoPackage getDefaultInstance()|void assertNotNull(Object object),2,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/java_bean/EmptyMessageIT.java,io.protostuff.compiler.java_bean.EmptyMessageIT,testEmptyMessageSchema,()V,void testEmptyMessageSchema(),org.junit.Test,4,4,6,Class typeClass()|Object newMessage()|boolean isInitialized(Object message)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object),5,,0,,0,0,0,0,0,,3,3,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/java_bean/EmptyMessageIT.java,io.protostuff.compiler.java_bean.EmptyMessageIT,testSerializeDeserialize_EmptyMessage,()V,void testSerializeDeserialize_EmptyMessage(),org.junit.Test,8,8,6,LinkedBuffer allocate()|Object newMessage()|byte[] toByteArray()|int writeTo(OutputStream out; Object message; Schema schema; LinkedBuffer buffer)|void assertEquals(long expected; long actual)|void mergeFrom(byte[] data; Object message; Schema schema),6,,0,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/java_bean/EmptyMessageIT.java,io.protostuff.compiler.java_bean.EmptyMessageIT,testSerializeDeserialize_MessageWithEmptyMessage_unset,()V,void testSerializeDeserialize_MessageWithEmptyMessage_unset(),org.junit.Test,9,9,8,EmptyMessage getA()|LinkedBuffer allocate()|Object newMessage()|byte[] toByteArray()|int writeTo(OutputStream out; Object message; Schema schema; LinkedBuffer buffer)|void assertEquals(long expected; long actual)|void assertNull(Object object)|void mergeFrom(byte[] data; Object message; Schema schema),8,,0,,0,1,1,0,0,java.io.IOException,2,2,,0,,0
protostuff-core,protostuff-it,/protostuff-it/src/test/java/io/protostuff/compiler/java_bean/EmptyMessageIT.java,io.protostuff.compiler.java_bean.EmptyMessageIT,testSerializeDeserialize_MessageWithEmptyMessage_is_set,()V,void testSerializeDeserialize_MessageWithEmptyMessage_is_set(),org.junit.Test,9,9,8,EmptyMessage getA()|LinkedBuffer allocate()|Object newMessage()|byte[] toByteArray()|int writeTo(OutputStream out; Object message; Schema schema; LinkedBuffer buffer)|void assertNotNull(Object object)|void mergeFrom(byte[] data; Object message; Schema schema)|void setA(EmptyMessage a),8,,0,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
