mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonInfNaNSerializationTest.java,io.protostuff.JsonInfNaNSerializationTest,testSerializePositiveInfinity,()V,void testSerializePositiveInfinity(),org.junit.Test,6,6,5,Schema<FPNumbers> getSchema()|byte[] toByteArray(T message; Schema<T> schema; boolean numeric)|void assertEquals(Object expected; Object actual)|void setDouble(Double doubleValue)|void setFloat(Float floatValue),5,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonInfNaNSerializationTest.java,io.protostuff.JsonInfNaNSerializationTest,testDeserializePositiveInfinity,()V,void testDeserializePositiveInfinity(),org.junit.Test,4,4,7,Double getDouble()|Float getFloat()|Schema<FPNumbers> getSchema()|byte[] getBytes()|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),6,,0,,0,1,1,0,0,java.io.IOException,2,2,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonInfNaNSerializationTest.java,io.protostuff.JsonInfNaNSerializationTest,testSerializeNegativeInfinity,()V,void testSerializeNegativeInfinity(),org.junit.Test,6,6,5,Schema<FPNumbers> getSchema()|byte[] toByteArray(T message; Schema<T> schema; boolean numeric)|void assertEquals(Object expected; Object actual)|void setDouble(Double doubleValue)|void setFloat(Float floatValue),5,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonInfNaNSerializationTest.java,io.protostuff.JsonInfNaNSerializationTest,testDeserializeNegativeInfinity,()V,void testDeserializeNegativeInfinity(),org.junit.Test,4,4,7,Double getDouble()|Float getFloat()|Schema<FPNumbers> getSchema()|byte[] getBytes()|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),6,,0,,0,1,1,0,0,java.io.IOException,2,2,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonInfNaNSerializationTest.java,io.protostuff.JsonInfNaNSerializationTest,testSerializeNaN,()V,void testSerializeNaN(),org.junit.Test,6,6,5,Schema<FPNumbers> getSchema()|byte[] toByteArray(T message; Schema<T> schema; boolean numeric)|void assertEquals(Object expected; Object actual)|void setDouble(Double doubleValue)|void setFloat(Float floatValue),5,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonInfNaNSerializationTest.java,io.protostuff.JsonInfNaNSerializationTest,testDeserializeNaN,()V,void testDeserializeNaN(),org.junit.Test,4,4,7,Double getDouble()|Float getFloat()|Schema<FPNumbers> getSchema()|byte[] getBytes()|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),6,,0,,0,1,1,0,0,java.io.IOException,2,2,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnsignedSerializationTest.java,io.protostuff.JsonUnsignedSerializationTest,testSerialize,()V,void testSerialize(),org.junit.Test,8,8,7,Schema getSchema()|byte[] toByteArray(T message; Schema<T> schema; boolean numeric)|void assertEquals(Object expected; Object actual)|void setFixed32(Integer fixed32)|void setFixed64(Long fixed64)|void setUint32(Integer uint32)|void setUint64(Long uint64),7,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnsignedSerializationTest.java,io.protostuff.JsonUnsignedSerializationTest,testDeserialize,()V,void testDeserialize(),org.junit.Test,6,6,15,Integer getFixed32()|Integer getUint32()|Integer valueOf(int i)|Long getFixed64()|Long getUint64()|Long valueOf(long l)|Schema getSchema()|byte[] getBytes()|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),10,,0,,0,1,1,0,0,java.io.IOException,4,4,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnsignedSerializationTest.java,io.protostuff.JsonUnsignedSerializationTest,testDeserializeDataSerializedAsSignedNumbers_backward_comp,()V,void testDeserializeDataSerializedAsSignedNumbers_backward_comp(),org.junit.Test,7,7,15,Integer getFixed32()|Integer getUint32()|Integer valueOf(int i)|Long getFixed64()|Long getUint64()|Long valueOf(long l)|Schema getSchema()|byte[] getBytes()|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),10,,0,,0,1,1,0,0,java.io.IOException,4,4,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnknownFieldTest.java,io.protostuff.JsonUnknownFieldTest,normalMessage,()V,void normalMessage(),org.junit.Test,2,2,3,byte[] getBytes()|void checkKnownFields(TestMessage instance)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),3,void checkKnownFields(TestMessage instance),1,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnknownFieldTest.java,io.protostuff.JsonUnknownFieldTest,unknownScalarField,()V,void unknownScalarField(),org.junit.Test,2,2,3,byte[] getBytes()|void checkKnownFields(TestMessage instance)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),3,void checkKnownFields(TestMessage instance),1,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnknownFieldTest.java,io.protostuff.JsonUnknownFieldTest,unknownArrayField,()V,void unknownArrayField(),org.junit.Test,2,2,3,byte[] getBytes()|void checkKnownFields(TestMessage instance)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),3,void checkKnownFields(TestMessage instance),1,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnknownFieldTest.java,io.protostuff.JsonUnknownFieldTest,unknownEmptyMessageField,()V,void unknownEmptyMessageField(),org.junit.Test,2,2,3,byte[] getBytes()|void checkKnownFields(TestMessage instance)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),3,void checkKnownFields(TestMessage instance),1,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
protostuff-core,protostuff-json,/protostuff-json/src/test/java/io/protostuff/JsonUnknownFieldTest.java,io.protostuff.JsonUnknownFieldTest,unknownNestedMessageField,()V,void unknownNestedMessageField(),org.junit.Test,2,2,3,byte[] getBytes()|void checkKnownFields(TestMessage instance)|void mergeFrom(byte[] data; T message; Schema<T> schema; boolean numeric),3,void checkKnownFields(TestMessage instance),1,,0,1,1,0,0,java.io.IOException,0,2,,0,,0
