mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/CollectionTest.java,io.protostuff.runtime.CollectionTest,testSimpleTask,()V,void testSimpleTask(),org.junit.Test,6,6,6,LinkedBuffer allocate(int size)|Schema<T> getSchema(Class<T> typeClass)|Task filledTask()|byte[] toByteArray(Object message; Schema schema; LinkedBuffer buffer)|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; Object message; Schema schema),6,Task filledTask(),1,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/CollectionTest.java,io.protostuff.runtime.CollectionTest,testITask,()V,void testITask(),org.junit.Test,6,6,6,LinkedBuffer allocate(int size)|Schema<T> getSchema(Class<T> typeClass)|Task filledTask()|byte[] toByteArray(Object message; Schema schema; LinkedBuffer buffer)|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; Object message; Schema schema),6,Task filledTask(),1,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/CollectionTest.java,io.protostuff.runtime.CollectionTest,testEmployee,()V,void testEmployee(),org.junit.Test,6,6,6,Employee filledEmployee()|LinkedBuffer allocate(int size)|Schema<T> getSchema(Class<T> typeClass)|byte[] toByteArray(Object message; Schema schema; LinkedBuffer buffer)|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; Object message; Schema schema),6,Employee filledEmployee(),1,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/CollectionTest.java,io.protostuff.runtime.CollectionTest,testIEmployee,()V,void testIEmployee(),org.junit.Test,14,14,12,LinkedBuffer allocate(int size)|Schema<T> getSchema(Class<T> typeClass)|Task filledTask()|boolean add(Object e)|byte[] toByteArray(Object message; Schema schema; LinkedBuffer buffer)|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; Object message; Schema schema)|void setDepartments(Collection<String> departments)|void setId(int id)|void setTasks(Collection<ITask> tasks),10,Task filledTask(),1,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/CollectionTest.java,io.protostuff.runtime.CollectionTest,testPojoWithMappedAbstractTypes,()V,void testPojoWithMappedAbstractTypes(),org.junit.Test,6,6,16,List<Field<T>> getFields()|Object get(int index)|Schema<T> getSchema(Class<T> typeClass; IdStrategy strategy)|int size()|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,0,0,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/RuntimeSchemaEnumTagTest.java,io.protostuff.runtime.RuntimeSchemaEnumTagTest,testWriteNumericEnum,()V,void testWriteNumericEnum(),org.junit.Test,6,6,6,Object mock(Class classToMock)|Object verify(Object mock)|RuntimeSchema<T> createFrom(Class<T> typeClass)|void verifyNoMoreInteractions(Object[] mocks)|void writeEnum(int fieldNumber; int value; boolean repeated)|void writeTo(Output output; T message),6,,0,,0,2,2,0,0,java.io.IOException,0,0,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/RuntimeSchemaEnumTagTest.java,io.protostuff.runtime.RuntimeSchemaEnumTagTest,testSerializeDeserializeNumericEnum,()V,void testSerializeDeserializeNumericEnum(),org.junit.Test,9,9,7,LinkedBuffer allocate()|RuntimeSchema<T> createFrom(Class<T> typeClass)|T newMessage()|byte[] toByteArray()|int writeTo(OutputStream out; Object message; Schema schema; LinkedBuffer buffer)|void assertEquals(Object expected; Object actual)|void mergeFrom(byte[] data; Object message; Schema schema),7,,0,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/RuntimeSchemaEnumTagTest.java,io.protostuff.runtime.RuntimeSchemaEnumTagTest,testWriteStringEnum,()V,void testWriteStringEnum(),org.junit.Test|org.junit.Ignore,0,0,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/CompatTest.java,io.protostuff.runtime.CompatTest,testCompat,()V,void testCompat(),org.junit.Test,2,3,2,void compareBar()|void compareFoo(),2,void compareBar()|void compareFoo(),2,,0,0,0,0,0,,0,4,,0,,0
protostuff-core,protostuff-runtime,/protostuff-runtime/src/test/java/io/protostuff/runtime/CompatTest.java,io.protostuff.runtime.CompatTest,testMixed,()V,void testMixed(),org.junit.Test|java.lang.SuppressWarnings,13,14,37,Class getClass()|Field<T> getFieldByName(String fieldName)|Schema<P> getSchema()|Schema<T> getCachedSchema(Class<T> clazz)|Schema<T> getSchema(Class<T> typeClass)|boolean isAssignableFrom(Class cls)|void assertTrue(boolean condition),7,Schema<T> getCachedSchema(Class<T> clazz),1,,0,3,6,0,0,java.lang.IllegalAccessException|java.lang.InstantiationException,7,7,,0,,0
