mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testFoo,()V,void testFoo(),org.junit.Test,5,5,5,Schema cachedSchema()|byte[] toByteArray(T message; Schema<T> schema)|void assertEquals(Object m1; Object m2)|void mergeFrom(byte[] data; T message; Schema<T> schema),4,,0,,0,0,0,0,0,,0,0,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testBar,()V,void testBar(),org.junit.Test,1,5,5,Schema cachedSchema()|byte[] toByteArray(T message; Schema<T> schema)|void assertEquals(Object m1; Object m2)|void mergeFrom(byte[] data; T message; Schema<T> schema),4,,0,,0,0,0,0,0,,0,0,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testBarWithEmptyStringAndByteString,()V,void testBarWithEmptyStringAndByteString(),org.junit.Test,9,9,12,ByteString copyFromUtf8(String text)|LinkedBuffer allocate(int size)|Schema cachedSchema()|byte[] toByteArray(T message; Schema<T> schema)|byte[] toByteArray(T message; Schema<T> schema; LinkedBuffer buffer)|void assertArrayEquals(byte[] expecteds; byte[] actuals)|void assertEquals(Object m1; Object m2)|void mergeFrom(byte[] data; T message; Schema<T> schema)|void setSomeBytes(ByteString someBytes)|void setSomeString(String someString),10,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testBaz,()V,void testBaz(),org.junit.Test,1,5,5,Schema cachedSchema()|byte[] toByteArray(T message; Schema<T> schema)|void assertEquals(Object m1; Object m2)|void mergeFrom(byte[] data; T message; Schema<T> schema),4,,0,,0,0,0,0,0,,0,0,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testUnknownScalarFields,()V,void testUnknownScalarFields(),org.junit.Test,2,5,5,Schema cachedSchema()|byte[] ser(String nonNullValue)|int getId()|void assertTrue(boolean condition)|void mergeFrom(byte[] data; T message; Schema<T> schema),5,,0,,0,0,0,0,0,,1,1,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testListIO,()V,void testListIO(),org.junit.Test,11,12,12,List<T> parseListFrom(InputStream in; Schema<T> schema)|Object get(int index)|Schema cachedSchema()|boolean add(Object e)|byte[] toByteArray()|int size()|void assertEquals(Object m1; Object m2)|void assertTrue(boolean condition)|void writeListTo(OutputStream out; List<T> messages; Schema<T> schema),9,,0,,0,2,2,0,0,java.io.IOException,1,1,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testListIOEmpty,()V,void testListIOEmpty(),org.junit.Test,9,10,10,List<T> parseListFrom(InputStream in; Schema<T> schema)|Object get(int index)|Schema cachedSchema()|byte[] toByteArray()|int size()|void assertEquals(Object m1; Object m2)|void assertTrue(boolean condition)|void writeListTo(OutputStream out; List<T> messages; Schema<T> schema),8,,0,,0,2,2,0,0,java.io.IOException,1,1,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testListIOWithArrays,()V,void testListIOWithArrays(),org.junit.Test,11,12,12,List<T> parseListFrom(InputStream in; Schema<T> schema)|Object get(int index)|Schema cachedSchema()|boolean add(Object e)|byte[] toByteArray()|int size()|void assertEquals(Object m1; Object m2)|void assertTrue(boolean condition)|void writeListTo(OutputStream out; List<T> messages; Schema<T> schema),9,,0,,0,2,2,0,0,java.io.IOException,1,1,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testEmptyMessage,()V,void testEmptyMessage(),org.junit.Test,5,5,5,Schema cachedSchema()|byte[] toByteArray(T message; Schema<T> schema)|void assertEquals(Object m1; Object m2)|void mergeFrom(byte[] data; T message; Schema<T> schema),4,,0,,0,0,0,0,0,,0,0,,0,,0
protostuff-core,protostuff-xml,/protostuff-xml/src/test/java/io/protostuff/XmlCoreSerDeserTest.java,io.protostuff.XmlCoreSerDeserTest,testEmptyMessageInner,()V,void testEmptyMessageInner(),org.junit.Test,7,7,6,Schema cachedSchema()|byte[] toByteArray(T message; Schema<T> schema)|void assertEquals(Object m1; Object m2)|void mergeFrom(byte[] data; T message; Schema<T> schema)|void setSomeBaz(Baz baz),5,,0,,0,0,0,0,0,,0,0,,0,,0
