mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/controller/customer/rest/CustomerRESTControllerTest.java,com.salesmanager.test.shop.controller.customer.rest.CustomerRESTControllerTest,postCustomerOptionValue,()V,void postCustomerOptionValue(),org.junit.Test|org.junit.Ignore,17,17,15,HttpHeaders getHeader()|Long getId()|Object getBody()|ObjectWriter withDefaultPrettyPrinter()|ObjectWriter writer()|ResponseEntity postForEntity(String url; Object request; Class responseType; Object[] uriVariables)|String writeValueAsString(Object arg0)|boolean add(Object e)|void println(String x)|void setCode(String code)|void setDescriptions(List<CustomerOptionValueDescription> descriptions)|void setLanguage(String language)|void setName(String name)|void setOrder(int order),14,HttpHeaders getHeader(),1,,0,2,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|org.springframework.web.client.RestClientException,0,0,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/controller/customer/rest/CustomerRESTControllerTest.java,com.salesmanager.test.shop.controller.customer.rest.CustomerRESTControllerTest,postCustomerOption,()V,void postCustomerOption(),org.junit.Test|org.junit.Ignore,17,17,15,HttpHeaders getHeader()|Long getId()|Object getBody()|ObjectWriter withDefaultPrettyPrinter()|ObjectWriter writer()|ResponseEntity postForEntity(String url; Object request; Class responseType; Object[] uriVariables)|String writeValueAsString(Object arg0)|boolean add(Object e)|void println(String x)|void setCode(String code)|void setDescriptions(List<CustomerOptionDescription> descriptions)|void setLanguage(String language)|void setName(String name)|void setOrder(int order),14,HttpHeaders getHeader(),1,,0,2,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|org.springframework.web.client.RestClientException,0,0,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/controller/customer/rest/CustomerRESTControllerTest.java,com.salesmanager.test.shop.controller.customer.rest.CustomerRESTControllerTest,getCustomers,()V,void getCustomers(),org.junit.Test|org.junit.Ignore,4,6,5,HttpHeaders getHeader()|HttpStatus getStatusCode()|Object getBody()|ResponseEntity exchange(String url; HttpMethod method; HttpEntity requestEntity; Class responseType; Object[] uriVariables)|void println(String x),5,HttpHeaders getHeader(),1,,0,1,1,0,0,org.springframework.web.client.RestClientException,0,0,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/controller/customer/rest/CustomerRESTControllerTest.java,com.salesmanager.test.shop.controller.customer.rest.CustomerRESTControllerTest,postCustomer,()V,void postCustomer(),org.junit.Test|org.junit.Ignore,23,23,22,HttpHeaders getHeader()|Long getId()|Object getBody()|ObjectWriter withDefaultPrettyPrinter()|ObjectWriter writer()|ResponseEntity postForEntity(String url; Object request; Class responseType; Object[] uriVariables)|String writeValueAsString(Object arg0)|void println(String x)|void setAddress(String address)|void setBilling(Address billing)|void setCity(String city)|void setCountry(String country)|void setEmailAddress(String emailAddress)|void setFirstName(String firstName)|void setGender(String gender)|void setLanguage(String language)|void setLastName(String lastName)|void setPassword(String password)|void setPostalCode(String postalCode)|void setUserName(String userName)|void setZone(String zone),21,HttpHeaders getHeader(),1,,0,2,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|org.springframework.web.client.RestClientException,0,0,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/controller/customer/rest/CustomerRESTControllerTest.java,com.salesmanager.test.shop.controller.customer.rest.CustomerRESTControllerTest,deleteCustomer,()V,void deleteCustomer(),org.junit.Test|org.junit.Ignore,4,4,3,HttpHeaders getHeader()|ResponseEntity exchange(String url; HttpMethod method; HttpEntity requestEntity; Class responseType; Object[] uriVariables)|void println(String x),3,HttpHeaders getHeader(),1,,0,1,1,0,0,org.springframework.web.client.RestClientException,0,0,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/controller/store/rest/ContactAPITest.java,com.salesmanager.test.shop.controller.store.rest.ContactAPITest,contactUs,()V,void contactUs(),org.junit.Test|org.junit.Ignore,12,14,13,HttpHeaders getHeader()|HttpStatus getStatusCode()|Object getBody()|ObjectWriter withDefaultPrettyPrinter()|ObjectWriter writer()|ResponseEntity exchange(String url; HttpMethod method; HttpEntity requestEntity; Class responseType; Object[] uriVariables)|String writeValueAsString(Object arg0)|void println(String x)|void setComment(String comment)|void setEmail(String email)|void setName(String name)|void setSubject(String subject),12,HttpHeaders getHeader(),1,,0,2,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|org.springframework.web.client.RestClientException,0,0,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/integration/cart/ShoppingCartAPIIntegrationTest.java,com.salesmanager.test.shop.integration.cart.ShoppingCartAPIIntegrationTest,addToCart,()V,void addToCart(),org.junit.Test,1,1,1,void assertNotNull(Object object),1,,0,,0,0,0,0,0,,1,1,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/integration/category/CategoryManagementAPIIntegrationTest.java,com.salesmanager.test.shop.integration.category.CategoryManagementAPIIntegrationTest,getCategory,()V,void getCategory(),org.junit.Test,3,6,7,HttpHeaders getHeader()|HttpStatus getStatusCode()|Object getBody()|ResponseEntity exchange(String url; HttpMethod method; HttpEntity requestEntity; Class responseType; Object[] urlVariables)|String format(String format; Object[] args)|String toString()|void assertNotNull(Object object),7,,0,,0,1,1,0,0,org.springframework.web.client.RestClientException,1,1,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/integration/category/CategoryManagementAPIIntegrationTest.java,com.salesmanager.test.shop.integration.category.CategoryManagementAPIIntegrationTest,postCategory,()V,void postCategory(),org.junit.Test,22,22,22,HttpHeaders getHeader()|HttpStatus getStatusCode()|Long getId()|Matcher is(Object value)|Object getBody()|ObjectWriter withDefaultPrettyPrinter()|ObjectWriter writer()|ResponseEntity postForEntity(String url; Object request; Class responseType; Object[] urlVariables)|String writeValueAsString(Object arg0)|boolean add(Object e)|void assertNotNull(Object object)|void assertThat(Object actual; Matcher matcher)|void setCode(String code)|void setDepth(int depth)|void setDescriptions(List<CategoryDescription> descriptions)|void setFriendlyUrl(String friendlyUrl)|void setLanguage(String language)|void setName(String name)|void setParent(Category parent)|void setSortOrder(int sortOrder)|void setTitle(String title)|void setVisible(boolean visible),22,,0,,0,2,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|org.springframework.web.client.RestClientException,2,2,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/integration/category/CategoryManagementAPIIntegrationTest.java,com.salesmanager.test.shop.integration.category.CategoryManagementAPIIntegrationTest,putCategory,()V,void putCategory(),org.junit.Test,40,40,45,HttpHeaders getHeader()|HttpStatus getStatusCode()|Long getId()|Matcher is(Object value)|Object getBody()|ObjectWriter withDefaultPrettyPrinter()|ObjectWriter writer()|ResponseEntity exchange(String url; HttpMethod method; HttpEntity requestEntity; Class responseType; Object[] urlVariables)|ResponseEntity postForEntity(String url; Object request; Class responseType; Object[] urlVariables)|String format(String format; Object[] args)|String writeValueAsString(Object arg0)|boolean add(Object e)|void assertNotNull(Object object)|void assertThat(Object actual; Matcher matcher)|void setCode(String code)|void setDepth(int depth)|void setDescriptions(List<CategoryDescription> descriptions)|void setFriendlyUrl(String friendlyUrl)|void setLanguage(String language)|void setName(String name)|void setSortOrder(int sortOrder)|void setTitle(String title)|void setVisible(boolean visible),23,,0,,0,4,4,0,0,com.fasterxml.jackson.core.JsonProcessingException|org.springframework.web.client.RestClientException,4,4,,0,,0
shopizer,sm-shop,/sm-shop/src/test/java/com/salesmanager/test/shop/integration/category/CategoryManagementAPIIntegrationTest.java,com.salesmanager.test.shop.integration.category.CategoryManagementAPIIntegrationTest,postComplexCategory,()V,void postComplexCategory(),org.junit.Test,107,107,97,HttpHeaders getHeader()|HttpStatus getStatusCode()|List<PersistableCategory> getChildren()|Long getId()|Matcher is(Object value)|Object getBody()|ObjectWriter withDefaultPrettyPrinter()|ObjectWriter writer()|ResponseEntity exchange(String url; HttpMethod method; HttpEntity requestEntity; Class responseType; Object[] urlVariables)|ResponseEntity postForEntity(String url; Object request; Class responseType; Object[] urlVariables)|String format(String format; Object[] args)|String getCode()|String writeValueAsString(Object arg0)|boolean add(Object e)|int size()|void assertNotNull(Object object)|void assertThat(Object actual; Matcher matcher)|void setCode(String code)|void setDescriptions(List<CategoryDescription> descriptions)|void setFriendlyUrl(String friendlyUrl)|void setLanguage(String language)|void setName(String name)|void setParent(Category parent)|void setSortOrder(int sortOrder)|void setTitle(String title)|void setVisible(boolean visible),26,,0,,0,3,3,0,0,com.fasterxml.jackson.core.JsonProcessingException|org.springframework.web.client.RestClientException,2,2,,0,,0
