mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
closure-templates,soy,/soy/java/tests/com/google/template/soy/TransitiveIjParamsTest.java,com.google.template.soy.TransitiveIjParamsTest,testSimple,()V,void testSimple(),org.junit.Test,6,6,12,ImmutableSet<String> calculateIjs(String templateName)|IterableSubject assertThat(Iterable actual)|Ordered containsExactly(Object[] varargs),3,,0,,0,0,0,0,0,,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/TransitiveIjParamsTest.java,com.google.template.soy.TransitiveIjParamsTest,testTwoPathsToSameTemplate,()V,void testTwoPathsToSameTemplate(),org.junit.Test,5,5,9,ImmutableSet<String> calculateIjs(String templateName)|IterableSubject assertThat(Iterable actual)|Ordered containsExactly(Object[] varargs),3,,0,,0,0,0,0,0,,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/TransitiveIjParamsTest.java,com.google.template.soy.TransitiveIjParamsTest,testSimpleRecursion,()V,void testSimpleRecursion(),org.junit.Test,5,5,9,ImmutableSet<String> calculateIjs(String templateName)|IterableSubject assertThat(Iterable actual)|Ordered containsExactly(Object[] varargs),3,,0,,0,0,0,0,0,,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/TransitiveIjParamsTest.java,com.google.template.soy.TransitiveIjParamsTest,testLargerRecursiveCycle,()V,void testLargerRecursiveCycle(),org.junit.Test,5,5,9,ImmutableSet<String> calculateIjs(String templateName)|IterableSubject assertThat(Iterable actual)|Ordered containsExactly(Object[] varargs),3,,0,,0,0,0,0,0,,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/TransitiveIjParamsTest.java,com.google.template.soy.TransitiveIjParamsTest,testTwoPathsToSameRecursiveCycle,()V,void testTwoPathsToSameRecursiveCycle(),org.junit.Test,6,6,12,ImmutableSet<String> calculateIjs(String templateName)|IterableSubject assertThat(Iterable actual)|Ordered containsExactly(Object[] varargs),3,,0,,0,0,0,0,0,,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/TransitiveIjParamsTest.java,com.google.template.soy.TransitiveIjParamsTest,testSmallerRecursiveCycleInLargerRecursiveCycle,()V,void testSmallerRecursiveCycleInLargerRecursiveCycle(),org.junit.Test,6,6,10,ImmutableSet of(Object e1; Object e2; Object e3; Object e4)|ImmutableSet<String> calculateIjs(String templateName)|IterableSubject assertThat(Iterable actual)|void isEqualTo(Object expected),4,,0,,0,0,0,0,0,,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/SoyMsgExtractorTest.java,com.google.template.soy.SoyMsgExtractorTest,testOutputFileFlag,()V,void testOutputFileFlag(),org.junit.Test,10,10,21,CharSink asCharSink(File file; Charset charset; FileWriteMode[] modes)|CharSource asCharSource(File file; Charset charset)|File newFile(String fileName)|IntegerSubject assertThat(Integer actual)|Joiner on(char separator)|String join(Object first; Object second; Object[] rest)|String read()|String toString()|StringSubject assertThat(String actual)|int run(String[] args; PrintStream err)|void contains(CharSequence string)|void isEqualTo(Object expected)|void write(CharSequence charSequence),13,,0,,0,6,6,0,0,java.io.IOException,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/SoyHeaderCompilerTest.java,com.google.template.soy.SoyHeaderCompilerTest,testOutputFileFlag,()V,void testOutputFileFlag(),org.junit.Test,16,16,49,Builder newBuilder()|Builder setName(java.lang.String value)|Builder setPrimitive(com.google.template.soy.soytree.SoyTypeP.PrimitiveTypeP value)|Builder setRequired(boolean value)|Builder setTemplateName(java.lang.String value)|Builder setType(com.google.template.soy.soytree.SoyTypeP.Builder builderForValue)|ComparableSubject assertThat(Comparable actual)|CompilationUnit unit()|CssMetadata cssMeta()|HeaderOutput getHeaderOutput(String content)|IterableSubject assertThat(Iterable actual)|Ordered containsExactly(Object[] varargs)|StringSubject assertThat(String actual)|com.google.protobuf.ProtocolStringList getCssClassNamesList()|com.google.protobuf.ProtocolStringList getRequireCssNamesList()|com.google.template.soy.soytree.DataAllCallSituationP build()|com.google.template.soy.soytree.ParameterP build()|com.google.template.soy.soytree.SanitizedContentKindP getContentKind()|com.google.template.soy.soytree.SoyFileP getFile(int index)|com.google.template.soy.soytree.TemplateKindP getTemplateKind()|com.google.template.soy.soytree.TemplateMetadataP getTemplate(int index)|java.lang.String getDelpackage()|java.lang.String getNamespace()|java.lang.String getTemplateName()|java.util.List<com.google.template.soy.soytree.DataAllCallSituationP> getDataAllCallSituationList()|java.util.List<com.google.template.soy.soytree.ParameterP> getParameterList()|java.util.List<com.google.template.soy.soytree.SoyFileP> getFileList()|java.util.List<com.google.template.soy.soytree.TemplateMetadataP> getTemplateList()|void hasSize(int expectedSize)|void inOrder()|void isEmpty()|void isEqualTo(Object expected),32,HeaderOutput getHeaderOutput(String content),1,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/SoyHeaderCompilerTest.java,com.google.template.soy.SoyHeaderCompilerTest,testHtmlElementMetadata,()V,void testHtmlElementMetadata(),org.junit.Test,7,7,20,BooleanSubject assertThat(Boolean actual)|CompilationUnit unit()|HeaderOutput getHeaderOutput(String content)|StringSubject assertThat(String actual)|boolean getIsHtmlElement()|boolean getIsSoyElement()|boolean getIsVelogged()|com.google.template.soy.soytree.HtmlElementMetadataP getHtmlElement()|com.google.template.soy.soytree.SoyElementMetadataP getSoyElement()|com.google.template.soy.soytree.SoyFileP getFile(int index)|com.google.template.soy.soytree.TemplateMetadataP getTemplate(int index)|java.lang.String getTag()|void isEqualTo(Object expected)|void isFalse()|void isTrue(),15,HeaderOutput getHeaderOutput(String content),1,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
closure-templates,soy,/soy/java/tests/com/google/template/soy/SoyHeaderCompilerTest.java,com.google.template.soy.SoyHeaderCompilerTest,testHtmlElementDynamicTag,()V,void testHtmlElementDynamicTag(),org.junit.Test,7,7,20,BooleanSubject assertThat(Boolean actual)|CompilationUnit unit()|HeaderOutput getHeaderOutput(String content)|StringSubject assertThat(String actual)|boolean getIsHtmlElement()|boolean getIsSoyElement()|boolean getIsVelogged()|com.google.template.soy.soytree.HtmlElementMetadataP getHtmlElement()|com.google.template.soy.soytree.SoyElementMetadataP getSoyElement()|com.google.template.soy.soytree.SoyFileP getFile(int index)|com.google.template.soy.soytree.TemplateMetadataP getTemplate(int index)|java.lang.String getTag()|void isEqualTo(Object expected)|void isFalse()|void isTrue(),15,HeaderOutput getHeaderOutput(String content),1,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
