mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigPropertySourceTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigPropertySourceTest,testPropCanBeInitAndQueried,()V,void testPropCanBeInitAndQueried(),org.junit.Test,11,13,28,AbstractAssert isEqualTo(Object expected)|FeatureSet initProperties(FeatureSet featureSet)|List<ConfigurationSetting> listSettings(SettingSelector settingSelector; String storeName)|Object any()|Object getProperty(String name)|ObjectArrayAssert assertThat(Object[] actual)|ObjectArrayAssert containsExactlyInAnyOrder(Object[] values)|ObjectAssert assertThat(Object assertion)|Object[] addAll(Object[] array1; Object[] array2)|Object[] toArray(IntFunction generator)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|Stream map(Function mapper)|Stream stream()|String anyString()|String getKey()|String substring(int beginIndex)|String[] getPropertyNames()|int length()|void fail(String message)|void initFeatures(FeatureSet featureSet),21,,0,,0,2,2,1,0,java.io.IOException|java.rmi.ServerException,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigPropertySourceTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigPropertySourceTest,testPropertyNameSlashConvertedToDots,()V,void testPropertyNameSlashConvertedToDots(),org.junit.Test,12,14,22,AbstractAssert isEqualTo(Object expected)|AbstractIntegerAssert assertThat(int actual)|AbstractIntegerAssert isEqualTo(int expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|ConfigurationSetting createItem(String context; String key; String value; String label; String contentType)|FeatureSet initProperties(FeatureSet featureSet)|List<ConfigurationSetting> listSettings(SettingSelector settingSelector; String storeName)|Object any()|Object getProperty(String name)|ObjectAssert assertThat(Object assertion)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|String replace(char oldChar; char newChar)|String[] getPropertyNames()|boolean add(Object e)|void fail(String message)|void isNull(),19,,0,,0,2,2,1,0,java.io.IOException|java.rmi.ServerException,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigPropertySourceTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigPropertySourceTest,testFeatureFlagCanBeInitedAndQueried,()V,void testFeatureFlagCanBeInitedAndQueried(),org.junit.Test,15,17,17,FeatureSet initProperties(FeatureSet featureSet)|List<ConfigurationSetting> listSettings(SettingSelector settingSelector; String storeName)|Object any()|Object convertValue(Object fromValue; Class toValueType)|Object getProperty(String name)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|boolean add(Object e)|void addFeature(String key; Object feature)|void assertEquals(Object expected; Object actual)|void fail(String message)|void initFeatures(FeatureSet featureSet)|void setEnabledFor(List<FeatureFilterEvaluationContext> enabledFor)|void setKey(String key)|void setName(String name),16,,0,,0,3,3,1,0,java.io.IOException|java.lang.IllegalArgumentException|java.rmi.ServerException,2,2,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigPropertySourceTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigPropertySourceTest,testFeatureFlagThrowError,()V,void testFeatureFlagThrowError(),org.junit.Test,2,4,3,FeatureSet initProperties(FeatureSet featureSet)|String getMessage()|void assertEquals(Object expected; Object actual),3,,0,,0,1,1,1,0,java.io.IOException,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigPropertySourceTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigPropertySourceTest,testFeatureFlagBuildError,()V,void testFeatureFlagBuildError(),org.junit.Test,15,17,16,FeatureSet initProperties(FeatureSet featureSet)|List<ConfigurationSetting> listSettings(SettingSelector settingSelector; String storeName)|Object any()|Object convertValue(Object fromValue; Class toValueType)|Object getProperty(String name)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|boolean add(Object e)|void addFeature(String key; Object feature)|void assertEquals(Object expected; Object actual)|void fail()|void initFeatures(FeatureSet featureSet)|void setEnabledFor(List<FeatureFilterEvaluationContext> enabledFor)|void setKey(String key)|void setName(String name),16,,0,,0,3,3,1,0,java.io.IOException|java.lang.IllegalArgumentException|java.rmi.ServerException,2,2,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigPropertySourceTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigPropertySourceTest,initNullValidContentTypeTest,()V,void initNullValidContentTypeTest(),org.junit.Test,8,10,18,FeatureSet initProperties(FeatureSet featureSet)|List<ConfigurationSetting> listSettings(SettingSelector settingSelector; String storeName)|Object any()|ObjectArrayAssert assertThat(Object[] actual)|ObjectArrayAssert containsExactlyInAnyOrder(Object[] values)|Object[] toArray(IntFunction generator)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|Stream map(Function mapper)|Stream stream()|String anyString()|String getKey()|String substring(int beginIndex)|String[] getPropertyNames()|boolean add(Object e)|int length()|void fail(String message),17,,0,,0,2,2,1,0,java.io.IOException|java.rmi.ServerException,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigPropertySourceTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigPropertySourceTest,initNullInvalidContentTypeFeatureFlagTest,()V,void initNullInvalidContentTypeFeatureFlagTest(),org.junit.Test,8,9,11,FeatureSet initProperties(FeatureSet featureSet)|List<ConfigurationSetting> listSettings(SettingSelector settingSelector; String storeName)|Object any()|ObjectArrayAssert assertThat(Object[] actual)|ObjectArrayAssert containsExactlyInAnyOrder(Object[] values)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String anyString()|String[] getPropertyNames()|boolean add(Object e),10,,0,,0,2,2,1,0,java.io.IOException|java.rmi.ServerException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigBootstrapConfigurationTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigBootstrapConfigurationTest,propertySourceLocatorBeanCreated,()V,void propertySourceLocatorBeanCreated(),org.junit.Test,2,2,8,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|ApplicationContextAssert hasSingleBean(Class type)|ConstructorExpectationSetup whenNew(Class type)|Object assertThat(AssertProvider component)|OngoingStubbing thenReturn(Object value)|OngoingStubbing withAnyArguments()|String propPair(String propName; String propValue),8,,0,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigBootstrapConfigurationTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigBootstrapConfigurationTest,clientsBeanCreated,()V,void clientsBeanCreated(),org.junit.Test,2,3,8,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|ApplicationContextAssert hasSingleBean(Class type)|ConstructorExpectationSetup whenNew(Class type)|Object assertThat(AssertProvider component)|OngoingStubbing thenReturn(Object value)|OngoingStubbing withAnyArguments()|String propPair(String propName; String propValue),8,,0,,0,1,1,0,0,java.lang.Exception,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-appconfiguration-config,/spring-cloud-azure-appconfiguration-config/src/test/java/com/microsoft/azure/spring/cloud/config/AzureConfigBootstrapConfigurationTest.java,com.microsoft.azure.spring.cloud.config.AzureConfigBootstrapConfigurationTest,armEmptyConnectionStringShouldFail,()V,void armEmptyConnectionStringShouldFail(),org.junit.Test,6,11,26,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withConfiguration(Configurations configurations)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|AbstractThrowableAssert getFailure()|AbstractThrowableAssert hasCauseInstanceOf(Class type)|AbstractThrowableAssert hasStackTraceContaining(String description)|AutoConfigurations of(Class[] classes)|ConstructorExpectationSetup whenNew(Class type)|Object assertThat(AssertProvider component)|Object getBean(Class requiredType)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|OngoingStubbing withAnyArguments()|String anyString()|String getConnectionString()|String getToken(String tokenAudience)|String propPair(String propName; String propValue)|void fail(String message),18,,0,,0,4,4,0,1,java.io.IOException|java.lang.Exception|org.springframework.beans.BeansException,1,1,,0,,0
