mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/cache/AzureRedisAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.cache.AzureRedisAutoConfigurationTest,testAzureRedisDisabled,()V,void testAzureRedisDisabled(),org.junit.Test,1,1,4,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|ApplicationContextAssert doesNotHaveBean(Class type)|Object assertThat(AssertProvider component),4,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/cache/AzureRedisAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.cache.AzureRedisAutoConfigurationTest,testWithoutRedisOperationsClass,()V,void testWithoutRedisOperationsClass(),org.junit.Test,1,1,4,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withClassLoader(ClassLoader classLoader)|ApplicationContextAssert doesNotHaveBean(Class type)|Object assertThat(AssertProvider component),4,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/cache/AzureRedisAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.cache.AzureRedisAutoConfigurationTest,testAzureRedisPropertiesIllegal,()V,void testAzureRedisPropertiesIllegal(),org.junit.Test,1,1,4,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|Object getBean(Class requiredType),4,,0,,0,1,1,0,0,org.springframework.beans.BeansException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/cache/AzureRedisAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.cache.AzureRedisAutoConfigurationTest,testAzureRedisPropertiesConfigured,()V,void testAzureRedisPropertiesConfigured(),org.junit.Test,1,8,27,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|AbstractApplicationContextRunner withUserConfiguration(Class[] configurationClasses)|AbstractBooleanAssert assertThat(boolean actual)|AbstractBooleanAssert isEqualTo(boolean expected)|AbstractIntegerAssert assertThat(int actual)|AbstractIntegerAssert isEqualTo(int expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component)|Object getBean(Class requiredType)|String getHost()|String getName()|String getPassword()|boolean isSsl()|int getPort(),17,,0,,0,5,5,0,0,org.springframework.beans.BeansException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/cloudfoundry/AzureCloudFoundryEnvironmentPostProcessorTests.java,com.microsoft.azure.spring.cloud.autoconfigure.cloudfoundry.AzureCloudFoundryEnvironmentPostProcessorTests,testConfigurationProperties,()V,void testConfigurationProperties(),org.junit.Test,2,6,9,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withSystemProperties(String[] pairs)|File getFile()|Path toPath()|byte[] readAllBytes(Path path)|void assertEventhub(AssertableApplicationContext context)|void assertRedis(AssertableApplicationContext context)|void assertServicebus(AssertableApplicationContext context)|void assertStorage(AssertableApplicationContext context),9,void assertEventhub(AssertableApplicationContext context)|void assertRedis(AssertableApplicationContext context)|void assertServicebus(AssertableApplicationContext context)|void assertStorage(AssertableApplicationContext context),4,,0,2,2,0,0,java.io.IOException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/context/AzureContextAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.context.AzureContextAutoConfigurationTest,testAzurePropertiesConfigured,()V,void testAzurePropertiesConfigured(),org.junit.Test,1,6,22,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|AbstractAssert isEqualTo(Object expected)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|ApplicationContextAssert hasSingleBean(Class type)|AzureEnvironment getEnvironment()|Object assertThat(AssertProvider component)|Object getBean(Class requiredType)|ObjectAssert assertThat(Object assertion)|String getCredentialFilePath()|String getRegion()|String getResourceGroup(),13,,0,,0,4,4,0,0,org.springframework.beans.BeansException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/context/AzureContextAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.context.AzureContextAutoConfigurationTest,testRequiredAzureProperties,()V,void testRequiredAzureProperties(),org.junit.Test,1,4,13,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|ApplicationContextAssert hasSingleBean(Class type)|Object assertThat(AssertProvider component)|Object getBean(Class requiredType)|String getCredentialFilePath()|String getResourceGroup(),9,,0,,0,2,2,0,0,org.springframework.beans.BeansException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/context/AzureContextAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.context.AzureContextAutoConfigurationTest,testAzureDisabled,()V,void testAzureDisabled(),org.junit.Test,1,1,4,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|ApplicationContextAssert doesNotHaveBean(Class type)|Object assertThat(AssertProvider component),4,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/context/AzureContextAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.context.AzureContextAutoConfigurationTest,testWithoutAzureClass,()V,void testWithoutAzureClass(),org.junit.Test,1,1,4,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withClassLoader(ClassLoader classLoader)|ApplicationContextAssert doesNotHaveBean(Class type)|Object assertThat(AssertProvider component),4,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-autoconfigure,/spring-cloud-azure-autoconfigure/src/test/java/com/microsoft/azure/spring/cloud/autoconfigure/context/AzureContextAutoConfigurationTest.java,com.microsoft.azure.spring.cloud.autoconfigure.context.AzureContextAutoConfigurationTest,testLocationRequiredWhenAutoCreateResources,()V,void testLocationRequiredWhenAutoCreateResources(),org.junit.Test,1,1,5,AbstractApplicationContextRunner run(ContextConsumer consumer)|AbstractApplicationContextRunner withPropertyValues(String[] pairs)|Object getBean(Class requiredType),3,,0,,0,1,1,0,0,org.springframework.beans.BeansException,0,0,,0,,0
