mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,loadFeatureManagerWithLinkedHashSet,()V,void loadFeatureManagerWithLinkedHashSet(),org.junit.Test,27,27,36,FeatureSet getFeatureManagement()|HashMap<String;Feature> getFeatureManagement()|LinkedHashMap<String;Object> getParameters()|List<FeatureFilterEvaluationContext> getEnabledFor()|Object convertValue(Object fromValue; Class toValueType)|Object get(Object key)|Object get(int index)|Object put(Object key; Object value)|String getKey()|String getName()|boolean add(Object e)|int size()|void addFeature(Feature feature)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object)|void setEnabledFor(List<FeatureFilterEvaluationContext> enabledFor)|void setFeatureManagement(LinkedHashMap<String;?> featureSet)|void setKey(String key)|void setName(String name)|void setParameters(LinkedHashMap<String;Object> parameters),21,,0,,0,1,1,0,0,java.lang.IllegalArgumentException,9,9,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledFeatureNotFound,()V,void isEnabledFeatureNotFound(),org.junit.Test,5,5,4,boolean isEnabled(String feature)|void assertFalse(boolean condition)|void setFeatureManagement(HashMap<String;Object> featureManagement)|void setFeatureSet(FeatureSet featureSet),4,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledFeatureOff,()V,void isEnabledFeatureOff(),org.junit.Test,6,6,5,Object put(Object key; Object value)|boolean isEnabled(String feature)|void assertFalse(boolean condition)|void setFeatureManagement(HashMap<String;Object> featureManagement)|void setFeatureSet(FeatureSet featureSet),5,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledFeatureHasNoFilters,()V,void isEnabledFeatureHasNoFilters(),org.junit.Test,9,9,7,Object put(Object key; Object value)|boolean isEnabled(String feature)|void assertFalse(boolean condition)|void setEnabledFor(List<FeatureFilterEvaluationContext> enabledFor)|void setFeatureManagement(HashMap<String;Object> featureManagement)|void setFeatureSet(FeatureSet featureSet)|void setKey(String key),7,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledON,()V,void isEnabledON(),org.junit.Test,14,14,13,Object getBean(String name)|Object put(Object key; Object value)|OngoingStubbing thenReturn(Object value)|OngoingStubbing when(Object methodCall)|String matches(String regex)|boolean add(Object e)|boolean isEnabled(String feature)|void assertTrue(boolean condition)|void setEnabledFor(List<FeatureFilterEvaluationContext> enabledFor)|void setFeatureManagement(HashMap<String;Object> featureManagement)|void setFeatureSet(FeatureSet featureSet)|void setKey(String key)|void setName(String name),13,,0,,0,1,1,0,0,org.springframework.beans.BeansException,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledOnBoolean,()V,void isEnabledOnBoolean(),org.junit.Test,6,6,5,Object put(Object key; Object value)|boolean isEnabled(String feature)|void assertTrue(boolean condition)|void setFeatureSet(FeatureSet featureSet)|void setOnOff(HashMap<String;Boolean> onOff),5,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,featureManagerNotEnabledCorrectly,()V,void featureManagerNotEnabledCorrectly(),org.junit.Test,3,3,5,boolean isEnabled(String feature)|void assertFalse(boolean condition)|void setFeatureSet(FeatureSet featureSet),3,,0,,0,0,0,0,0,,2,2,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureManagerTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,bootstrapConfiguration,()V,void bootstrapConfiguration(),org.junit.Test,23,23,30,HashMap<String;Boolean> getOnOff()|HashMap<String;Feature> getFeatureManagement()|LinkedHashMap<String;Object> getParameters()|List<FeatureFilterEvaluationContext> getEnabledFor()|Object get(Object key)|Object get(int index)|Object put(Object key; Object value)|String getName()|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object)|void setFeatures(HashMap<String;Object> features)|void setFilterMapper(HashMap<Integer;FeatureFilterEvaluationContext> filterMapper)|void setName(String name)|void setParameters(LinkedHashMap<String;Object> parameters),16,,0,,0,0,0,0,0,,7,7,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureSetTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureSetTest,multipartFeatureFlagNameTest,()V,void multipartFeatureFlagNameTest(),org.junit.Test,8,8,9,HashMap<String;Boolean> getOnOff()|Object get(Object key)|Object put(Object key; Object value)|int size()|void assertEquals(long expected; long actual)|void assertTrue(boolean condition)|void setFeatures(HashMap<String;Object> features),7,,0,,0,0,0,0,0,,2,2,,0,,0
spring-cloud-azure,spring-cloud-azure-feature-management,/spring-cloud-azure-feature-management/src/test/java/com/microsoft/azure/spring/cloud/feature/manager/FeatureSetTest.java,com.microsoft.azure.spring.cloud.feature.manager.FeatureSetTest,invalidFeatureFlagTest,()V,void invalidFeatureFlagTest(),org.junit.Test,7,7,6,HashMap<String;Boolean> getOnOff()|Object put(Object key; Object value)|int size()|void assertEquals(long expected; long actual)|void setFeatures(HashMap<String;Object> features),5,,0,,0,0,0,0,0,,1,1,,0,,0
