mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/AzureListenerEndpointRegistryTests.java,com.microsoft.azure.spring.messaging.config.AzureListenerEndpointRegistryTests,createWithNullEndpoint,()V,void createWithNullEndpoint(),org.junit.Test,2,2,2,void expect(Class type)|void registerListenerContainer(AzureListenerEndpoint endpoint; ListenerContainerFactory<?> factory),2,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/AzureListenerEndpointRegistryTests.java,com.microsoft.azure.spring.messaging.config.AzureListenerEndpointRegistryTests,createWithNullEndpointId,()V,void createWithNullEndpointId(),org.junit.Test,2,2,2,void expect(Class type)|void registerListenerContainer(AzureListenerEndpoint endpoint; ListenerContainerFactory<?> factory),2,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/AzureListenerEndpointRegistryTests.java,com.microsoft.azure.spring.messaging.config.AzureListenerEndpointRegistryTests,createWithNullContainerFactory,()V,void createWithNullContainerFactory(),org.junit.Test,2,2,3,SimpleAzureListenerEndpoint createEndpoint(String id; String destinationName)|void expect(Class type)|void registerListenerContainer(AzureListenerEndpoint endpoint; ListenerContainerFactory<?> factory),3,SimpleAzureListenerEndpoint createEndpoint(String id; String destinationName),1,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/AzureListenerEndpointRegistryTests.java,com.microsoft.azure.spring.messaging.config.AzureListenerEndpointRegistryTests,createWithDuplicateEndpointId,()V,void createWithDuplicateEndpointId(),org.junit.Test,3,3,5,SimpleAzureListenerEndpoint createEndpoint(String id; String destinationName)|void expect(Class type)|void registerListenerContainer(AzureListenerEndpoint endpoint; ListenerContainerFactory<?> factory),3,SimpleAzureListenerEndpoint createEndpoint(String id; String destinationName),1,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/EnableAzureMessagingTests.java,com.microsoft.azure.spring.messaging.config.EnableAzureMessagingTests,sampleConfiguration,()V,void sampleConfiguration(),java.lang.Override|org.junit.Test,2,2,1,void testSampleConfiguration(ApplicationContext context),1,,0,,0,0,0,0,0,,0,2,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/EnableAzureMessagingTests.java,com.microsoft.azure.spring.messaging.config.EnableAzureMessagingTests,fullConfiguration,()V,void fullConfiguration(),java.lang.Override|org.junit.Test,2,2,1,void testFullConfiguration(ApplicationContext context),1,,0,,0,0,0,0,0,,0,5,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/EnableAzureMessagingTests.java,com.microsoft.azure.spring.messaging.config.EnableAzureMessagingTests,customConfiguration,()V,void customConfiguration(),java.lang.Override|org.junit.Test,2,2,1,void testCustomConfiguration(ApplicationContext context),1,,0,,0,0,0,0,0,,0,7,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/EnableAzureMessagingTests.java,com.microsoft.azure.spring.messaging.config.EnableAzureMessagingTests,explicitContainerFactory,()V,void explicitContainerFactory(),java.lang.Override|org.junit.Test,2,2,1,void testExplicitContainerFactoryConfiguration(ApplicationContext context),1,,0,,0,0,0,0,0,,0,1,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/EnableAzureMessagingTests.java,com.microsoft.azure.spring.messaging.config.EnableAzureMessagingTests,defaultContainerFactory,()V,void defaultContainerFactory(),java.lang.Override|org.junit.Test,2,2,1,void testDefaultContainerFactoryConfiguration(ApplicationContext context),1,,0,,0,0,0,0,0,,0,1,,0,,0
spring-cloud-azure,spring-cloud-azure-messaging,/spring-cloud-azure-messaging/src/test/java/com/microsoft/azure/spring/messaging/config/EnableAzureMessagingTests.java,com.microsoft.azure.spring.messaging.config.EnableAzureMessagingTests,containerAreStartedByDefault,()V,void containerAreStartedByDefault(),org.junit.Test,5,5,7,List<MessageListenerTestContainer> getListenerContainers()|Object get(int index)|Object getBean(Class requiredType)|boolean isAutoStartup()|boolean isStarted()|void assertTrue(boolean condition),6,,0,,0,1,1,0,0,org.springframework.beans.BeansException,2,2,,0,,0
