mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testEmptyPath,()V,void testEmptyPath(),org.junit.Test,1,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testSlashPath,()V,void testSlashPath(),org.junit.Test,1,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testValidObject,()V,void testValidObject(),org.junit.Test,2,2,4,boolean exists()|long contentLength()|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),4,,0,,0,1,1,0,0,java.io.IOException,2,2,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testWritable,()V,void testWritable(),org.junit.Test,4,4,4,OutputStream getOutputStream()|boolean isWritable()|void assertTrue(boolean condition),3,,0,,0,1,1,0,0,java.io.IOException,2,2,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testWritableOutputStream,()V,void testWritableOutputStream(),org.junit.Test,4,4,2,OutputStream getOutputStream()|void assertNotNull(Object object),2,,0,,0,1,1,0,0,java.io.IOException,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testWritableOutputStreamNoAutoCreateOnNullBlob,()V,void testWritableOutputStreamNoAutoCreateOnNullBlob(),org.junit.Test,3,3,1,OutputStream getOutputStream(),1,,0,,0,1,1,0,0,java.io.IOException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testGetInputStreamOnNullBlob,()V,void testGetInputStreamOnNullBlob(),org.junit.Test,3,3,1,InputStream getInputStream(),1,,0,,0,1,1,0,0,java.io.IOException,0,0,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testGetFilenameOnNonExistingBlob,()V,void testGetFilenameOnNonExistingBlob(),org.junit.Test,3,3,2,String getFilename()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testContainerDoesNotExist,()V,void testContainerDoesNotExist(),org.junit.Test,2,2,2,boolean exists()|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-cloud-azure-storage,/spring-cloud-azure-storage/src/test/java/com/microsoft/azure/spring/cloud/storage/AzureBlobStorageTests.java,com.microsoft.azure.spring.cloud.storage.AzureBlobStorageTests,testContainerExistsButResourceDoesNot,()V,void testContainerExistsButResourceDoesNot(),org.junit.Test,2,2,2,boolean exists()|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
