mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/UserAgentTestIT.java,com.microsoft.azure.spring.data.cosmosdb.UserAgentTestIT,testUserAgentSuffixAppended,()V,void testUserAgentSuffixAppended(),org.junit.Test,6,6,12,AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert assertThat(String actual)|ConnectionPolicy getConnectionPolicy()|CosmosClient getCosmosClient()|CosmosDBConfig build()|CosmosDBConfig getConfig()|CosmosDBConfigBuilder builder(String uri; String key; String database)|Object when(Object mock)|String getProjectVersion()|String userAgentSuffix()|Stubber doReturn(Object toBeReturned)|void mockStatic(Class type; Class[] types),12,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/CosmosDbFactoryTestIT.java,com.microsoft.azure.spring.data.cosmosdb.CosmosDbFactoryTestIT,testEmptyKey,()V,void testEmptyKey(),org.junit.Test,2,2,2,CosmosDBConfig build()|CosmosDBConfigBuilder builder(String uri; String key; String database),2,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/CosmosDbFactoryTestIT.java,com.microsoft.azure.spring.data.cosmosdb.CosmosDbFactoryTestIT,testInvalidEndpoint,()V,void testInvalidEndpoint(),org.junit.Test,3,3,4,AbstractAssert isNotNull()|CosmosDBConfig build()|CosmosDBConfigBuilder builder(String uri; String key; String database)|ObjectAssert assertThat(Object assertion),4,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/CosmosDbFactoryTestIT.java,com.microsoft.azure.spring.data.cosmosdb.CosmosDbFactoryTestIT,testConnectWithConnectionString,()V,void testConnectWithConnectionString(),org.junit.Test,3,3,4,AbstractAssert isNotNull()|CosmosDBConfig build()|CosmosDBConfigBuilder builder(String connectionString; String database)|ObjectAssert assertThat(Object assertion),4,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/CosmosDbFactoryTestIT.java,com.microsoft.azure.spring.data.cosmosdb.CosmosDbFactoryTestIT,testInvalidConnectionString,()V,void testInvalidConnectionString(),org.junit.Test,1,1,2,CosmosDBConfig build()|CosmosDBConfigBuilder builder(String connectionString; String database),2,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/CosmosDbFactoryTestIT.java,com.microsoft.azure.spring.data.cosmosdb.CosmosDbFactoryTestIT,testConnectionPolicyUserAgentKept,()V,void testConnectionPolicyUserAgentKept(),org.junit.Test,5,5,8,AbstractCharSequenceAssert contains(CharSequence[] values)|AbstractStringAssert assertThat(String actual)|ConnectionPolicy getConnectionPolicy()|CosmosClient getCosmosClient()|CosmosDBConfig build()|CosmosDBConfig getConfig()|CosmosDBConfigBuilder builder(String uri; String key; String database)|String userAgentSuffix(),8,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/common/PropertyLoaderUnitTest.java,com.microsoft.azure.spring.data.cosmosdb.common.PropertyLoaderUnitTest,testGetProjectVersion,()V,void testGetProjectVersion(),org.junit.Test,3,3,3,String getProjectVersion()|void assertNotEquals(Object unexpected; Object actual)|void assertNotNull(Object object),3,,0,,0,0,0,0,0,,2,2,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/common/PropertyLoaderUnitTest.java,com.microsoft.azure.spring.data.cosmosdb.common.PropertyLoaderUnitTest,testGetApplicationTelemetryAllowed,()V,void testGetApplicationTelemetryAllowed(),org.junit.Test,2,2,2,boolean isApplicationTelemetryAllowed()|void assertFalse(boolean condition),2,,0,,0,0,0,0,0,,1,1,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/common/MemoizerUnitTest.java,com.microsoft.azure.spring.data.cosmosdb.common.MemoizerUnitTest,testMemoizedFunctionShouldBeCalledOnlyOnce,()V,void testMemoizedFunctionShouldBeCalledOnlyOnce(),org.junit.Test,2,2,6,IntStream range(int startInclusive; int endExclusive)|Object apply(Object t)|Object get(Object key)|int get()|void assertEquals(long expected; long actual)|void forEach(IntConsumer action),6,,0,,0,0,0,0,0,,1,1,,0,,0
spring-data-cosmosdb,spring-data-cosmosdb,/spring-data-cosmosdb/src/test/java/com/microsoft/azure/spring/data/cosmosdb/common/MemoizerUnitTest.java,com.microsoft.azure.spring.data.cosmosdb.common.MemoizerUnitTest,testDifferentMemoizersShouldNotShareTheSameCache,()V,void testDifferentMemoizersShouldNotShareTheSameCache(),org.junit.Test,2,2,7,Function<I;O> memoize(Function<I;O> function)|IntStream range(int startInclusive; int endExclusive)|Object apply(Object t)|Object get(Object key)|int get()|void assertEquals(long expected; long actual)|void forEach(IntConsumer action),7,,0,,0,0,0,0,0,,1,1,,0,,0
