mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/annotation/AnnotationGraphUnitTest.java,com.microsoft.spring.data.gremlin.annotation.AnnotationGraphUnitTest,testAnnotationGraphDefaultCollection,()V,void testAnnotationGraphDefaultCollection(),org.junit.Test,3,3,5,GremlinSource<T> toGremlinSource(Class<T> domainClass)|String getLabel()|boolean isEmpty()|void assertTrue(boolean condition),4,,0,,0,0,0,0,0,,2,2,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/annotation/AnnotationGraphUnitTest.java,com.microsoft.spring.data.gremlin.annotation.AnnotationGraphUnitTest,testAnnotationGraphSpecifiedCollection,()V,void testAnnotationGraphSpecifiedCollection(),org.junit.Test,3,3,5,GremlinSource<T> toGremlinSource(Class<T> domainClass)|String getLabel()|boolean isEmpty()|void assertTrue(boolean condition),4,,0,,0,0,0,0,0,,2,2,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/annotation/AnnotationVertexUnitTest.java,com.microsoft.spring.data.gremlin.annotation.AnnotationVertexUnitTest,testAnnotationVertexDefaultLabel,()V,void testAnnotationVertexDefaultLabel(),org.junit.Test,4,4,7,GremlinSource<T> toGremlinSource(Class<T> domainClass)|String getLabel()|String getSimpleName()|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object)|void assertTrue(boolean condition),6,,0,,0,0,0,0,0,,3,3,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/annotation/AnnotationVertexUnitTest.java,com.microsoft.spring.data.gremlin.annotation.AnnotationVertexUnitTest,testAnnotationVertexSpecifiedLabel,()V,void testAnnotationVertexSpecifiedLabel(),org.junit.Test,4,4,6,GremlinSource<T> toGremlinSource(Class<T> domainClass)|String getLabel()|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,3,3,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/annotation/AnnotationEdgeUnitTest.java,com.microsoft.spring.data.gremlin.annotation.AnnotationEdgeUnitTest,testAnnotationEdgeDefaultLabel,()V,void testAnnotationEdgeDefaultLabel(),org.junit.Test,4,4,7,GremlinSource<T> toGremlinSource(Class<T> domainClass)|String getLabel()|String getSimpleName()|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object)|void assertTrue(boolean condition),6,,0,,0,0,0,0,0,,3,3,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/annotation/AnnotationEdgeUnitTest.java,com.microsoft.spring.data.gremlin.annotation.AnnotationEdgeUnitTest,testAnnotationEdgeSpecifiedLabel,()V,void testAnnotationEdgeSpecifiedLabel(),org.junit.Test,4,4,6,GremlinSource<T> toGremlinSource(Class<T> domainClass)|String getLabel()|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,3,3,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinFactoryUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinFactoryUnitTest,testGremlinFactoryException,()V,void testGremlinFactoryException(),org.junit.Test,2,2,3,Client getGremlinClient()|GremlinConfig build()|GremlinConfigBuilder builder(String endpoint; String username; String password),3,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinFactoryUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinFactoryUnitTest,testGremlinFactoryNormal,()V,void testGremlinFactoryNormal(),org.junit.Test,3,3,8,Client getGremlinClient()|Client.Settings getSettings()|Cluster getCluster()|Optional getSession()|boolean isPresent()|int getPort()|void assertEquals(long expected; long actual)|void assertFalse(boolean condition),8,,0,,0,0,0,0,0,,2,2,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinUtilsUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinUtilsUnitTest,testCreateIntegerInstance,()V,void testCreateIntegerInstance(),org.junit.Test,1,1,1,T createInstance(Class<T> type),1,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinUtilsUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinUtilsUnitTest,testCreateTestConstantsInstance,()V,void testCreateTestConstantsInstance(),org.junit.Test,1,1,1,T createInstance(Class<T> type),1,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinUtilsUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinUtilsUnitTest,testCreateAbstractInstance,()V,void testCreateAbstractInstance(),org.junit.Test,1,1,1,T createInstance(Class<T> type),1,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinUtilsUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinUtilsUnitTest,testTimeToMilliSecondsException,()V,void testTimeToMilliSecondsException(),org.junit.Test,1,1,1,long timeToMilliSeconds(Object time),1,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinUtilsUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinUtilsUnitTest,testToPrimitiveLongException,()V,void testToPrimitiveLongException(),org.junit.Test,1,1,1,long toPrimitiveLong(Object object),1,,0,,0,0,0,0,0,,0,0,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/GremlinUtilsUnitTest.java,com.microsoft.spring.data.gremlin.common.GremlinUtilsUnitTest,testToPrimitiveLong,()V,void testToPrimitiveLong(),org.junit.Test,1,1,2,long toPrimitiveLong(Object object)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
spring-data-gremlin,spring-data-gremlin,/spring-data-gremlin/src/test/java/com/microsoft/spring/data/gremlin/common/MacAddressUnitTest.java,com.microsoft.spring.data.gremlin.common.MacAddressUnitTest,testGetHashMacNormal,()V,void testGetHashMacNormal(),org.junit.Test,4,4,10,String getHashMac()|boolean isEmpty()|boolean isValidHashMacFormat(String hashMac)|void assertFalse(boolean condition)|void assertNotNull(Object object)|void assertTrue(boolean condition),6,,0,,0,0,0,0,0,,4,4,,0,,0
