mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/EventHubOperationSendSubscribeTest.java,com.microsoft.azure.spring.integration.eventhub.EventHubOperationSendSubscribeTest,testSendReceiveWithBatchCheckpointMode,()V,void testSendReceiveWithBatchCheckpointMode(),org.junit.Test,5,5,9,CheckpointConfig build()|CheckpointConfigBuilder builder()|CheckpointConfigBuilder checkpointMode(CheckpointMode checkpointMode)|CompletableFuture<Void> sendAsync(String destination; Message<T> message)|boolean subscribe(String destination; String consumerGroup; Consumer<Message<?>> consumer; Class<?> messagePayloadType)|void forEach(Consumer action)|void setCheckpointConfig(CheckpointConfig checkpointConfig)|void setStartPosition(StartPosition startPosition)|void verifyCheckpointBatchSuccessCalled(int times),9,void verifyCheckpointBatchSuccessCalled(int times),1,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/EventHubOperationSendSubscribeTest.java,com.microsoft.azure.spring.integration.eventhub.EventHubOperationSendSubscribeTest,testHasPartitionIdHeader,()V,void testHasPartitionIdHeader(),org.junit.Test,2,2,2,CompletableFuture<Void> sendAsync(String destination; Message<T> message)|boolean subscribe(String destination; String consumerGroup; Consumer<Message<?>> consumer; Class<?> messagePayloadType),2,,0,,0,0,0,0,0,,0,0,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testGetEventHubClient,()V,void testGetEventHubClient(),org.junit.Test,4,4,4,EventHubClient getOrCreateClient(String name)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object),3,,0,,0,0,0,0,0,,2,2,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testGetPartitionSender,()V,void testGetPartitionSender(),org.junit.Test,4,4,4,PartitionSender getOrCreatePartitionSender(String eventhub; String partition)|void assertEquals(Object expected; Object actual)|void assertNotNull(Object object),3,,0,,0,0,0,0,0,,2,2,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testGetEventProcessorHost,()V,void testGetEventProcessorHost(),org.junit.Test,3,3,4,EventProcessorHost getOrCreateEventProcessorHost(String name; String consumerGroup)|Optional<EventProcessorHost> getEventProcessorHost(String name; String consumerGroup)|boolean isPresent()|void assertTrue(boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testGetNullEventProcessorHost,()V,void testGetNullEventProcessorHost(),org.junit.Test,2,2,3,Optional<EventProcessorHost> getEventProcessorHost(String name; String consumerGroup)|boolean isPresent()|void assertFalse(boolean condition),3,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testRemoveEventProcessorHost,()V,void testRemoveEventProcessorHost(),org.junit.Test,3,3,3,EventProcessorHost getOrCreateEventProcessorHost(String name; String consumerGroup)|EventProcessorHost removeEventProcessorHost(String name; String consumerGroup)|void assertSame(Object expected; Object actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testRemoveAbsentEventProcessorHost,()V,void testRemoveAbsentEventProcessorHost(),org.junit.Test,2,2,2,EventProcessorHost removeEventProcessorHost(String name; String consumerGroup)|void assertNull(Object object),2,,0,,0,0,0,0,0,,1,1,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testGetOrCreateEventProcessorHost,()V,void testGetOrCreateEventProcessorHost(),org.junit.Test,4,4,5,EventProcessorHost getOrCreateEventProcessorHost(String name; String consumerGroup)|PrivateMethodVerification verifyPrivate(Object object)|void assertNotNull(Object object)|void invoke(String methodToVerify; Object[] arguments),4,,0,,0,2,2,0,0,java.lang.Exception,1,1,,0,,0
spring-cloud-azure,spring-integration-eventhubs,/spring-integration-eventhubs/src/test/java/com/microsoft/azure/spring/integration/eventhub/DefaultEventHubClientFactoryTest.java,com.microsoft.azure.spring.integration.eventhub.DefaultEventHubClientFactoryTest,testRecreateEventProcessorHost,()V,void testRecreateEventProcessorHost(),org.junit.Test,5,5,7,EventProcessorHost getOrCreateEventProcessorHost(String name; String consumerGroup)|EventProcessorHost removeEventProcessorHost(String name; String consumerGroup)|PrivateMethodVerification verifyPrivate(Object object; VerificationMode verificationMode)|VerificationMode times(int wantedNumberOfInvocations)|void assertNotNull(Object object)|void invoke(String methodToVerify; Object[] arguments),6,,0,,0,2,2,0,0,java.lang.Exception,1,1,,0,,0
