mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testDifferentClasses,()V,void testDifferentClasses(),org.junit.Test,4,4,8,ByteString toByteString()|Descriptors.Descriptor getDescriptorForType()|DynamicMessage parseFrom(Descriptors.Descriptor type; ByteString data)|Message parse(String textProto)|ProtoSubject expectThat(Message message)|void isEqualTo(Object expected),6,,0,,0,1,1,0,0,com.google.protobuf.InvalidProtocolBufferException,0,0,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testDifferentDynamicDescriptors,()V,void testDifferentDynamicDescriptors(),org.junit.Test,5,6,13,DynamicMessage parseFrom(Descriptors.Descriptor type; CodedInputStream input)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|TruthFailureSubject expectThatFailure()|boolean isProto3()|void contains(CharSequence string)|void isEqualTo(Object expected),8,,0,,0,2,2,0,0,java.io.IOException,0,0,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testFullDiffOnlyWhenRelevant,()V,void testFullDiffOnlyWhenRelevant(),org.junit.Test,4,4,16,Message parse(String textProto)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|TruthFailureSubject expectThatFailure()|void contains(CharSequence string)|void doesNotContain(CharSequence string)|void isEqualTo(Object expected),8,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testIgnoringFieldAbsence,()V,void testIgnoringFieldAbsence(),org.junit.Test,11,25,50,Message parse(String textProto)|ProtoFluentAssertion ignoringFieldAbsence()|ProtoSubject expectThat(Message message)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|TruthFailureSubject expectThatFailure()|boolean isProto3()|void contains(CharSequence string)|void expectIsEqualToFailed()|void expectIsNotEqualToFailed()|void isEqualTo(Message expected)|void isEqualTo(Object expected)|void isNotEqualTo(Message expected)|void isNotEqualTo(Object expected),15,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testIgnoringFieldAbsence_anyMessage,()V,void testIgnoringFieldAbsence_anyMessage(),org.junit.Test,11,11,26,Message parse(String textProto)|ProtoFluentAssertion ignoringFieldAbsence()|ProtoSubject expectThat(Message message)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|TruthFailureSubject expectThatFailure()|void contains(CharSequence string)|void expectIsEqualToFailed()|void expectIsNotEqualToFailed()|void isEqualTo(Message expected)|void isEqualTo(Object expected)|void isNotEqualTo(Message expected),13,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testIgnoringFieldAbsence_scoped,()V,void testIgnoringFieldAbsence_scoped(),org.junit.Test,17,27,65,Descriptors.Descriptor getMessageType()|Descriptors.FieldDescriptor findFieldByName(String name)|FieldDescriptor getFieldDescriptor(String fieldName)|Message parse(String textProto)|Object checkNotNull(Object reference)|ProtoFluentAssertion ignoringFieldAbsence()|ProtoFluentAssertion ignoringFieldAbsenceOfFieldDescriptors(FieldDescriptor firstFieldDescriptor; FieldDescriptor[] rest)|ProtoSubject expectThat(Message message)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|ThrowableSubject assertThat(Throwable actual)|TruthFailureSubject expectThatFailure()|boolean isProto3()|void contains(CharSequence string)|void expectIsEqualToFailed()|void fail(String message)|void isEqualTo(Message expected),18,,0,,0,0,0,0,0,,2,2,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testUnknownFields,()V,void testUnknownFields(),org.junit.Test,10,10,34,Message fromUnknownFields(UnknownFieldSet unknownFieldSet)|ProtoFluentAssertion ignoringFieldAbsence()|ProtoSubject expectThat(Message message)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|TruthFailureSubject expectThatFailure()|UnknownFieldSet build()|UnknownFieldSet.Builder addField(int number; UnknownFieldSet.Field field)|UnknownFieldSet.Builder newBuilder()|UnknownFieldSet.Field build()|UnknownFieldSet.Field.Builder addVarint(long value)|UnknownFieldSet.Field.Builder newBuilder()|void contains(CharSequence string)|void expectIsEqualToFailed()|void expectIsNotEqualToFailed()|void isEqualTo(Message expected)|void isEqualTo(Object expected)|void isNotEqualTo(Message expected)|void isNotEqualTo(Object expected),20,,0,,0,2,2,0,0,com.google.protobuf.InvalidProtocolBufferException,0,0,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testRepeatedFieldOrder,()V,void testRepeatedFieldOrder(),org.junit.Test,31,31,79,Message build()|Message parse(String textProto)|Message.Builder toBuilder()|ProtoFluentAssertion ignoringRepeatedFieldOrder()|ProtoSubject expectThat(Message message)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|TruthFailureSubject expectThatFailure()|void contains(CharSequence string)|void expectIsEqualToFailed()|void expectIsNotEqualToFailed()|void isEqualTo(Message expected)|void isEqualTo(Object expected)|void isNotEqualTo(Message expected)|void isNotEqualTo(Object expected),16,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testRepeatedFieldOrder_scoped,()V,void testRepeatedFieldOrder_scoped(),org.junit.Test,15,19,45,Descriptors.Descriptor getMessageType()|Descriptors.FieldDescriptor findFieldByName(String name)|FieldDescriptor getFieldDescriptor(String fieldName)|Message parse(String textProto)|Object checkNotNull(Object reference)|ProtoFluentAssertion ignoringRepeatedFieldOrder()|ProtoFluentAssertion ignoringRepeatedFieldOrderOfFieldDescriptors(FieldDescriptor firstFieldDescriptor; FieldDescriptor[] rest)|ProtoFluentAssertion ignoringRepeatedFieldOrderOfFields(int firstFieldNumber; int[] rest)|ProtoSubject expectThat(Message message)|ProtoSubject that(Message message)|ProtoSubjectBuilder expectFailureWhenTesting()|StringSubject hasMessageThat()|ThrowableSubject assertThat(Throwable actual)|TruthFailureSubject expectThatFailure()|int getFieldNumber(String fieldName)|void contains(CharSequence string)|void expectIsEqualToFailed()|void fail(String message)|void isEqualTo(Message expected)|void isNotEqualTo(Message expected),20,,0,,0,0,0,0,0,,1,1,,0,,0
truth,truth-proto-extension,/truth-proto-extension/src/test/java/com/google/common/truth/extensions/proto/ProtoSubjectTest.java,com.google.common.truth.extensions.proto.ProtoSubjectTest,testDoubleTolerance,()V,void testDoubleTolerance(),org.junit.Test,6,6,13,Message parse(String textProto)|ProtoFluentAssertion usingDoubleTolerance(double tolerance)|ProtoFluentAssertion usingFloatTolerance(float tolerance)|ProtoSubject expectThat(Message message)|void isEqualTo(Message expected)|void isNotEqualTo(Message expected)|void isNotEqualTo(Object expected),7,,0,,0,0,0,0,0,,0,0,,0,,0
