mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/SourceAddressChannelHandlerTest.java,com.netflix.netty.common.SourceAddressChannelHandlerTest,ipv6AddressScopeIdRemoved,()V,void ipv6AddressScopeIdRemoved(),org.junit.Test,4,4,5,Inet6Address getByAddress(String arg0; byte[] arg1; int arg2)|String getHostAddress(InetSocketAddress socketAddress)|int getScopeId()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),5,,0,,0,1,1,0,0,java.net.UnknownHostException,2,2,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/SourceAddressChannelHandlerTest.java,com.netflix.netty.common.SourceAddressChannelHandlerTest,ipv4AddressString,()V,void ipv4AddressString(),org.junit.Test,3,3,3,InetAddress getByAddress(String host; byte[] addr)|String getHostAddress(InetSocketAddress socketAddress)|void assertEquals(Object expected; Object actual),3,,0,,0,1,1,0,0,java.net.UnknownHostException,1,1,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/SourceAddressChannelHandlerTest.java,com.netflix.netty.common.SourceAddressChannelHandlerTest,failsOnUnresolved,()V,void failsOnUnresolved(),org.junit.Test,3,3,3,InetSocketAddress createUnresolved(String host; int port)|String getHostAddress(InetSocketAddress socketAddress)|void assertNull(String message; Object object),3,,0,,0,0,0,0,0,,1,1,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/SourceAddressChannelHandlerTest.java,com.netflix.netty.common.SourceAddressChannelHandlerTest,mapsIpv4AddressFromIpv6Address,()V,void mapsIpv4AddressFromIpv6Address(),org.junit.Test,4,4,5,Inet6Address getByAddress(String arg0; byte[] arg1; int arg2)|String getHostAddress(InetSocketAddress socketAddress)|int getScopeId()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),5,,0,,0,1,1,0,0,java.net.UnknownHostException,2,2,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/SourceAddressChannelHandlerTest.java,com.netflix.netty.common.SourceAddressChannelHandlerTest,ipv6AddressScopeNameRemoved,()V,void ipv6AddressScopeNameRemoved(),org.junit.Test,7,16,13,ArrayList list(Enumeration e)|Enumeration getNetworkInterfaces()|Inet6Address getByAddress(String arg0; byte[] arg1; NetworkInterface arg2)|String getHostAddress(InetSocketAddress socketAddress)|String toString()|boolean add(Object e)|boolean contains(CharSequence s)|boolean isEmpty()|void assertEquals(Object expected; Object actual)|void assertTrue(String message; boolean condition)|void assumeTrue(String message; boolean b)|void forEach(Consumer action),12,,0,,0,2,2,1,0,java.net.SocketException|java.net.UnknownHostException,2,2,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/metrics/InstrumentedResourceLeakDetectorTest.java,com.netflix.netty.common.metrics.InstrumentedResourceLeakDetectorTest,test,()V,void test(),org.junit.Test,6,6,9,int get()|void assertEquals(long expected; long actual)|void reportTracedLeak(String resourceType; String records),3,,0,,0,0,0,0,0,,3,3,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/proxyprotocol/OptionalHAProxyMessageDecoderTest.java,com.netflix.netty.common.proxyprotocol.OptionalHAProxyMessageDecoderTest,detectsPpv1Message,()V,void detectsPpv1Message(),org.junit.Test,9,10,10,ByteBuf wrappedBuffer(byte[] array)|ChannelHandlerContext context(String name)|ChannelPipeline addLast(String name; ChannelHandler handler)|ChannelPipeline pipeline()|Object readInbound()|boolean release()|boolean writeInbound(Object[] msgs)|byte[] getBytes(Charset charset)|void assertNull(Object object),9,,0,,0,0,0,0,0,,1,1,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/proxyprotocol/OptionalHAProxyMessageDecoderTest.java,com.netflix.netty.common.proxyprotocol.OptionalHAProxyMessageDecoderTest,detectsSplitPpv1Message,()V,void detectsSplitPpv1Message(),org.junit.Test|org.junit.Ignore,11,12,13,ByteBuf wrappedBuffer(byte[] array)|ChannelHandlerContext context(String name)|ChannelPipeline addLast(String name; ChannelHandler handler)|ChannelPipeline pipeline()|Object readInbound()|boolean release()|boolean writeInbound(Object[] msgs)|byte[] getBytes(Charset charset)|void assertNull(Object object),9,,0,,0,0,0,0,0,,1,1,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/proxyprotocol/OptionalHAProxyMessageDecoderTest.java,com.netflix.netty.common.proxyprotocol.OptionalHAProxyMessageDecoderTest,extraDataForwarded,()V,void extraDataForwarded(),org.junit.Test,13,14,14,ByteBuf wrappedBuffer(byte[] array)|ChannelHandlerContext context(String name)|ChannelPipeline addLast(String name; ChannelHandler handler)|ChannelPipeline pipeline()|Object readInbound()|boolean release()|boolean writeInbound(Object[] msgs)|byte[] getBytes(ByteBuf buf)|byte[] getBytes(Charset charset)|void assertEquals(Object expected; Object actual)|void assertNull(Object object),11,,0,,0,0,0,0,0,,2,2,,0,,0
zuul,zuul-core,/zuul-core/src/test/java/com/netflix/netty/common/proxyprotocol/OptionalHAProxyMessageDecoderTest.java,com.netflix.netty.common.proxyprotocol.OptionalHAProxyMessageDecoderTest,ignoresNonPpMessage,()V,void ignoresNonPpMessage(),org.junit.Test,9,9,10,ByteBuf wrappedBuffer(byte[] array)|ChannelHandlerContext context(String name)|ChannelPipeline addLast(String name; ChannelHandler handler)|ChannelPipeline pipeline()|Object readInbound()|boolean release()|boolean writeInbound(Object[] msgs)|byte[] getBytes(Charset charset)|void assertNotNull(Object object),9,,0,,0,0,0,0,0,,1,1,,0,,0
